ID	Ensembl ID	Average Intensity	UniProt ID	Gene symbol ID
MO000000394	ENSG00000206503	2486.0731538540867	P04439,P16188	
MO000001105	ENSG00000109321	5.04718390936799	P15514	
MO000001471	ENSG00000123268	93.18041430340506	P18846	
MO000001760	ENSG00000136573	4.420479595708675	P51451	
MO000002316	ENSG00000164733	1525.2980137020068	P07858	
MO000002361	ENSG00000120837	6.82791351644977	P25208	
MO000002558	ENSG00000026508	3747.004446580857	P16070-4	CD44
MO000003223	ENSG00000157227	61.61675411455429	P50281	MMP14
MO000003497	ENSG00000103653	37.13299949101882	P41240	CSK
MO000004672	ENSG00000102882	115.8390833947533	P27361	
MO000004677	ENSG00000100030	477.72726263684467	P28482	
MO000004681	ENSG00000069956	19.093763527640075	Q16659	
MO000004888	ENSG00000169398	75.03996596021061	Q05397-5	PTK2
MO000004928	ENSG00000026103	NaN		FAS
MO000005078	ENSG00000129682	NaN		FGF13
MO000005412	ENSG00000010810	9.407487644225931	P06241	FYN
MO000005460	ENSG00000104064	2.3242342883340408	Q06547-2	
MO000005463	ENSG00000104064	2.3242342883340408	Q06547-2	
MO000005612	ENSG00000146535	64.23158380742171	Q03113	
MO000006707	ENSG00000137309	7540.4307910267835	P17096,P17096-2	
MO000006710	ENSG00000137309	7540.4307910267835	P17096,P17096-2	
MO000007225	ENSG00000140443	NaN		IGF1R
MO000007258	ENSG00000167244	12.42460074989855	P01344	
MO000007331	ENSG00000150782	65.95523202916087	Q14116	
MO000007821	ENSG00000107643	24.878764667950193	P45983-3	MAPK8
MO000007834	ENSG00000130522	321.681039178161	P17535	
MO000007897	ENSG00000077150	21.958348474858134	Q00653,Q00653-4	
MO000007919	ENSG00000070770	119.2247462523495	P19784	
MO000008180	ENSG00000055332	176.43568744078314	P19525	
MO000008230	ENSG00000078061	18.346819428833804	P10398	
MO000008400	ENSG00000143815	314.8058871314711	Q14739	
MO000009253	ENSG00000162889	70.90071932355602	P49137	
MO000009339	ENSG00000112062	388.1837785177519	Q16539,Q16539-2	
MO000009386	ENSG00000169032	620.141968580609	Q02750	MAP2K1
MO000009396	ENSG00000126934	605.7402042930701	P36507	
MO000009403	ENSG00000034152	168.70007706867136	P46734	
MO000009415	ENSG00000108984	15.325587029775981	P52564	
MO000009440	ENSG00000197081	70.1707900600904	P11717	
MO000009772	ENSG00000141905	40.458042413153244	P08651-2,P08651-4	
MO000010971	ENSG00000113721	NaN		PDGFRB
MO000011144	ENSG00000149782	1743.3788051005465	Q01970	
MO000011505	ENSG00000171867	341.2210523180741	P04156-2	
MO000011878	ENSG00000080839	0.23172931459783305	P28749	
MO000012556	ENSG00000110876	NaN		SELPLG
MO000013121	ENSG00000170581	3.1133469799445965	P52630	
MO000013123	ENSG00000168610	167.9039331818393	P40763,P40763-2	STAT3
MO000013125	ENSG00000126561	NaN		STAT5A
MO000013132	ENSG00000173757	4.539939937229947	P51692	STAT5B
MO000013248	ENSG00000165417	42.482881997207954	P52655	
MO000013252	ENSG00000140307	95.58591480173035	P52657	
MO000013292	ENSG00000153767	1.2725296441111986	P29083	
MO000013295	ENSG00000197265	1.253537127844955	P29084	
MO000013300	ENSG00000125651	91.30892915321557	P35269	
MO000013458	ENSG00000198176	6.413812399564506	Q14186	TFDP1
MO000013471	ENSG00000135605	NaN		TEC
MO000013669	ENSG00000181104	3.0196322314523467	P25116	
MO000013691	ENSG00000100234	2243.181867202556	P35625	
MO000014018	ENSG00000137801	279.25574014539933	P07996	THBS1
MO000016582	ENSG00000070831	4564.005834817055	P60953,P60953-1	CDC42
MO000016584	ENSG00000135341	9.80472830566038	O43318	
MO000016585	ENSG00000135341	9.80472830566038	O43318	
MO000016587	ENSG00000135341	9.80472830566038	O43318	
MO000016677	ENSG00000146648	258.9332697492885	P00533	EGFR
MO000016975	ENSG00000044115	251.44904694218832	P35221	
MO000016977	ENSG00000039068	NaN		CDH1
MO000016989	ENSG00000082701	33.167216033505284	P49841	GSK3B
MO000017006	ENSG00000185338	NaN		SOCS1
MO000017049	ENSG00000168036	NaN		CTNNB1
MO000017421	ENSG00000142208	65.69992907502574	P31749	
MO000017447	ENSG00000106799	8.472859760362425	P36897-3	TGFBR1
MO000017650	ENSG00000105723	68.08457347353482	P49840	
MO000017774	ENSG00000139687	14.648864583670104	P06400	RB1
MO000018136	ENSG00000134954	1.0164860807212401	P14921	
MO000018201	ENSG00000174021	586.5882511573918	P63218	
MO000018459	ENSG00000140575	1319.0515200363002	P46940	
MO000018481	ENSG00000169252	1.5489331709760097	P07550	
MO000018683	ENSG00000164251	19.67664306263574	P55085	
MO000018780	ENSG00000198668	NaN		CALM1
MO000018848	ENSG00000109332	1453.818563825086	P61077	
MO000018875	ENSG00000173801	69.02919528858862	P14923	
MO000018880	ENSG00000198561	148.91287057714408	O60716-11,O60716-3	
MO000018890	ENSG00000198561	148.91287057714408	O60716-11,O60716-3	
MO000018892	ENSG00000198561	148.91287057714408	O60716-11,O60716-3	
MO000018898	ENSG00000198561	148.91287057714408	O60716-11,O60716-3	
MO000018902	ENSG00000101266	NaN		CSNK2A1
MO000018903	ENSG00000204435	1135.2709338086268	P67870	
MO000018962	ENSG00000141736	23.687306720390275	P04626-4	ERBB2
