ID	Gene symbol ID
MO000000008	SHC1
MO000000013	EGFR,IGF1R
MO000000022	MAPK13
MO000000024	RASGRF1
MO000000077	MAPK13
MO000000081	EGFR,FYN,IGF1R,TNK2
MO000000105	TGFA
MO000000107	EGFR
MO000000108	EGFR
MO000000110	SHC1
MO000000111	AURKA,BUB1,EGFR,FYN,IGF1R,LIMK2,MAPK13,PLK1,ROCK1,SRPK1,TNIK,TNK2
MO000000127	CDC20
MO000000129	SHC1
MO000000136	FYN
MO000000143	FYN
MO000000149	PTPRA
MO000000152	SHC1,TPX2
MO000000191	EGFR,SHC1
MO000000223	ARID3A,ATF3,HMGA2,SMAD4,TP53
MO000000229	EGFR,IGF1R,IL4R,IL7R,LRP1
MO000000244	AURKA,BUB1,LIMK2,MAPK13,PLK1,ROCK1,SRPK1,TNIK
MO000000277	TP53
MO000000286	CDC20
MO000000294	CDC20
MO000000306	ICAM1
MO000000341	EGFR
MO000005077	FGF13
MO000005078	FGF13
MO000005412	FYN
MO000007225	IGF1R
MO000007228	IGF1R
MO000008563	LIMK2
MO000008564	LIMK2
MO000011271	PLK1
MO000012555	SELPLG
MO000012556	SELPLG
MO000016568	TP53
MO000016677	EGFR
MO000016681	EGFR
MO000016709	RASGRF1
MO000016713	RASGRF1
MO000016715	RASGRF1
MO000016780	RASGRF1
MO000016791	TGFA
MO000016821	PKIA
MO000016822	PKIA
MO000016826	SMAD4
MO000016833	IL7R
MO000016838	IL7R
MO000016839	IL4R,IL7R
MO000016840	IL7R
MO000016869	EGFR
MO000016936	MAPT
MO000016939	MAPT
MO000016957	PTPRA
MO000016961	MAPK13
MO000016967	PTPRA
MO000017007	PIAS3
MO000017039	FGF13
MO000017058	IL4R
MO000017059	IL4R
MO000017134	ADAM9
MO000017177	PTPRA
MO000017242	IL4R,IL7R
MO000017245	RASGRF1
MO000017259	PIAS3
MO000017293	IGF1R
MO000017425	SHC1
MO000017458	SMAD4
MO000017549	FN1
MO000017615	GSN
MO000017666	BIRC6
MO000017735	CABLES2
MO000017779	LTBP3
MO000018193	FYN
MO000018446	TNIK
MO000018454	ICAM1
MO000018832	TBL1X
MO000018836	TBL1X
MO000018838	CDC20
MO000018952	CDC20
MO000018953	TP53
MO000018971	TOP2A
MO000019118	FYN
MO000019134	FYN
MO000019148	MAPT
MO000019149	MAPT
MO000019157	MAPT
MO000019387	FGF13,TGFA
MO000019490	EGFR
MO000019548	TP53
MO000019585	FYN
MO000019596	ROCK1
MO000019597	ROCK1
MO000019655	SMAD4
MO000019708	SHC1
MO000019709	SHC1
MO000019710	SHC1
MO000019714	TNK2
MO000019717	TNK2
MO000020112	SHC1
MO000020402	SMAD4
MO000020403	SMAD4
MO000020470	LTBP3
MO000020473	LTBP3
MO000020799	TNIK
MO000020944	EGFR
MO000020951	SHC1
MO000020953	SHC1
MO000020954	SHC1
MO000020956	SHC1
MO000021004	SHC1
MO000021006	SHC1
MO000021010	FYN
MO000021026	FYN
MO000021031	FYN
MO000021077	SMAD4
MO000021176	SMAD4
MO000021210	SMAD4
MO000021222	SMAD4
MO000021239	SMAD4
MO000021304	LTBP3
MO000021307	LTBP3
MO000021355	EGFR
MO000021356	EGFR
MO000021531	TBL1X
MO000021532	TBL1X
MO000021533	TBL1X
MO000021534	TBL1X
MO000021547	TBL1X
MO000021550	TBL1X
MO000021634	RASGRF1
MO000021636	RASGRF1
MO000021751	FYN
MO000021759	MAPK13
MO000021822	FGF13,SELPLG,TGFA
MO000021827	SELPLG
MO000021828	EGFR,ICAM1,IGF1R,IL4R,IL7R,LRP1,STX6
MO000021833	RASGRF1
MO000021834	BIRC6,PIAS3,PKIA
MO000021835	BIRC6,PIAS3,PKIA
MO000021837	CABLES2,CDC20,TBL1X
