ID	Hits	Hit names
MO000013123	[]	[]
MO000017049	[]	[]
MO000018137	[]	[]
MO000019363	[]	[]
MO000019469	[]	[]
MO000024771	[]	[]
MO000024773	[]	[]
MO000024920	[]	[]
MO000025736	[]	[]
MO000026496	[]	[]
MO000027350	[]	[]
MO000028099	[]	[]
MO000032492	[]	[]
MO000044348	[]	[]
MO000058322	["MO000090997"]	["c-Jun(h):ATF-3-isoform1(h)"]
MO000058538	[]	[]
MO000078237	[]	[]
MO000078241	[]	[]
MO000079319	[]	[]
MO000079350	[]	[]
MO000079681	[]	[]
MO000080311	[]	[]
MO000088314	[]	[]
MO000129437	[]	[]
MO000133252	[]	[]
MO000165730	[]	[]
MO000257758	[]	[]
