ID	Gene symbol ID
MO000000223	ARID3A
MO000028665	ARID3A
MO000028718	TRIM33
MO000062742	NMT2
MO000090630	TRIM33
MO000090631	TRIM33
MO000090787	TRIM33
MO000092099	TRIM33
MO000109201	KLHL12
MO000109203	KLHL12
MO000109204	KLHL12
MO000109205	KLHL12
MO000117602	ARID3A
MO000117610	ARID3A
MO000148186	KLHL12
MO000148187	KLHL12
MO000148188	KLHL12
MO000148189	KLHL12
MO000148190	KLHL12
MO000148191	KLHL12
MO000148192	KLHL12
MO000148193	KLHL12
MO000148194	KLHL12
MO000148195	KLHL12
MO000148474	KLHL12
MO000148771	KLHL12
MO000148945	KLHL12
MO000172354	PAG1
MO000172355	PAG1
MO000172356	PAG1
MO000172362	PAG1
MO000201752	KLHL12
MO000216312	NMT2
MO000216313	NMT2
MO000271227	KLHL12
MO000272952	TRIM33
MO000284961	KLHL12
MO000284967	KLHL12
MO000285462	TRIM33
MO000285463	TRIM33
MO000285464	TRIM33
MO000285465	TRIM33
MO000285478	TRIM33
MO000285479	TRIM33
MO000285483	TRIM33
MO000285485	TRIM33
MO000331158	ARID3A
MO000331302	TRIM33
MO000339608	TRIM33
MO000339611	TRIM33
MO000348826	PAG1
MO000424204	PAG1
MO000424351	PAG1
MO000424972	PAG1
MO000425143	PAG1
MO000425680	PAG1
MO000426954	NMT2
MO000427481	PAG1
MO000427768	NMT2
MO000428917	TRIM33
MO000429820	PAG1
MO000429938	NMT2
MO000430924	TRIM33
MO000431763	PAG1
MO000432959	PAG1
MO000433377	PAG1
MO000433768	NMT2
MO000434159	NMT2
MO000434985	TRIM33
MO000435408	NMT2
MO000436442	NMT2
MO000437278	NMT2
MO000437848	TRIM33
MO000439111	TRIM33
MO000440084	PAG1
MO000440730	PAG1
MO000441062	PAG1
MO000441674	PAG1
MO000442620	NMT2
MO000443068	NMT2
MO000443404	TRIM33
MO000446513	NMT2
MO000448305	NMT2
MO000448604	NMT2
MO000449399	PAG1
MO000451753	ARID3A
MO000451808	ARID3A
MO000451809	ARID3A
MO000451810	ARID3A
MO000452539	PAG1
MO000454321	ARID3A
MO000454959	PAG1
MO000456260	PAG1
MO000457272	PAG1
MO000457795	TRIM33
MO000457848	TRIM33
MO000461834	TRIM33
MO000461949	PAG1
MO000463769	PAG1
MO000465769	NMT2
MO000467199	PAG1
MO000467861	PAG1
MO000469622	TRIM33
MO000470271	NMT2
MO000472270	PAG1
MO000472581	TRIM33
MO000473209	NMT2
MO000473303	PAG1
MO000473697	PAG1
MO000475742	NMT2
MO000476801	TRIM33
MO000478053	NMT2
MO000480318	PAG1
MO000483400	TRIM33
MO000484800	ARID3A
MO000485823	KLHL12
MO000488163	KLHL12
MO000497839	KLHL12
MO000500347	KLHL12
MO000503474	KLHL12
MO000504774	KLHL12
MO000506111	TRIM33
MO000506112	TRIM33
MO000506113	TRIM33
MO000506114	TRIM33
MO000506115	TRIM33
MO000506116	TRIM33
MO000517786	ARID3A
MO000517787	ARID3A
MO000518114	KLHL12
MO000520007	KLHL12
MO000520287	KLHL12
MO000521337	KLHL12
MO000522347	KLHL12
MO000522409	KLHL12
MO000524852	KLHL12
MO000525601	KLHL12
MO000525780	KLHL12
MO000526447	KLHL12
MO000527108	KLHL12
MO000527109	KLHL12
MO000527110	KLHL12
MO000527111	KLHL12
MO000527112	KLHL12
MO000527113	KLHL12
MO000527114	KLHL12
MO000527115	KLHL12
MO000527116	KLHL12
MO000527117	KLHL12
MO000527118	KLHL12
MO000534489	NMT2
MO000560503	TRIM33
MO000561931	TRIM33
