ID	Master molecule name	Maximal radius	Reached from set	Reachable total	Score	FDR	Z-Score	Ranks sum	Hits	Hit names
MO000173323	p53(h):Apak-isoform1(h)	4.515	20	650	0.52134967	0.001	2.1579232	11	["MO000019548","MO000023324","MO000023371","MO000030827","MO000030925","MO000033990","MO000056623","MO000057270","MO000057556","MO000081134","MO000081137","MO000095129","MO000101980","MO000102038","MO000122559","MO000173323","MO000180125","MO000279355","MO000480230","MO000480335"]	["p53(h)","p53(h):Apak-isoform1(h)","p53(h){aceK320}{aceK373}{aceK382}","p53(h){aceK382}","p53(h){aceK}","p53(h){ace}","p53(h){pS15}","p53(h){pS15}{pS37}","p53(h){pS20}{pS37}","p53(h){pS315}","p53(h){pS366}","p53(h){pS37}{pS46}{pT55}","p53(h){pT55}","p53(h){ub(n)}","p53(h){ub}","p53(h){ub}n","p53-isoform1(h)","p53-isoform1(h){ub}","p53-isoform2(h)","p53-isoform4(h)"]
MO000173315	p53(h):S100-B-isoform1(h)	4.515	20	650	0.52134967	0.001	1.9416599	14	["MO000019548","MO000023324","MO000023371","MO000030827","MO000030925","MO000033990","MO000056623","MO000057270","MO000057556","MO000081134","MO000081137","MO000095129","MO000101980","MO000102038","MO000122559","MO000173315","MO000180125","MO000279355","MO000480230","MO000480335"]	["p53(h)","p53(h):S100-B-isoform1(h)","p53(h){aceK320}{aceK373}{aceK382}","p53(h){aceK382}","p53(h){aceK}","p53(h){ace}","p53(h){pS15}","p53(h){pS15}{pS37}","p53(h){pS20}{pS37}","p53(h){pS315}","p53(h){pS366}","p53(h){pS37}{pS46}{pT55}","p53(h){pT55}","p53(h){ub(n)}","p53(h){ub}","p53(h){ub}n","p53-isoform1(h)","p53-isoform1(h){ub}","p53-isoform2(h)","p53-isoform4(h)"]
MO000173314	p53(h):metastasin(h)	4.515	20	650	0.52134967	0.003	1.9378352	18	["MO000019548","MO000023324","MO000023371","MO000030827","MO000030925","MO000033990","MO000056623","MO000057270","MO000057556","MO000081134","MO000081137","MO000095129","MO000101980","MO000102038","MO000122559","MO000173314","MO000180125","MO000279355","MO000480230","MO000480335"]	["p53(h)","p53(h):metastasin(h)","p53(h){aceK320}{aceK373}{aceK382}","p53(h){aceK382}","p53(h){aceK}","p53(h){ace}","p53(h){pS15}","p53(h){pS15}{pS37}","p53(h){pS20}{pS37}","p53(h){pS315}","p53(h){pS366}","p53(h){pS37}{pS46}{pT55}","p53(h){pT55}","p53(h){ub(n)}","p53(h){ub}","p53(h){ub}n","p53-isoform1(h)","p53-isoform1(h){ub}","p53-isoform2(h)","p53-isoform4(h)"]
MO000173312	p53(h):s100a1-isoform1(h)	4.515	20	650	0.52134967	0.0	1.8782938	19	["MO000019548","MO000023324","MO000023371","MO000030827","MO000030925","MO000033990","MO000056623","MO000057270","MO000057556","MO000081134","MO000081137","MO000095129","MO000101980","MO000102038","MO000122559","MO000173312","MO000180125","MO000279355","MO000480230","MO000480335"]	["p53(h)","p53(h):s100a1-isoform1(h)","p53(h){aceK320}{aceK373}{aceK382}","p53(h){aceK382}","p53(h){aceK}","p53(h){ace}","p53(h){pS15}","p53(h){pS15}{pS37}","p53(h){pS20}{pS37}","p53(h){pS315}","p53(h){pS366}","p53(h){pS37}{pS46}{pT55}","p53(h){pT55}","p53(h){ub(n)}","p53(h){ub}","p53(h){ub}n","p53-isoform1(h)","p53-isoform1(h){ub}","p53-isoform2(h)","p53-isoform4(h)"]
MO000101463	(p53(h))4	4.21	8	249	0.83237666	0.0	1.7476894	20	["MO000019548","MO000056623","MO000057270","MO000057556","MO000101462","MO000101463","MO000102038","MO000480230"]	["(p53(h))2","(p53(h))4","p53(h)","p53(h){pS37}{pS46}{pT55}","p53-isoform1(h)","p53-isoform1(h){ub}","p53-isoform2(h)","p53-isoform4(h)"]
MO000173313	p53(h):s100a2(h)	4.515	20	652	0.52133805	0.001	1.8413807	32	["MO000019548","MO000023324","MO000023371","MO000030827","MO000030925","MO000033990","MO000056623","MO000057270","MO000057556","MO000081134","MO000081137","MO000095129","MO000101980","MO000102038","MO000122559","MO000173313","MO000180125","MO000279355","MO000480230","MO000480335"]	["p53(h)","p53(h):s100a2(h)","p53(h){aceK320}{aceK373}{aceK382}","p53(h){aceK382}","p53(h){aceK}","p53(h){ace}","p53(h){pS15}","p53(h){pS15}{pS37}","p53(h){pS20}{pS37}","p53(h){pS315}","p53(h){pS366}","p53(h){pS37}{pS46}{pT55}","p53(h){pT55}","p53(h){ub(n)}","p53(h){ub}","p53(h){ub}n","p53-isoform1(h)","p53-isoform1(h){ub}","p53-isoform2(h)","p53-isoform4(h)"]
MO000041644	p53(h):Net(h)	4.515	20	651	0.5213064	0.007	1.6562119	39	["MO000019548","MO000023324","MO000023371","MO000030827","MO000030925","MO000033990","MO000041644","MO000056623","MO000057270","MO000057556","MO000081134","MO000081137","MO000095129","MO000101980","MO000102038","MO000122559","MO000180125","MO000279355","MO000480230","MO000480335"]	["p53(h)","p53(h):Net(h)","p53(h){aceK320}{aceK373}{aceK382}","p53(h){aceK382}","p53(h){aceK}","p53(h){ace}","p53(h){pS15}","p53(h){pS15}{pS37}","p53(h){pS20}{pS37}","p53(h){pS315}","p53(h){pS366}","p53(h){pS37}{pS46}{pT55}","p53(h){pT55}","p53(h){ub(n)}","p53(h){ub}","p53(h){ub}n","p53-isoform1(h)","p53-isoform1(h){ub}","p53-isoform2(h)","p53-isoform4(h)"]
MO000022026	p53(h):Ref-1(h)	4.515	20	649	0.52134544	0.002	1.253991	41	["MO000019548","MO000022026","MO000023324","MO000023371","MO000030827","MO000030925","MO000033990","MO000056623","MO000057270","MO000057556","MO000081134","MO000081137","MO000095129","MO000101980","MO000102038","MO000122559","MO000180125","MO000279355","MO000480230","MO000480335"]	["p53(h)","p53(h):Ref-1(h)","p53(h){aceK320}{aceK373}{aceK382}","p53(h){aceK382}","p53(h){aceK}","p53(h){ace}","p53(h){pS15}","p53(h){pS15}{pS37}","p53(h){pS20}{pS37}","p53(h){pS315}","p53(h){pS366}","p53(h){pS37}{pS46}{pT55}","p53(h){pT55}","p53(h){ub(n)}","p53(h){ub}","p53(h){ub}n","p53-isoform1(h)","p53-isoform1(h){ub}","p53-isoform2(h)","p53-isoform4(h)"]
MO000325347	DGKzeta(h):p53(h)	4.515	20	650	0.52134967	0.005	1.2515148	41	["MO000019548","MO000023324","MO000023371","MO000030827","MO000030925","MO000033990","MO000056623","MO000057270","MO000057556","MO000081134","MO000081137","MO000095129","MO000101980","MO000102038","MO000122559","MO000180125","MO000279355","MO000325347","MO000480230","MO000480335"]	["DGKzeta(h):p53(h)","p53(h)","p53(h){aceK320}{aceK373}{aceK382}","p53(h){aceK382}","p53(h){aceK}","p53(h){ace}","p53(h){pS15}","p53(h){pS15}{pS37}","p53(h){pS20}{pS37}","p53(h){pS315}","p53(h){pS366}","p53(h){pS37}{pS46}{pT55}","p53(h){pT55}","p53(h){ub(n)}","p53(h){ub}","p53(h){ub}n","p53-isoform1(h)","p53-isoform1(h){ub}","p53-isoform2(h)","p53-isoform4(h)"]
MO000101462	(p53(h))2	4.515	20	649	0.5231355	0.001	1.2024423	42	["MO000019548","MO000023324","MO000023371","MO000030827","MO000030925","MO000033990","MO000056623","MO000057270","MO000057556","MO000081134","MO000081137","MO000095129","MO000101462","MO000101980","MO000102038","MO000122559","MO000180125","MO000279355","MO000480230","MO000480335"]	["(p53(h))2","p53(h)","p53(h){aceK320}{aceK373}{aceK382}","p53(h){aceK382}","p53(h){aceK}","p53(h){ace}","p53(h){pS15}","p53(h){pS15}{pS37}","p53(h){pS20}{pS37}","p53(h){pS315}","p53(h){pS366}","p53(h){pS37}{pS46}{pT55}","p53(h){pT55}","p53(h){ub(n)}","p53(h){ub}","p53(h){ub}n","p53-isoform1(h)","p53-isoform1(h){ub}","p53-isoform2(h)","p53-isoform4(h)"]
MO000154239	calcyclin(h):p53(h)	4.515	20	650	0.52134967	0.002	1.2071877	43	["MO000019548","MO000023324","MO000023371","MO000030827","MO000030925","MO000033990","MO000056623","MO000057270","MO000057556","MO000081134","MO000081137","MO000095129","MO000101980","MO000102038","MO000122559","MO000154239","MO000180125","MO000279355","MO000480230","MO000480335"]	["calcyclin(h):p53(h)","p53(h)","p53(h){aceK320}{aceK373}{aceK382}","p53(h){aceK382}","p53(h){aceK}","p53(h){ace}","p53(h){pS15}","p53(h){pS15}{pS37}","p53(h){pS20}{pS37}","p53(h){pS315}","p53(h){pS366}","p53(h){pS37}{pS46}{pT55}","p53(h){pT55}","p53(h){ub(n)}","p53(h){ub}","p53(h){ub}n","p53-isoform1(h)","p53-isoform1(h){ub}","p53-isoform2(h)","p53-isoform4(h)"]
MO000041741	p53(h):COP1(h)	4.515	20	650	0.52134967	0.005	1.2410531	45	["MO000019548","MO000023324","MO000023371","MO000030827","MO000030925","MO000033990","MO000041741","MO000056623","MO000057270","MO000057556","MO000081134","MO000081137","MO000095129","MO000101980","MO000102038","MO000122559","MO000180125","MO000279355","MO000480230","MO000480335"]	["p53(h)","p53(h):COP1(h)","p53(h){aceK320}{aceK373}{aceK382}","p53(h){aceK382}","p53(h){aceK}","p53(h){ace}","p53(h){pS15}","p53(h){pS15}{pS37}","p53(h){pS20}{pS37}","p53(h){pS315}","p53(h){pS366}","p53(h){pS37}{pS46}{pT55}","p53(h){pT55}","p53(h){ub(n)}","p53(h){ub}","p53(h){ub}n","p53-isoform1(h)","p53-isoform1(h){ub}","p53-isoform2(h)","p53-isoform4(h)"]
MO000272475	MELK(h):p53(h)	4.515	20	649	0.52139306	0.001	1.1530254	50	["MO000019548","MO000023324","MO000023371","MO000030827","MO000030925","MO000033990","MO000056623","MO000057270","MO000057556","MO000081134","MO000081137","MO000095129","MO000101980","MO000102038","MO000122559","MO000180125","MO000272475","MO000279355","MO000480230","MO000480335"]	["MELK(h):p53(h)","p53(h)","p53(h){aceK320}{aceK373}{aceK382}","p53(h){aceK382}","p53(h){aceK}","p53(h){ace}","p53(h){pS15}","p53(h){pS15}{pS37}","p53(h){pS20}{pS37}","p53(h){pS315}","p53(h){pS366}","p53(h){pS37}{pS46}{pT55}","p53(h){pT55}","p53(h){ub(n)}","p53(h){ub}","p53(h){ub}n","p53-isoform1(h)","p53-isoform1(h){ub}","p53-isoform2(h)","p53-isoform4(h)"]
MO000325299	p53(h):p68(h)	4.515	20	651	0.5212689	0.002	1.2517128	50	["MO000019548","MO000023324","MO000023371","MO000030827","MO000030925","MO000033990","MO000056623","MO000057270","MO000057556","MO000081134","MO000081137","MO000095129","MO000101980","MO000102038","MO000122559","MO000180125","MO000279355","MO000325299","MO000480230","MO000480335"]	["p53(h)","p53(h):p68(h)","p53(h){aceK320}{aceK373}{aceK382}","p53(h){aceK382}","p53(h){aceK}","p53(h){ace}","p53(h){pS15}","p53(h){pS15}{pS37}","p53(h){pS20}{pS37}","p53(h){pS315}","p53(h){pS366}","p53(h){pS37}{pS46}{pT55}","p53(h){pT55}","p53(h){ub(n)}","p53(h){ub}","p53(h){ub}n","p53-isoform1(h)","p53-isoform1(h){ub}","p53-isoform2(h)","p53-isoform4(h)"]
MO000325035	p53(h):PARF(h)	4.515	20	652	0.52126306	0.006	1.244078	54	["MO000019548","MO000023324","MO000023371","MO000030827","MO000030925","MO000033990","MO000056623","MO000057270","MO000057556","MO000081134","MO000081137","MO000095129","MO000101980","MO000102038","MO000122559","MO000180125","MO000279355","MO000325035","MO000480230","MO000480335"]	["p53(h)","p53(h):PARF(h)","p53(h){aceK320}{aceK373}{aceK382}","p53(h){aceK382}","p53(h){aceK}","p53(h){ace}","p53(h){pS15}","p53(h){pS15}{pS37}","p53(h){pS20}{pS37}","p53(h){pS315}","p53(h){pS366}","p53(h){pS37}{pS46}{pT55}","p53(h){pT55}","p53(h){ub(n)}","p53(h){ub}","p53(h){ub}n","p53-isoform1(h)","p53-isoform1(h){ub}","p53-isoform2(h)","p53-isoform4(h)"]
MO000149177	p53(h):mageb18(h)	4.515	20	650	0.52134967	0.005	1.1533583	55	["MO000019548","MO000023324","MO000023371","MO000030827","MO000030925","MO000033990","MO000056623","MO000057270","MO000057556","MO000081134","MO000081137","MO000095129","MO000101980","MO000102038","MO000122559","MO000149177","MO000180125","MO000279355","MO000480230","MO000480335"]	["p53(h)","p53(h):mageb18(h)","p53(h){aceK320}{aceK373}{aceK382}","p53(h){aceK382}","p53(h){aceK}","p53(h){ace}","p53(h){pS15}","p53(h){pS15}{pS37}","p53(h){pS20}{pS37}","p53(h){pS315}","p53(h){pS366}","p53(h){pS37}{pS46}{pT55}","p53(h){pT55}","p53(h){ub(n)}","p53(h){ub}","p53(h){ub}n","p53-isoform1(h)","p53-isoform1(h){ub}","p53-isoform2(h)","p53-isoform4(h)"]
MO000042346	p53(h):hipk3(h)	4.515	20	650	0.52134967	0.003	1.1457905	58	["MO000019548","MO000023324","MO000023371","MO000030827","MO000030925","MO000033990","MO000042346","MO000056623","MO000057270","MO000057556","MO000081134","MO000081137","MO000095129","MO000101980","MO000102038","MO000122559","MO000180125","MO000279355","MO000480230","MO000480335"]	["p53(h)","p53(h):hipk3(h)","p53(h){aceK320}{aceK373}{aceK382}","p53(h){aceK382}","p53(h){aceK}","p53(h){ace}","p53(h){pS15}","p53(h){pS15}{pS37}","p53(h){pS20}{pS37}","p53(h){pS315}","p53(h){pS366}","p53(h){pS37}{pS46}{pT55}","p53(h){pT55}","p53(h){ub(n)}","p53(h){ub}","p53(h){ub}n","p53-isoform1(h)","p53-isoform1(h){ub}","p53-isoform2(h)","p53-isoform4(h)"]
MO000324329	(p53-isoform1(h))2	4.465	5	361	0.34993857	0.002	2.301261	59	["MO000019548","MO000033990","MO000056623","MO000102038","MO000324329"]	["(p53-isoform1(h))2","p53(h)","p53(h){pT55}","p53-isoform1(h)","p53-isoform1(h){ub}"]
MO000339468	p53(h):Kaiso(h)	4.515	20	651	0.5213064	0.005	1.2198488	59	["MO000019548","MO000023324","MO000023371","MO000030827","MO000030925","MO000033990","MO000056623","MO000057270","MO000057556","MO000081134","MO000081137","MO000095129","MO000101980","MO000102038","MO000122559","MO000180125","MO000279355","MO000339468","MO000480230","MO000480335"]	["p53(h)","p53(h):Kaiso(h)","p53(h){aceK320}{aceK373}{aceK382}","p53(h){aceK382}","p53(h){aceK}","p53(h){ace}","p53(h){pS15}","p53(h){pS15}{pS37}","p53(h){pS20}{pS37}","p53(h){pS315}","p53(h){pS366}","p53(h){pS37}{pS46}{pT55}","p53(h){pT55}","p53(h){ub(n)}","p53(h){ub}","p53(h){ub}n","p53-isoform1(h)","p53-isoform1(h){ub}","p53-isoform2(h)","p53-isoform4(h)"]
MO000101445	p53(h){pS15}{pS20}:mdm2(h)	4.7250004	6	294	0.38999933	0.0	2.0425117	60	["MO000019548","MO000056623","MO000057270","MO000057556","MO000082994","MO000101445"]	["p53(h)","p53(h){pS15}{pS20}","p53(h){pS15}{pS20}:mdm2(h)","p53-isoform1(h)","p53-isoform2(h)","p53-isoform4(h)"]
