ID	Ensembl ID
MO000000223	ENSG00000141510
MO000000277	ENSG00000141510
MO000016568	ENSG00000141510
MO000018953	ENSG00000141510
MO000019548	ENSG00000141510
MO000022022	ENSG00000141510
MO000022026	ENSG00000141510
MO000022072	ENSG00000141510
MO000023312	ENSG00000141510
MO000023314	ENSG00000141510
MO000023319	ENSG00000141510
MO000023323	ENSG00000141510
MO000023324	ENSG00000141510
MO000023367	ENSG00000141510
MO000023371	ENSG00000141510
MO000023522	ENSG00000141510
MO000023539	ENSG00000141510
MO000023558	ENSG00000141510
MO000023579	ENSG00000141510
MO000023580	ENSG00000141510
MO000023581	ENSG00000141510
MO000023599	ENSG00000141510
MO000023604	ENSG00000141510
MO000023612	ENSG00000141510
MO000023614	ENSG00000141510
MO000023619	ENSG00000141510
MO000023645	ENSG00000141510
MO000023646	ENSG00000141510
MO000030827	ENSG00000141510
MO000030829	ENSG00000141510
MO000030830	ENSG00000141510
MO000030831	ENSG00000141510
MO000030832	ENSG00000141510
MO000030854	ENSG00000141510
MO000030857	ENSG00000141510
MO000030912	ENSG00000141510
MO000030915	ENSG00000141510
MO000030925	ENSG00000141510
MO000030926	ENSG00000141510
MO000030996	ENSG00000141510
MO000031005	ENSG00000141510
MO000031040	ENSG00000141510
MO000031042	ENSG00000141510
MO000031044	ENSG00000141510
MO000031049	ENSG00000141510
MO000031050	ENSG00000141510
MO000031051	ENSG00000141510
MO000031067	ENSG00000141510
MO000031069	ENSG00000141510
MO000031071	ENSG00000141510
MO000031072	ENSG00000141510
MO000031078	ENSG00000141510
MO000031081	ENSG00000141510
MO000031085	ENSG00000141510
MO000031089	ENSG00000141510
MO000031102	ENSG00000141510
MO000031103	ENSG00000141510
MO000031133	ENSG00000141510
MO000031152	ENSG00000141510
MO000031154	ENSG00000141510
MO000031162	ENSG00000141510
MO000031164	ENSG00000141510
MO000031165	ENSG00000141510
MO000031166	ENSG00000141510
MO000031174	ENSG00000141510
MO000031206	ENSG00000141510
MO000031208	ENSG00000141510
MO000031214	ENSG00000141510
MO000031215	ENSG00000141510
MO000031216	ENSG00000141510
MO000031217	ENSG00000141510
MO000031291	ENSG00000141510
MO000031293	ENSG00000141510
MO000031333	ENSG00000141510
MO000031334	ENSG00000141510
MO000031335	ENSG00000141510
MO000031366	ENSG00000141510
MO000031367	ENSG00000141510
MO000033975	ENSG00000141510
MO000033990	ENSG00000141510
MO000034130	ENSG00000141510
MO000035436	ENSG00000141510
MO000035440	ENSG00000141510
MO000035443	ENSG00000141510
MO000038912	ENSG00000141510
MO000038916	ENSG00000141510
MO000039112	ENSG00000141510
MO000039114	ENSG00000141510
MO000039118	ENSG00000141510
MO000039119	ENSG00000141510
MO000039121	ENSG00000141510
MO000039122	ENSG00000141510
MO000039123	ENSG00000141510
MO000039126	ENSG00000141510
MO000039127	ENSG00000141510
MO000039128	ENSG00000141510
MO000039129	ENSG00000141510
MO000039131	ENSG00000141510
MO000039134	ENSG00000141510
MO000039135	ENSG00000141510
MO000039138	ENSG00000141510
MO000039140	ENSG00000141510
MO000039147	ENSG00000141510
MO000039149	ENSG00000141510
MO000039150	ENSG00000141510
MO000039151	ENSG00000141510
MO000039152	ENSG00000141510
MO000039410	ENSG00000141510
MO000039418	ENSG00000141510
MO000039542	ENSG00000141510
MO000040284	ENSG00000141510
MO000040285	ENSG00000141510
MO000040286	ENSG00000141510
MO000040287	ENSG00000141510
MO000041573	ENSG00000141510
MO000041644	ENSG00000141510
MO000041652	ENSG00000141510
MO000041741	ENSG00000141510
MO000041772	ENSG00000141510
MO000042285	ENSG00000141510
MO000042322	ENSG00000141510
MO000042343	ENSG00000141510
MO000042344	ENSG00000141510
MO000042345	ENSG00000141510
MO000042346	ENSG00000141510
MO000042347	ENSG00000141510
MO000042420	ENSG00000141510
MO000042422	ENSG00000141510
MO000042423	ENSG00000141510
MO000042445	ENSG00000141510
MO000042509	ENSG00000141510
MO000042517	ENSG00000141510
MO000043361	ENSG00000141510
MO000043362	ENSG00000141510
MO000043363	ENSG00000141510
MO000043891	ENSG00000141510
MO000043902	ENSG00000141510
MO000043956	ENSG00000141510
MO000044169	ENSG00000141510
MO000044170	ENSG00000141510
MO000044353	ENSG00000141510
MO000044815	ENSG00000141510
MO000044890	ENSG00000141510
MO000044905	ENSG00000141510
MO000044906	ENSG00000141510
MO000044909	ENSG00000141510
MO000044919	ENSG00000141510
MO000044921	ENSG00000141510
MO000044926	ENSG00000141510
MO000044977	ENSG00000141510
MO000044978	ENSG00000141510
MO000044984	ENSG00000141510
MO000044989	ENSG00000141510
MO000044990	ENSG00000141510
MO000044991	ENSG00000141510
MO000044993	ENSG00000141510
MO000044994	ENSG00000141510
MO000045006	ENSG00000141510
MO000045018	ENSG00000141510
MO000045059	ENSG00000141510
MO000045067	ENSG00000141510
MO000045157	ENSG00000141510
MO000045160	ENSG00000141510
MO000045167	ENSG00000141510
MO000045169	ENSG00000141510
MO000045170	ENSG00000141510
MO000045210	ENSG00000141510
MO000045211	ENSG00000141510
MO000045217	ENSG00000141510
MO000045228	ENSG00000141510
MO000045240	ENSG00000141510
MO000045248	ENSG00000141510
MO000045254	ENSG00000141510
MO000045265	ENSG00000141510
MO000045297	ENSG00000141510
MO000045303	ENSG00000141510
MO000045355	ENSG00000141510
MO000045358	ENSG00000141510
MO000045408	ENSG00000141510
MO000045431	ENSG00000141510
MO000045437	ENSG00000141510
MO000045450	ENSG00000141510
MO000045451	ENSG00000141510
MO000045470	ENSG00000141510
MO000046127	ENSG00000141510
MO000046128	ENSG00000141510
MO000056459	ENSG00000141510
MO000056623	ENSG00000141510
MO000056624	ENSG00000141510
MO000057270	ENSG00000141510
MO000057271	ENSG00000141510
MO000057273	ENSG00000141510
MO000057274	ENSG00000141510
MO000057275	ENSG00000141510
MO000057556	ENSG00000141510
MO000057557	ENSG00000141510
MO000057558	ENSG00000141510
MO000057559	ENSG00000141510
MO000057560	ENSG00000141510
MO000057561	ENSG00000141510
MO000057562	ENSG00000141510
MO000057806	ENSG00000141510
MO000058335	ENSG00000141510
MO000058362	ENSG00000141510
MO000058536	ENSG00000141510
