ID	Hits	Hit names
MO000000001	[]	[]
MO000000008	[]	[]
MO000000009	[]	[]
MO000000012	[]	[]
MO000000013	[]	[]
MO000000014	[]	[]
MO000000015	[]	[]
MO000000018	[]	[]
MO000000023	[]	[]
MO000000048	[]	[]
MO000000049	[]	[]
MO000000058	[]	[]
MO000000060	[]	[]
MO000000073	[]	[]
MO000000074	[]	[]
MO000000075	[]	[]
MO000000076	[]	[]
MO000000077	[]	[]
MO000000078	[]	[]
MO000000081	[]	[]
MO000000095	[]	[]
MO000000104	[]	[]
MO000000105	[]	[]
MO000000106	[]	[]
MO000000107	[]	[]
MO000000108	[]	[]
MO000000110	[]	[]
MO000000111	[]	[]
MO000000127	[]	[]
MO000000129	[]	[]
MO000000131	[]	[]
MO000000141	[]	[]
MO000000146	[]	[]
MO000000149	[]	[]
MO000000152	[]	[]
MO000000191	[]	[]
MO000000193	[]	[]
MO000000199	[]	[]
MO000000200	[]	[]
MO000000210	[]	[]
MO000000211	[]	[]
MO000000218	[]	[]
MO000000223	[]	[]
MO000000229	[]	[]
MO000000231	[]	[]
MO000000244	[]	[]
MO000000248	[]	[]
MO000000254	[]	[]
MO000000266	[]	[]
MO000000276	[]	[]
MO000000277	[]	[]
MO000000284	[]	[]
MO000000286	[]	[]
MO000000292	[]	[]
MO000000294	[]	[]
MO000000306	[]	[]
MO000000337	[]	[]
MO000000341	[]	[]
MO000007821	[]	[]
MO000007822	[]	[]
MO000007906	[]	[]
MO000008120	[]	[]
MO000009092	[]	[]
MO000009386	[]	[]
MO000009772	[]	[]
MO000009776	[]	[]
MO000009858	[]	[]
MO000011894	[]	[]
MO000013122	[]	[]
MO000013123	[]	[]
MO000013470	[]	[]
MO000013471	[]	[]
MO000014018	[]	[]
MO000016568	[]	[]
MO000016574	[]	[]
MO000016584	[]	[]
MO000016585	[]	[]
MO000016586	[]	[]
MO000016587	[]	[]
MO000016627	[]	[]
MO000016632	[]	[]
MO000016633	[]	[]
MO000016634	[]	[]
MO000016635	[]	[]
MO000016636	[]	[]
MO000016661	[]	[]
MO000016677	[]	[]
MO000016681	[]	[]
MO000016708	[]	[]
MO000016714	[]	[]
MO000016717	[]	[]
MO000016720	[]	[]
MO000016791	[]	[]
MO000016802	[]	[]
MO000016803	[]	[]
MO000016805	[]	[]
MO000016806	[]	[]
MO000016807	[]	[]
MO000016815	[]	[]
MO000016816	[]	[]
MO000016817	[]	[]
MO000016818	[]	[]
MO000016819	[]	[]
MO000016822	[]	[]
MO000016825	[]	[]
MO000016839	[]	[]
MO000016841	[]	[]
MO000016862	[]	[]
MO000016869	[]	[]
MO000016872	[]	[]
MO000016885	[]	[]
MO000016886	[]	[]
MO000016903	[]	[]
MO000016910	[]	[]
MO000016914	[]	[]
MO000016927	[]	[]
MO000016941	[]	[]
MO000016957	[]	[]
MO000016969	[]	[]
MO000016989	[]	[]
MO000017007	[]	[]
MO000017034	[]	[]
MO000017058	[]	[]
MO000017059	[]	[]
MO000017115	[]	[]
MO000017128	[]	[]
MO000017143	[]	[]
MO000017148	[]	[]
MO000017173	[]	[]
MO000017192	[]	[]
MO000017203	[]	[]
MO000017205	[]	[]
MO000017213	[]	[]
MO000017218	[]	[]
MO000017222	[]	[]
MO000017225	[]	[]
MO000017242	[]	[]
MO000017259	[]	[]
MO000017291	[]	[]
MO000017332	[]	[]
MO000017356	[]	[]
MO000017366	[]	[]
MO000017395	[]	[]
MO000017396	[]	[]
MO000017397	[]	[]
MO000017401	[]	[]
MO000017412	[]	[]
MO000017425	[]	[]
MO000017431	[]	[]
MO000017462	[]	[]
MO000017465	[]	[]
MO000017468	[]	[]
MO000017501	[]	[]
MO000017507	[]	[]
MO000017524	[]	[]
MO000017526	[]	[]
MO000017532	[]	[]
MO000017545	[]	[]
MO000017547	[]	[]
MO000017548	[]	[]
MO000017549	[]	[]
MO000017598	[]	[]
MO000017616	[]	[]
MO000017622	[]	[]
MO000017642	[]	[]
MO000017644	[]	[]
MO000017649	[]	[]
MO000017658	[]	[]
MO000017700	[]	[]
MO000017735	[]	[]
MO000017738	[]	[]
MO000017754	[]	[]
MO000017774	[]	[]
MO000017787	[]	[]
MO000017790	[]	[]
MO000017809	[]	[]
MO000017822	[]	[]
MO000017850	[]	[]
MO000017856	[]	[]
MO000017859	[]	[]
MO000018171	[]	[]
MO000018267	[]	[]
MO000018272	[]	[]
MO000018274	[]	[]
MO000018334	[]	[]
MO000018441	[]	[]
MO000018446	[]	[]
MO000018454	[]	[]
MO000018789	[]	[]
MO000018791	[]	[]
MO000018799	[]	[]
MO000018821	[]	[]
MO000018834	[]	[]
MO000018836	[]	[]
MO000018837	[]	[]
MO000018838	[]	[]
MO000018840	[]	[]
MO000018845	[]	[]
MO000018856	[]	[]
MO000018857	[]	[]
MO000018864	[]	[]
MO000018866	[]	[]
MO000018901	[]	[]
MO000018902	[]	[]
MO000018903	[]	[]
MO000018931	[]	[]
MO000018938	[]	[]
MO000018939	[]	[]
MO000018951	[]	[]
MO000018952	[]	[]
MO000018953	[]	[]
MO000018956	[]	[]
MO000018959	[]	[]
MO000018961	[]	[]
MO000018971	[]	[]
MO000019089	[]	[]
MO000019107	[]	[]
MO000019149	[]	[]
MO000019259	[]	[]
MO000019260	[]	[]
MO000019261	[]	[]
MO000019310	[]	[]
MO000019311	[]	[]
MO000019342	[]	[]
MO000019343	[]	[]
MO000019356	[]	[]
MO000019359	[]	[]
MO000019363	[]	[]
MO000019387	[]	[]
MO000019433	[]	[]
MO000019434	[]	[]
MO000019438	[]	[]
MO000019439	[]	[]
MO000019440	[]	[]
MO000019454	[]	[]
MO000019461	[]	[]
MO000019469	[]	[]
MO000019473	[]	[]
MO000019474	[]	[]
MO000019489	[]	[]
MO000019490	[]	[]
MO000019493	[]	[]
MO000019494	[]	[]
MO000019548	[]	[]
MO000019560	[]	[]
MO000019562	[]	[]
MO000019585	[]	[]
MO000019596	[]	[]
MO000019613	[]	[]
MO000019622	[]	[]
MO000019641	[]	[]
MO000019642	[]	[]
MO000019689	[]	[]
MO000019707	[]	[]
MO000019708	[]	[]
MO000019709	[]	[]
MO000019710	[]	[]
MO000019722	[]	[]
MO000019726	[]	[]
MO000019728	[]	[]
MO000019732	[]	[]
MO000019733	[]	[]
MO000019734	[]	[]
MO000019735	[]	[]
MO000019736	[]	[]
MO000019737	[]	[]
MO000019738	[]	[]
MO000019760	[]	[]
MO000019766	[]	[]
MO000019779	["MO000020308","MO000041035","MO000280671","MO000308694"]	["SARA(h):Smad2-L(h)","Smad2-L(h):LEMD3(h)","p300(h):Smad2-L(h)","wwp2-isoform1(h):Smad2-L(h)"]
MO000019782	[]	[]
MO000019830	[]	[]
MO000019966	[]	[]
MO000019978	[]	[]
MO000019984	[]	[]
MO000019985	["MO000041035"]	["p300(h):Smad2-L(h)"]
MO000019986	[]	[]
MO000019987	[]	[]
MO000019988	[]	[]
MO000019990	[]	[]
MO000019999	[]	[]
MO000020001	[]	[]
MO000020004	[]	[]
MO000020010	[]	[]
MO000020011	[]	[]
MO000020012	[]	[]
MO000020013	[]	[]
MO000020026	[]	[]
MO000020068	[]	[]
MO000020069	[]	[]
MO000020071	[]	[]
MO000020072	[]	[]
MO000020075	[]	[]
MO000020076	[]	[]
MO000020081	[]	[]
MO000020082	[]	[]
MO000020095	[]	[]
MO000020096	[]	[]
MO000020097	[]	[]
MO000020098	[]	[]
MO000020099	[]	[]
MO000020100	[]	[]
MO000020101	[]	[]
MO000020102	[]	[]
MO000020103	[]	[]
MO000020104	[]	[]
MO000020106	[]	[]
MO000020107	[]	[]
MO000020112	[]	[]
MO000020126	[]	[]
MO000020132	[]	[]
MO000020181	[]	[]
MO000020227	[]	[]
MO000020228	[]	[]
MO000020247	[]	[]
MO000020248	[]	[]
MO000020249	[]	[]
MO000020256	[]	[]
MO000020260	[]	[]
MO000020261	[]	[]
MO000020262	[]	[]
MO000020279	[]	[]
MO000020308	["MO000019779"]	["Smad2-L(h)"]
MO000020327	[]	[]
MO000020336	[]	[]
MO000020403	[]	[]
MO000020405	[]	[]
MO000020412	[]	[]
MO000020422	[]	[]
MO000020426	[]	[]
MO000020430	[]	[]
MO000020431	[]	[]
MO000020463	[]	[]
MO000020509	[]	[]
MO000020511	[]	[]
MO000020657	[]	[]
MO000020659	[]	[]
MO000020693	[]	[]
MO000020775	[]	[]
MO000020777	[]	[]
MO000020801	[]	[]
MO000020808	[]	[]
MO000020815	[]	[]
MO000020835	[]	[]
MO000020944	[]	[]
MO000020951	[]	[]
MO000020953	[]	[]
MO000020954	[]	[]
MO000020956	[]	[]
MO000021004	[]	[]
MO000021006	[]	[]
MO000021024	[]	[]
MO000021038	[]	[]
MO000021039	[]	[]
MO000021043	[]	[]
MO000021046	[]	[]
MO000021053	[]	[]
MO000021100	[]	[]
MO000021136	[]	[]
MO000021137	[]	[]
MO000021172	[]	[]
MO000021173	[]	[]
MO000021174	[]	[]
MO000021217	[]	[]
MO000021242	[]	[]
MO000021274	[]	[]
MO000021282	[]	[]
MO000021309	[]	[]
MO000021310	[]	[]
MO000021326	[]	[]
MO000021342	[]	[]
MO000021343	[]	[]
MO000021350	[]	[]
MO000021355	[]	[]
MO000021356	[]	[]
MO000021373	[]	[]
MO000021375	[]	[]
MO000021410	[]	[]
MO000021421	[]	[]
MO000021473	[]	[]
MO000021521	[]	[]
MO000021528	[]	[]
MO000021532	[]	[]
MO000021533	[]	[]
MO000021539	[]	[]
MO000021545	[]	[]
MO000021546	[]	[]
MO000021550	[]	[]
MO000021574	[]	[]
MO000021607	[]	[]
MO000021638	[]	[]
MO000021639	[]	[]
MO000021655	[]	[]
MO000021656	[]	[]
MO000021660	[]	[]
MO000021735	[]	[]
MO000021736	[]	[]
MO000021739	[]	[]
MO000021740	[]	[]
MO000021743	[]	[]
MO000021744	[]	[]
MO000021746	[]	[]
MO000021748	[]	[]
MO000021750	[]	[]
MO000021752	[]	[]
MO000021781	[]	[]
MO000021784	[]	[]
MO000021786	[]	[]
MO000021802	[]	[]
MO000021805	[]	[]
MO000021822	[]	[]
MO000021828	[]	[]
MO000021834	[]	[]
MO000021835	[]	[]
MO000021836	[]	[]
MO000021837	[]	[]
MO000021841	[]	[]
MO000021893	[]	[]
MO000021896	[]	[]
MO000021911	[]	[]
MO000021923	[]	[]
MO000021924	[]	[]
MO000021981	[]	[]
MO000021983	[]	[]
MO000022022	[]	[]
MO000022026	[]	[]
MO000022072	[]	[]
MO000022077	[]	[]
MO000022078	[]	[]
MO000022080	[]	[]
MO000022081	[]	[]
MO000022083	[]	[]
MO000022095	[]	[]
MO000022097	[]	[]
MO000022098	[]	[]
MO000022117	[]	[]
MO000022118	[]	[]
MO000022119	[]	[]
MO000022120	[]	[]
MO000022121	[]	[]
MO000022122	[]	[]
MO000022129	[]	[]
