ID	Category	Title	Number of hits	Group size	Expected hits	P-value	Adjusted P-value	Hits	Hit names
D000071960DMK	Correlative	Breast Carcinoma In Situ	7	83	1.638118126866215	0.0012486765890354914	0.0031403430883054535	["ENSG00000105976","ENSG00000117984","ENSG00000118785","ENSG00000149269","ENSG00000164305","ENSG00000169047","ENSG00000189143"]	["CASP3","CLDN4","CTSD","IRS1","MET","PAK1","SPP1"]
D001941DMKR	Correlative	Breast Diseases	176	3572	70.49828854417012	5.5967998587524975E-42	5.9680542493830795E-40	["ENSG00000008710","ENSG00000010810","ENSG00000011304","ENSG00000011422","ENSG00000011465","ENSG00000017427","ENSG00000026025","ENSG00000026103","ENSG00000026508","ENSG00000038427","ENSG00000049323","ENSG00000049540","ENSG00000050820","ENSG00000064012","ENSG00000067606","ENSG00000067900","ENSG00000072832","ENSG00000075624","ENSG00000077782","ENSG00000077942","ENSG00000080824","ENSG00000081237","ENSG00000082781","ENSG00000087245","ENSG00000087303","ENSG00000089159","ENSG00000091513","ENSG00000091831","ENSG00000092820","ENSG00000096968","ENSG00000097007","ENSG00000100393","ENSG00000100985","ENSG00000101096","ENSG00000101266","ENSG00000103275","ENSG00000104415","ENSG00000105329","ENSG00000105464","ENSG00000105647","ENSG00000105974","ENSG00000105976","ENSG00000106299","ENSG00000108424","ENSG00000108518","ENSG00000108821","ENSG00000108953","ENSG00000109062","ENSG00000109072","ENSG00000109320","ENSG00000109971","ENSG00000111679","ENSG00000111859","ENSG00000112715","ENSG00000113070","ENSG00000113140","ENSG00000114270","ENSG00000115414","ENSG00000115461","ENSG00000115904","ENSG00000116106","ENSG00000116478","ENSG00000116560","ENSG00000116962","ENSG00000117560","ENSG00000117984","ENSG00000118137","ENSG00000118785","ENSG00000120738","ENSG00000120899","ENSG00000122194","ENSG00000123384","ENSG00000124181","ENSG00000125378","ENSG00000125753","ENSG00000125810","ENSG00000127445","ENSG00000129219","ENSG00000132470","ENSG00000132561","ENSG00000134352","ENSG00000135218","ENSG00000135919","ENSG00000136238","ENSG00000136603","ENSG00000136754","ENSG00000136999","ENSG00000137575","ENSG00000137801","ENSG00000138448","ENSG00000138685","ENSG00000138794","ENSG00000139687","ENSG00000140285","ENSG00000140443","ENSG00000141646","ENSG00000141736","ENSG00000141753","ENSG00000141968","ENSG00000142192","ENSG00000142208","ENSG00000142798","ENSG00000142949","ENSG00000143632","ENSG00000145675","ENSG00000146648","ENSG00000146674","ENSG00000148848","ENSG00000149269","ENSG00000149294","ENSG00000149948","ENSG00000149968","ENSG00000150093","ENSG00000150995","ENSG00000151491","ENSG00000152104","ENSG00000154134","ENSG00000154229","ENSG00000154380","ENSG00000156508","ENSG00000158195","ENSG00000160691","ENSG00000161638","ENSG00000162434","ENSG00000163235","ENSG00000163453","ENSG00000163520","ENSG00000164305","ENSG00000164692","ENSG00000164924","ENSG00000165025","ENSG00000165806","ENSG00000166598","ENSG00000166886","ENSG00000166949","ENSG00000167193","ENSG00000167244","ENSG00000168036","ENSG00000168542","ENSG00000168610","ENSG00000169047","ENSG00000169398","ENSG00000170312","ENSG00000170365","ENSG00000170458","ENSG00000171105","ENSG00000171132","ENSG00000171403","ENSG00000173039","ENSG00000173372","ENSG00000173801","ENSG00000174130","ENSG00000174775","ENSG00000175387","ENSG00000175899","ENSG00000176884","ENSG00000177885","ENSG00000179295","ENSG00000180210","ENSG00000180370","ENSG00000185591","ENSG00000186575","ENSG00000186868","ENSG00000189143","ENSG00000196352","ENSG00000196405","ENSG00000196712","ENSG00000196924","ENSG00000197043","ENSG00000197122","ENSG00000197471","ENSG00000197694","ENSG00000198668","ENSG00000232810","ENSG00000259207","ENSG00000261371"]	["A2M","ABI1","ABL1","ACTA1","ACTB","ADAM12","AKT1","ANXA6","APOA1","APP","BCAR1","BMP4","C1QA","CALM1","CASP3","CASP6","CASP7","CASP8","CAV1","CD14","CD36","CD44","CD55","CD93","CDK1","CLDN4","COL1A1","COL1A2","COL3A1","COL7A1","CRK","CRMP1","CSNK2A1","CTNNB1","CTSD","DCN","EEF1A1","EGFR","EGR1","ELN","ENAH","EP300","EPHA4","EPS8","ERBB2","ESR1","EVL","EZR","F2","FAS","FASLG","FBLN1","FBLN2","FGF2","FGF7","FGFR1","FLNA","FN1","FYN","GRB2","GRIN1","GRIN2D","HBEGF","HDAC1","HMGA2","HRAS (ENSG00000174775)","HSP90AA1","HSP90B1","HSPA8","HSPG2","IGF1","IGF1R","IGF2","IGFBP3","IGFBP4","IGFBP5","IGFBP7","IL6ST","INSR","IRS1","ITGA5","ITGAV","ITGB1","ITGB3","ITGB4","ITGB5","ITPR1","JAK1","JAK2","JUP","KPNB1","KRT9","LRP1","LTBP1","MAPT","MATN2","MET","MMP2","MMP3","MMP9","NAB2","NCAM1","NEDD9","NF1","NF2","NFATC2","NFKB1","NID1","NID2","NOV","PAK1","PAK2","PECAM1","PFN1","PIK3R1","PIK3R2","PIN1","PKD1","PLAUR","PLCG1","PLD2","PLG","PRKCA","PRKCE","PRKCZ","PTBP1","PTK2","PTK2B","PTPN11","PTPN14","PTPN6","PTPRC","PTPRF","PXN","RAC1","RB1","RELA","ROBO3","ROCK1","SDCBP","SERPINE2","SFPQ","SHC1","SKIL","SLC9A3R1","SMAD1","SMAD2","SMAD3","SMAD4","SOS1","SP1","SPARC","SPN","SPP1","SPTAN1","SRC","STAT3","SYK","TF","TGFA","TGFB1","THBS1","TLR6","TNF (ENSG00000232810)","UBE2I","VASP","VAV1","VCAN","VEGFA","VIM","VTN","WASF2","WASL","WISP1","YWHAE (ENSG00000108953)","YWHAZ"]
D001941MMCH	Causal	Breast Diseases	79	891	17.58509941009395	2.444906322388615E-31	7.44881459554398E-30	["ENSG00000010610","ENSG00000017427","ENSG00000026508","ENSG00000050820","ENSG00000067606","ENSG00000077942","ENSG00000080824","ENSG00000082781","ENSG00000087245","ENSG00000089159","ENSG00000091831","ENSG00000100985","ENSG00000101096","ENSG00000103266","ENSG00000104067","ENSG00000105329","ENSG00000105974","ENSG00000105976","ENSG00000106299","ENSG00000108518","ENSG00000108821","ENSG00000109062","ENSG00000111859","ENSG00000112715","ENSG00000113140","ENSG00000115414","ENSG00000115904","ENSG00000116478","ENSG00000117560","ENSG00000120738","ENSG00000120899","ENSG00000122194","ENSG00000127445","ENSG00000132470","ENSG00000134871","ENSG00000136238","ENSG00000137575","ENSG00000138448","ENSG00000139687","ENSG00000140285","ENSG00000140443","ENSG00000141736","ENSG00000142208","ENSG00000142949","ENSG00000146648","ENSG00000148848","ENSG00000149269","ENSG00000149948","ENSG00000150093","ENSG00000154229","ENSG00000160691","ENSG00000161638","ENSG00000162434","ENSG00000163235","ENSG00000163520","ENSG00000163629","ENSG00000164305","ENSG00000164924","ENSG00000165025","ENSG00000166598","ENSG00000166949","ENSG00000167193","ENSG00000167244","ENSG00000168036","ENSG00000168610","ENSG00000169047","ENSG00000169398","ENSG00000173039","ENSG00000174775","ENSG00000175387","ENSG00000177885","ENSG00000179295","ENSG00000180370","ENSG00000185591","ENSG00000186868","ENSG00000196230","ENSG00000196712","ENSG00000197043","ENSG00000232810"]	["ADAM12","AKT1","ANXA6","BCAR1","CASP3","CAV1","CD4","CD44","COL1A1","COL4A2","CRK","CTNNB1","EGFR","EGR1","ERBB2","ESR1","FASLG","FBLN1","FBLN2","FGF7","FN1","GRB2","HDAC1","HMGA2","HRAS (ENSG00000174775)","HSP90AA1","HSP90B1","IGF1","IGF1R","IGF2","IRS1","ITGA5","ITGAV","ITGB1","ITGB4","ITGB5","JAK1","MAPT","MET","MMP2","MMP9","NEDD9","NF1","NFATC2","PAK1","PAK2","PFN1","PIN1","PLG","PRKCA","PRKCZ","PTK2","PTK2B","PTPN11","PTPN13","PTPRF","PXN","RAC1","RB1","RELA","SDCBP","SHC1","SLC9A3R1","SMAD2","SMAD3","SOS1","SP1","SPARC","STAT3","STUB1","SYK","TGFA","TGFB1","TJP1 (ENSG00000104067)","TNF (ENSG00000232810)","TUBB (ENSG00000196230)","VEGFA","WASL","YWHAZ"]
D001941NCOR	Negative	Breast Diseases	25	219	4.322263491369893	1.3320666468143811E-12	9.886963348397227E-12	["ENSG00000017427","ENSG00000026025","ENSG00000026103","ENSG00000064012","ENSG00000067606","ENSG00000091831","ENSG00000100985","ENSG00000105329","ENSG00000116106","ENSG00000118785","ENSG00000137801","ENSG00000139687","ENSG00000141736","ENSG00000141753","ENSG00000142208","ENSG00000146674","ENSG00000163235","ENSG00000167244","ENSG00000169047","ENSG00000171105","ENSG00000173372","ENSG00000174775","ENSG00000186575","ENSG00000232810","ENSG00000259207"]	["AKT1","C1QA","CASP8","EPHA4","ERBB2","ESR1","FAS","HRAS (ENSG00000174775)","IGF1","IGF2","IGFBP3","IGFBP4","INSR","IRS1","ITGB3","MMP9","NF2","PRKCZ","RB1","SPP1","TGFA","TGFB1","THBS1","TNF (ENSG00000232810)","VIM"]
D001941TTGT	Preventative	Breast Diseases	68	524	10.341854198528877	5.360617699987599E-37	2.722002543215925E-35	["ENSG00000005339","ENSG00000010610","ENSG00000011422","ENSG00000017427","ENSG00000026103","ENSG00000064012","ENSG00000077782","ENSG00000077942","ENSG00000080824","ENSG00000089159","ENSG00000091831","ENSG00000096968","ENSG00000097007","ENSG00000100097","ENSG00000100985","ENSG00000101096","ENSG00000101266","ENSG00000104067","ENSG00000105329","ENSG00000105974","ENSG00000105976","ENSG00000111679","ENSG00000111859","ENSG00000112715","ENSG00000113140","ENSG00000116478","ENSG00000117560","ENSG00000117984","ENSG00000118785","ENSG00000120738","ENSG00000122194","ENSG00000123384","ENSG00000132470","ENSG00000134352","ENSG00000136754","ENSG00000137575","ENSG00000137801","ENSG00000138448","ENSG00000138685","ENSG00000139687","ENSG00000140285","ENSG00000140443","ENSG00000141646","ENSG00000141736","ENSG00000142208","ENSG00000145675","ENSG00000146648","ENSG00000146674","ENSG00000149269","ENSG00000149968","ENSG00000150093","ENSG00000154229","ENSG00000163235","ENSG00000163453","ENSG00000164305","ENSG00000165025","ENSG00000165806","ENSG00000167244","ENSG00000168610","ENSG00000169047","ENSG00000169398","ENSG00000170312","ENSG00000171132","ENSG00000177885","ENSG00000185591","ENSG00000232810","ENSG00000254087","ENSG00000259207"]	["ABI1","ABL1","AKT1","CASP3","CASP7","CASP8","CAV1","CD4","CDK1","CREBBP","CSNK2A1","CTSD","EGFR","EGR1","ERBB2","ESR1","FAS","FASLG","FBLN1","FGF2","FGF7","FGFR1","GRB2","HDAC1","HSP90AA1","IGF1","IGF1R","IGF2","IGFBP3","IGFBP7","IL6ST","IRS1","ITGAV","ITGB1","ITGB3","ITGB4","JAK2","LGALS1","LRP1","LYN","MET","MMP3","MMP9","NEDD9","NFATC2","PAK1","PIK3R1","PLAUR","PLG","PRKCA","PRKCE","PTK2","PTPN6","PXN","RB1","SDCBP","SMAD4","SP1","SPARC","SPP1","STAT3","SYK","TGFA","TGFB1","THBS1","TJP1 (ENSG00000104067)","TNF (ENSG00000232810)","VEGFA"]
D001943DMKR	Correlative	Breast Neoplasms	176	3571	70.47855218119584	5.3707934236078016E-42	5.924540745559089E-40	["ENSG00000008710","ENSG00000010810","ENSG00000011304","ENSG00000011422","ENSG00000011465","ENSG00000017427","ENSG00000026025","ENSG00000026103","ENSG00000026508","ENSG00000038427","ENSG00000049323","ENSG00000049540","ENSG00000050820","ENSG00000064012","ENSG00000067606","ENSG00000067900","ENSG00000072832","ENSG00000075624","ENSG00000077782","ENSG00000077942","ENSG00000080824","ENSG00000081237","ENSG00000082781","ENSG00000087245","ENSG00000087303","ENSG00000089159","ENSG00000091513","ENSG00000091831","ENSG00000092820","ENSG00000096968","ENSG00000097007","ENSG00000100393","ENSG00000100985","ENSG00000101096","ENSG00000101266","ENSG00000103275","ENSG00000104415","ENSG00000105329","ENSG00000105464","ENSG00000105647","ENSG00000105974","ENSG00000105976","ENSG00000106299","ENSG00000108424","ENSG00000108518","ENSG00000108821","ENSG00000108953","ENSG00000109062","ENSG00000109072","ENSG00000109320","ENSG00000109971","ENSG00000111679","ENSG00000111859","ENSG00000112715","ENSG00000113070","ENSG00000113140","ENSG00000114270","ENSG00000115414","ENSG00000115461","ENSG00000115904","ENSG00000116106","ENSG00000116478","ENSG00000116560","ENSG00000116962","ENSG00000117560","ENSG00000117984","ENSG00000118137","ENSG00000118785","ENSG00000120738","ENSG00000120899","ENSG00000122194","ENSG00000123384","ENSG00000124181","ENSG00000125378","ENSG00000125753","ENSG00000125810","ENSG00000127445","ENSG00000129219","ENSG00000132470","ENSG00000132561","ENSG00000134352","ENSG00000135218","ENSG00000135919","ENSG00000136238","ENSG00000136603","ENSG00000136754","ENSG00000136999","ENSG00000137575","ENSG00000137801","ENSG00000138448","ENSG00000138685","ENSG00000138794","ENSG00000139687","ENSG00000140285","ENSG00000140443","ENSG00000141646","ENSG00000141736","ENSG00000141753","ENSG00000141968","ENSG00000142192","ENSG00000142208","ENSG00000142798","ENSG00000142949","ENSG00000143632","ENSG00000145675","ENSG00000146648","ENSG00000146674","ENSG00000148848","ENSG00000149269","ENSG00000149294","ENSG00000149948","ENSG00000149968","ENSG00000150093","ENSG00000150995","ENSG00000151491","ENSG00000152104","ENSG00000154134","ENSG00000154229","ENSG00000154380","ENSG00000156508","ENSG00000158195","ENSG00000160691","ENSG00000161638","ENSG00000162434","ENSG00000163235","ENSG00000163453","ENSG00000163520","ENSG00000164305","ENSG00000164692","ENSG00000164924","ENSG00000165025","ENSG00000165806","ENSG00000166598","ENSG00000166886","ENSG00000166949","ENSG00000167193","ENSG00000167244","ENSG00000168036","ENSG00000168542","ENSG00000168610","ENSG00000169047","ENSG00000169398","ENSG00000170312","ENSG00000170365","ENSG00000170458","ENSG00000171105","ENSG00000171132","ENSG00000171403","ENSG00000173039","ENSG00000173372","ENSG00000173801","ENSG00000174130","ENSG00000174775","ENSG00000175387","ENSG00000175899","ENSG00000176884","ENSG00000177885","ENSG00000179295","ENSG00000180210","ENSG00000180370","ENSG00000185591","ENSG00000186575","ENSG00000186868","ENSG00000189143","ENSG00000196352","ENSG00000196405","ENSG00000196712","ENSG00000196924","ENSG00000197043","ENSG00000197122","ENSG00000197471","ENSG00000197694","ENSG00000198668","ENSG00000232810","ENSG00000259207","ENSG00000261371"]	["A2M","ABI1","ABL1","ACTA1","ACTB","ADAM12","AKT1","ANXA6","APOA1","APP","BCAR1","BMP4","C1QA","CALM1","CASP3","CASP6","CASP7","CASP8","CAV1","CD14","CD36","CD44","CD55","CD93","CDK1","CLDN4","COL1A1","COL1A2","COL3A1","COL7A1","CRK","CRMP1","CSNK2A1","CTNNB1","CTSD","DCN","EEF1A1","EGFR","EGR1","ELN","ENAH","EP300","EPHA4","EPS8","ERBB2","ESR1","EVL","EZR","F2","FAS","FASLG","FBLN1","FBLN2","FGF2","FGF7","FGFR1","FLNA","FN1","FYN","GRB2","GRIN1","GRIN2D","HBEGF","HDAC1","HMGA2","HRAS (ENSG00000174775)","HSP90AA1","HSP90B1","HSPA8","HSPG2","IGF1","IGF1R","IGF2","IGFBP3","IGFBP4","IGFBP5","IGFBP7","IL6ST","INSR","IRS1","ITGA5","ITGAV","ITGB1","ITGB3","ITGB4","ITGB5","ITPR1","JAK1","JAK2","JUP","KPNB1","KRT9","LRP1","LTBP1","MAPT","MATN2","MET","MMP2","MMP3","MMP9","NAB2","NCAM1","NEDD9","NF1","NF2","NFATC2","NFKB1","NID1","NID2","NOV","PAK1","PAK2","PECAM1","PFN1","PIK3R1","PIK3R2","PIN1","PKD1","PLAUR","PLCG1","PLD2","PLG","PRKCA","PRKCE","PRKCZ","PTBP1","PTK2","PTK2B","PTPN11","PTPN14","PTPN6","PTPRC","PTPRF","PXN","RAC1","RB1","RELA","ROBO3","ROCK1","SDCBP","SERPINE2","SFPQ","SHC1","SKIL","SLC9A3R1","SMAD1","SMAD2","SMAD3","SMAD4","SOS1","SP1","SPARC","SPN","SPP1","SPTAN1","SRC","STAT3","SYK","TF","TGFA","TGFB1","THBS1","TLR6","TNF (ENSG00000232810)","UBE2I","VASP","VAV1","VCAN","VEGFA","VIM","VTN","WASF2","WASL","WISP1","YWHAE (ENSG00000108953)","YWHAZ"]
D001943MMCH	Causal	Breast Neoplasms	79	890	17.565363047119657	2.261415474297314E-31	6.956027021420296E-30	["ENSG00000010610","ENSG00000017427","ENSG00000026508","ENSG00000050820","ENSG00000067606","ENSG00000077942","ENSG00000080824","ENSG00000082781","ENSG00000087245","ENSG00000089159","ENSG00000091831","ENSG00000100985","ENSG00000101096","ENSG00000103266","ENSG00000104067","ENSG00000105329","ENSG00000105974","ENSG00000105976","ENSG00000106299","ENSG00000108518","ENSG00000108821","ENSG00000109062","ENSG00000111859","ENSG00000112715","ENSG00000113140","ENSG00000115414","ENSG00000115904","ENSG00000116478","ENSG00000117560","ENSG00000120738","ENSG00000120899","ENSG00000122194","ENSG00000127445","ENSG00000132470","ENSG00000134871","ENSG00000136238","ENSG00000137575","ENSG00000138448","ENSG00000139687","ENSG00000140285","ENSG00000140443","ENSG00000141736","ENSG00000142208","ENSG00000142949","ENSG00000146648","ENSG00000148848","ENSG00000149269","ENSG00000149948","ENSG00000150093","ENSG00000154229","ENSG00000160691","ENSG00000161638","ENSG00000162434","ENSG00000163235","ENSG00000163520","ENSG00000163629","ENSG00000164305","ENSG00000164924","ENSG00000165025","ENSG00000166598","ENSG00000166949","ENSG00000167193","ENSG00000167244","ENSG00000168036","ENSG00000168610","ENSG00000169047","ENSG00000169398","ENSG00000173039","ENSG00000174775","ENSG00000175387","ENSG00000177885","ENSG00000179295","ENSG00000180370","ENSG00000185591","ENSG00000186868","ENSG00000196230","ENSG00000196712","ENSG00000197043","ENSG00000232810"]	["ADAM12","AKT1","ANXA6","BCAR1","CASP3","CAV1","CD4","CD44","COL1A1","COL4A2","CRK","CTNNB1","EGFR","EGR1","ERBB2","ESR1","FASLG","FBLN1","FBLN2","FGF7","FN1","GRB2","HDAC1","HMGA2","HRAS (ENSG00000174775)","HSP90AA1","HSP90B1","IGF1","IGF1R","IGF2","IRS1","ITGA5","ITGAV","ITGB1","ITGB4","ITGB5","JAK1","MAPT","MET","MMP2","MMP9","NEDD9","NF1","NFATC2","PAK1","PAK2","PFN1","PIN1","PLG","PRKCA","PRKCZ","PTK2","PTK2B","PTPN11","PTPN13","PTPRF","PXN","RAC1","RB1","RELA","SDCBP","SHC1","SLC9A3R1","SMAD2","SMAD3","SOS1","SP1","SPARC","STAT3","STUB1","SYK","TGFA","TGFB1","TJP1 (ENSG00000104067)","TNF (ENSG00000232810)","TUBB (ENSG00000196230)","VEGFA","WASL","YWHAZ"]
D001943NCOR	Negative	Breast Neoplasms	23	213	4.203845313524142	3.459398716605365E-11	2.364661644106958E-10	["ENSG00000017427","ENSG00000026103","ENSG00000064012","ENSG00000067606","ENSG00000091831","ENSG00000100985","ENSG00000105329","ENSG00000116106","ENSG00000118785","ENSG00000137801","ENSG00000139687","ENSG00000141736","ENSG00000141753","ENSG00000142208","ENSG00000146674","ENSG00000167244","ENSG00000169047","ENSG00000171105","ENSG00000173372","ENSG00000174775","ENSG00000186575","ENSG00000232810","ENSG00000259207"]	["AKT1","C1QA","CASP8","EPHA4","ERBB2","ESR1","FAS","HRAS (ENSG00000174775)","IGF1","IGF2","IGFBP3","IGFBP4","INSR","IRS1","ITGB3","MMP9","NF2","PRKCZ","RB1","SPP1","TGFB1","THBS1","TNF (ENSG00000232810)"]
D001943TTGT	Preventative	Breast Neoplasms	68	524	10.341854198528877	5.360617699987599E-37	2.722002543215925E-35	["ENSG00000005339","ENSG00000010610","ENSG00000011422","ENSG00000017427","ENSG00000026103","ENSG00000064012","ENSG00000077782","ENSG00000077942","ENSG00000080824","ENSG00000089159","ENSG00000091831","ENSG00000096968","ENSG00000097007","ENSG00000100097","ENSG00000100985","ENSG00000101096","ENSG00000101266","ENSG00000104067","ENSG00000105329","ENSG00000105974","ENSG00000105976","ENSG00000111679","ENSG00000111859","ENSG00000112715","ENSG00000113140","ENSG00000116478","ENSG00000117560","ENSG00000117984","ENSG00000118785","ENSG00000120738","ENSG00000122194","ENSG00000123384","ENSG00000132470","ENSG00000134352","ENSG00000136754","ENSG00000137575","ENSG00000137801","ENSG00000138448","ENSG00000138685","ENSG00000139687","ENSG00000140285","ENSG00000140443","ENSG00000141646","ENSG00000141736","ENSG00000142208","ENSG00000145675","ENSG00000146648","ENSG00000146674","ENSG00000149269","ENSG00000149968","ENSG00000150093","ENSG00000154229","ENSG00000163235","ENSG00000163453","ENSG00000164305","ENSG00000165025","ENSG00000165806","ENSG00000167244","ENSG00000168610","ENSG00000169047","ENSG00000169398","ENSG00000170312","ENSG00000171132","ENSG00000177885","ENSG00000185591","ENSG00000232810","ENSG00000254087","ENSG00000259207"]	["ABI1","ABL1","AKT1","CASP3","CASP7","CASP8","CAV1","CD4","CDK1","CREBBP","CSNK2A1","CTSD","EGFR","EGR1","ERBB2","ESR1","FAS","FASLG","FBLN1","FGF2","FGF7","FGFR1","GRB2","HDAC1","HSP90AA1","IGF1","IGF1R","IGF2","IGFBP3","IGFBP7","IL6ST","IRS1","ITGAV","ITGB1","ITGB3","ITGB4","JAK2","LGALS1","LRP1","LYN","MET","MMP3","MMP9","NEDD9","NFATC2","PAK1","PIK3R1","PLAUR","PLG","PRKCA","PRKCE","PTK2","PTPN6","PXN","RB1","SDCBP","SMAD4","SP1","SPARC","SPP1","STAT3","SYK","TGFA","TGFB1","THBS1","TJP1 (ENSG00000104067)","TNF (ENSG00000232810)","VEGFA"]
D005348DMKR	Correlative	Fibrocystic Breast Disease	3	11	0.21709999271720923	0.001115529890182545	0.0028686335359276215	["ENSG00000105329","ENSG00000117984","ENSG00000138685"]	["CTSD","FGF2","TGFB1"]
