ID	Gene symbol ID	Gene symbol ID_1
ENSG00000005339	CREBBP	CREBBP
ENSG00000008056	SYN1	SYN1
ENSG00000008710	PKD1	PKD1
ENSG00000010810	FYN	FYN
ENSG00000011304	PTBP1	PTBP1
ENSG00000011422	PLAUR	PLAUR
ENSG00000011465	DCN	DCN
ENSG00000014216	CAPN1	CAPN1
ENSG00000015285	WAS	WAS
ENSG00000026103	FAS	FAS
ENSG00000026508	CD44	CD44
ENSG00000035115	SH3YL1	SH3YL1
ENSG00000038427	VCAN	VCAN
ENSG00000049323	LTBP1	LTBP1
ENSG00000050820	BCAR1	BCAR1
ENSG00000061676	NCKAP1	NCKAP1
ENSG00000064012	CASP8	CASP8
ENSG00000064961	HMG20B	HMG20B
ENSG00000067606	PRKCZ	PRKCZ
ENSG00000067900	ROCK1	ROCK1
ENSG00000070087	PFN2	PFN2
ENSG00000071051	NCK2	NCK2
ENSG00000075624	ACTB	ACTB
ENSG00000076641	PAG1	PAG1
ENSG00000077348	EXOSC5	EXOSC5
ENSG00000077782	FGFR1	FGFR1
ENSG00000077942	FBLN1	FBLN1
ENSG00000078018	MAP2	MAP2
ENSG00000080815	PSEN1	PSEN1
ENSG00000080824	HSP90AA1	HSP90AA1
ENSG00000081052	COL4A4	COL4A4
ENSG00000082781	ITGB5	ITGB5
ENSG00000084463	WBP11	WBP11
ENSG00000087077	TRIP6	TRIP6
ENSG00000087245	MMP2	MMP2
ENSG00000087266	SH3BP2	SH3BP2
ENSG00000089159	PXN	PXN
ENSG00000091831	ESR1	ESR1
ENSG00000092820	EZR	EZR
ENSG00000096968	JAK2	JAK2
ENSG00000097007	ABL1	ABL1
ENSG00000099942	CRKL	CRKL
ENSG00000100097	LGALS1	LGALS1
ENSG00000100106	TRIOBP	TRIOBP
ENSG00000100342	APOL1	APOL1
ENSG00000100393	EP300	EP300
ENSG00000100985	MMP9	MMP9
ENSG00000101096	NFATC2	NFATC2
ENSG00000101266	CSNK2A1	CSNK2A1
ENSG00000103266	STUB1	STUB1
ENSG00000103275	UBE2I	UBE2I
ENSG00000103653	CSK	CSK
ENSG00000104067	TJP1	TJP1
ENSG00000104415	WISP1	WISP1
ENSG00000105229	PIAS4	PIAS4
ENSG00000105329	TGFB1	TGFB1
ENSG00000105397	TYK2	TYK2
ENSG00000105464	GRIN2D	GRIN2D
ENSG00000105647	PIK3R2	PIK3R2
ENSG00000105974	CAV1	CAV1
ENSG00000105976	MET	MET
ENSG00000106299	WASL	WASL
ENSG00000106976	DNM1	DNM1
ENSG00000107338	SHB	SHB
ENSG00000108424	KPNB1	KPNB1
ENSG00000108821	COL1A1	COL1A1
ENSG00000109062	SLC9A3R1	SLC9A3R1
ENSG00000109072	VTN	VTN
ENSG00000109320	NFKB1	NFKB1
ENSG00000109971	HSPA8	HSPA8
ENSG00000110422	HIPK3	HIPK3
ENSG00000111679	PTPN6	PTPN6
ENSG00000111859	NEDD9	NEDD9
ENSG00000112715	VEGFA	VEGFA
ENSG00000113070	HBEGF	HBEGF
ENSG00000113140	SPARC	SPARC
ENSG00000114270	COL7A1	COL7A1
ENSG00000115325	DOK1	DOK1
ENSG00000115414	FN1	FN1
ENSG00000115461	IGFBP5	IGFBP5
ENSG00000115904	SOS1	SOS1
ENSG00000116106	EPHA4	EPHA4
ENSG00000116141	MARK1	MARK1
ENSG00000116478	HDAC1	HDAC1
ENSG00000116679	IVNS1ABP	IVNS1ABP
ENSG00000117122	MFAP2	MFAP2
ENSG00000117984	CTSD	CTSD
ENSG00000118898	PPL	PPL
ENSG00000120708	TGFBI	TGFBI
ENSG00000120738	EGR1	EGR1
ENSG00000120899	PTK2B	PTK2B
ENSG00000121741	ZMYM2	ZMYM2
ENSG00000123143	PKN1	PKN1
ENSG00000123384	LRP1	LRP1
ENSG00000124181	PLCG1	PLCG1
ENSG00000124788	ATXN1	ATXN1
ENSG00000125378	BMP4	BMP4
ENSG00000125450	NUP85	NUP85
ENSG00000125753	VASP	VASP
ENSG00000127445	PIN1	PIN1
ENSG00000127824	TUBA4A	TUBA4A
ENSG00000129219	PLD2	PLD2
ENSG00000130956	HABP4	HABP4
ENSG00000131788	PIAS3	PIAS3
ENSG00000132182	NUP210	NUP210
ENSG00000132470	ITGB4	ITGB4
ENSG00000132535	DLG4	DLG4
ENSG00000132561	MATN2	MATN2
ENSG00000134352	IL6ST	IL6ST
ENSG00000134871	COL4A2	COL4A2
ENSG00000135919	SERPINE2	SERPINE2
ENSG00000136238	RAC1	RAC1
ENSG00000136603	SKIL	SKIL
ENSG00000136754	ABI1	ABI1
ENSG00000136854	STXBP1	STXBP1
