ID	Gene symbol ID	UniProt ID	Average Intensity
ENSG00000001167	NFYA	P23511-2	25.60174875365753
ENSG00000002330	BAD	Q92934	23.39320402529428
ENSG00000002586	CD99	P14209	917.4721332983104
ENSG00000005007	UPF1	Q92900,Q92900-2	526.073982382306
ENSG00000005022	SLC25A5	P05141	9292.03618789071
ENSG00000005175	RPAP3	Q9H6T3	20.941500091879124
ENSG00000005884	ITGA3	P26006	1155.0052527360679
ENSG00000006451	RALA	P11233	249.4118561707515
ENSG00000008988	RPS20	P60866	4610.182725094726
ENSG00000010810	FYN	P06241	9.407487644225931
ENSG00000011304	PTBP1	P26599	4543.316217758473
ENSG00000011485	PPP5C	P53041	246.33576883999413
ENSG00000019582	CD74	P04233	81.13466992152091
ENSG00000023734	STRAP	Q9Y3F4	1235.4286970530193
ENSG00000025772	TOMM34	Q15785	443.647531094226
ENSG00000026508	CD44	P16070-4	3747.004446580857
ENSG00000033800	PIAS1	O75925	2.469548292043112
ENSG00000035403	VCL	P18206-2	1989.8838738190348
ENSG00000038358	EDC4	Q6P2E9	50.73682366261331
ENSG00000044115	CTNNA1	P35221	251.44904694218832
ENSG00000044574	HSPA5	P11021	14995.658327726145
ENSG00000055044	NOP58	Q9Y2X3	319.83582888629155
ENSG00000055332	EIF2AK2	P19525	176.43568744078314
ENSG00000058272	PPP1R12A	O14974	111.30749524871203
ENSG00000060339	CCAR1	Q8IX12-2	74.50015933591969
ENSG00000061676	NCKAP1	Q9Y2A7	122.80728926011952
ENSG00000063244	U2AF2	P26368-2	1150.2992165053147
ENSG00000064703	DDX20	Q9UHI6	24.744512511713978
ENSG00000065054	SLC9A3R2	Q15599	133.45747262681869
ENSG00000065150	IPO5	O00410	1075.4197512136318
ENSG00000065978	YBX1	P67809	3548.225004600082
ENSG00000067560	RHOA	P61586	6213.495058418708
ENSG00000067900	ROCK1	Q13464	26.623311994149287
ENSG00000070756	PABPC1	P11940	3275.23632154271
ENSG00000070770	CSNK2A2	P19784	119.2247462523495
ENSG00000070814	TCOF1	Q13428-3,Q13428-4	118.40933865604553
ENSG00000070831	CDC42	P60953,P60953-1	4564.005834817055
ENSG00000070950	RAD18	Q9NS91	5.150110227240017
ENSG00000071051	NCK2	O43639	81.55596623761394
ENSG00000071127	WDR1	O75083	8148.357803657461
ENSG00000071794	HLTF	Q14527	3.1349290672704786
ENSG00000072062	PRKACA	P17612	206.6057858634363
ENSG00000072110	ACTN1	P12814,P12814-2	10432.633760940735
ENSG00000072832	CRMP1	Q14194	638.5950872330611
ENSG00000073584	SMARCE1	Q969G3	104.72990841180436
ENSG00000074800	ENO1	P06733	126320.80797964419
ENSG00000075415	SLC25A3	Q00325-2	3151.2845617359526
ENSG00000076248	UNG	P13051	8.06575584508995
ENSG00000077150	NFKB2	Q00653,Q00653-4	21.958348474858134
ENSG00000077312	SNRPA	P09012	333.2695982603265
ENSG00000078747	ITCH	Q96J02-2	47.751302323098216
ENSG00000079246	XRCC5	P13010	1698.1082080243405
ENSG00000079482	OPHN1	O60890	0.5417291633753372
ENSG00000079785	DDX1	Q92499	477.16371157409696
ENSG00000080824	HSP90AA1	P07900,P07900-2	22266.332198739416
ENSG00000082701	GSK3B	P49841	33.167216033505284
ENSG00000082898	XPO1	O14980	529.9066087891682
ENSG00000083312	TNPO1	Q92973-2	777.1863790847199
ENSG00000084207	GSTP1	P09211	10071.657971304357
ENSG00000084623	EIF3I	Q13347	2870.9498479097538
ENSG00000084674	APOB	P04114	7.970534733229372
ENSG00000084774	CAD	P27708	381.0517215444545
ENSG00000087088	BAX	Q07812-8	439.7488107830744
ENSG00000087365	SF3B2	Q13435	563.5506169865148
ENSG00000088247	KHSRP	Q92945	3099.0804171329173
ENSG00000088325	TPX2	Q9ULW0	76.33775254705671
ENSG00000088356	PDRG1	Q9NUG6	26.40253685506179
ENSG00000088833	NSFL1C	Q9UNZ2,Q9UNZ2-4,Q9UNZ2-5	670.233888018806
ENSG00000088930	XRN2	Q9H0D6	240.96432713382717
ENSG00000088986	DYNLL1	P63167	1824.636676175504
ENSG00000089009	RPL6	Q02878	3911.412768417018
ENSG00000089159	PXN	P49023-2	760.8995705839809
ENSG00000089280	FUS	P35637-2	1915.412066060337
ENSG00000089737	DDX24	Q9GZR7	68.03947109175076
ENSG00000090372	STRN4	Q9NRL3	47.92472721340583
ENSG00000090520	DNAJB11	Q9UBS4	118.57845223465148
ENSG00000090861	AARS	P49588	382.19559955667575
ENSG00000090863	GLG1	Q92896	21.051263675102103
ENSG00000092199	HNRNPC	P07910,P07910-2	8443.05135287224
ENSG00000092820	EZR	P15311	6320.2755543605235
ENSG00000092964	DPYSL2	Q16555	2889.837856914962
ENSG00000094631	HDAC6	Q9UBN7	39.67370191407169
