ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	P-value
V$MIZ1_02	15.43030303030303	10.32258064516129	1.4948106060606061	3.466786822120768E-30
V$ZNF460_01	14.472727272727273	9.560117302052786	1.5138650306748465	5.5915111268061756E-30
V$ZNF219_01	14.0	9.3841642228739	1.4918749999999998	2.4704908744762467E-27
V$ZFP281_04	13.806060606060607	9.551738583996649	1.4453976608187136	1.8890621456654777E-23
V$ZNF341_01	11.684848484848485	8.198575617930457	1.4252290921478454	7.379945462274815E-19
V$MIZ1_01	7.721212121212121	5.006284038542104	1.5423040446304042	4.274112133291042E-18
V$ZFP281_06	9.624242424242425	6.568914956011731	1.4651190476190477	6.217631613065557E-18
V$MAZ_Q5	9.187878787878788	6.271470465018852	1.4650278334446671	3.394740759338348E-17
V$SP1_13	7.163636363636363	4.645999162128194	1.541893597835888	6.714614535275143E-17
V$SP5_03	6.412121212121212	4.067867616254714	1.5762856162032266	1.380323206688699E-16
V$SP1_03	6.96969696969697	4.59572685379137	1.5165603160133698	1.7640026298832614E-15
V$KLF15_Q2	5.503030303030303	3.5106828655215754	1.5675099443118534	3.3673370272687943E-14
V$ZNF740_01	6.387878787878788	4.227063259321324	1.5111859927320779	3.885072216584944E-14
V$SP1_09	4.957575757575758	3.104315039798911	1.5969950517318938	8.136313207699023E-14
V$SP1_Q4_01	5.078787878787879	3.2593213238374528	1.5582347900599829	5.812908701468089E-13
V$ZFP281_02	5.284848484848485	3.4645999162128196	1.525384925433293	2.0347563820838205E-12
V$MAZ_02	3.2606060606060607	1.8768328445747802	1.7372916666666667	2.142320024595988E-12
V$ZBP89_Q4	4.145454545454545	2.5596983661499793	1.6195090016366607	2.2192071394889046E-12
V$SP1_02	4.0	2.4591537494763305	1.6265758091993183	3.5829678013282436E-12
V$ZBP99_01	6.193939393939394	4.256388772517805	1.4552099737532809	8.07402233975344E-12
V$SP1_Q2_01	4.703030303030302	3.0498533724340176	1.5420512820512817	1.0959748064821262E-11
V$ZNF148_02	5.393939393939394	3.6363636363636362	1.4833333333333334	2.3631789876635226E-11
V$LMX1_01	1.806060606060606	0.8713866778382907	2.072628205128205	3.0019975290177093E-11
V$MAZ_03	4.109090909090909	2.6225387515710095	1.5668370607028757	5.176387208027773E-11
V$CKROX_Q2	5.175757575757576	3.485546711353163	1.484919871794872	5.237839922214496E-11
V$ZNF43_04	1.1515151515151514	0.4482614160033515	2.5688473520249215	5.438222053439799E-11
V$LHX3_01	2.278787878787879	1.2274821952241306	1.856473265073948	8.370593880913164E-11
V$SP1_08	4.848484848484849	3.2593213238374528	1.4875749785775494	1.7294059394730585E-10
V$LMX1B_01	1.7333333333333332	0.854629241726016	2.0281699346405224	2.1201263196825637E-10
V$DB1_02	4.957575757575758	3.368244658567239	1.4718573797678276	2.9933887083154963E-10
V$PROP1_02	1.7696969696969698	0.896522832006703	1.9739563862928349	5.232347630997873E-10
V$MAZ_04	3.9393939393939394	2.5722664432341853	1.5314875135722041	8.124206403523173E-10
V$LHX3A_01	3.0424242424242425	1.864264767490574	1.6319700374531836	9.4918545186566E-10
V$ZNF799_01	3.612121212121212	2.3209049015500627	1.5563417569193743	1.1724587840014604E-9
V$ETF_Q6_01	3.1878787878787875	1.9899455383326354	1.6019929824561399	1.4356399651986342E-9
V$MAZ_Q6	5.127272727272727	3.569333891914537	1.4364788732394365	1.5248102166875172E-9
V$OSX_Q3	2.981818181818182	1.8307498952660244	1.6287414187643021	1.5735212814939755E-9
V$UNCX41_01	1.806060606060606	0.9509844993715961	1.8991483113069014	2.313523052555037E-9
V$LIM1_01	1.5151515151515151	0.7498952660242982	2.02048417132216	3.2135922449061248E-9
V$ZIC1_04	2.824242424242424	1.7302052785923754	1.6323163841807908	3.5912392806864203E-9
V$LMX1A_02	1.2242424242424244	0.5529953917050692	2.2138383838383837	3.766610195690006E-9
V$OTP_01	1.9636363636363636	1.0766652702136572	1.8238132295719847	3.856889678451603E-9
V$PATZ1_02	2.7393939393939397	1.6673648931713447	1.6429480737018427	4.0581276298754766E-9
V$WT1_02	4.109090909090909	2.7649769585253456	1.4861212121212122	4.186542109592453E-9
V$OCT1_08	1.309090909090909	0.6158357771260997	2.125714285714286	5.332418614424149E-9
V$HOXA4_01	1.4303030303030302	0.6996229576874738	2.04439121756487	5.3785888926903135E-9
V$SP1_12	1.393939393939394	0.6744868035190615	2.066666666666667	5.419398579551865E-9
V$ZNF714_02	2.1333333333333333	1.210724759111856	1.7620299884659745	5.449911711648309E-9
V$MAZR_01	3.2363636363636363	2.0695433598659405	1.5638056680161943	5.8153886729781726E-9
V$ALX4_02	0.9696969696969697	0.3937997486384583	2.4624113475177305	6.1772901373446E-9
V$ALX4_03	0.9696969696969697	0.3937997486384583	2.4624113475177305	6.1772901373446E-9
V$ZIC3_04	3.0303030303030303	1.9229157938835357	1.5758896151053015	1.0425829615453255E-8
V$PSX1_01	1.503030303030303	0.7666527021365731	1.9605100182149362	1.2960001922431405E-8
V$PATZ1_03	3.066666666666667	1.960620025136154	1.5641310541310542	1.395686963342286E-8
V$ZNF180_02	4.278787878787878	2.9534981147884376	1.4487186761229311	1.6096808946358764E-8
V$ZFP641_02	3.2848484848484847	2.140762463343109	1.534429223744292	1.6483285870385203E-8
V$ZNF341_03	3.5272727272727273	2.3376623376623376	1.508888888888889	1.6840385424041847E-8
V$SP1_14	1.696969696969697	0.9132802681189778	1.8581039755351683	1.8173906337735532E-8
V$ESX1_01	0.9454545454545454	0.3937997486384583	2.4008510638297875	1.9979585841220833E-8
V$ARX_01	1.0181818181818183	0.4440720569752828	2.2928301886792455	2.4739347380926322E-8
V$SP4_06	1.503030303030303	0.7792207792207793	1.9288888888888887	2.5189879810679227E-8
V$ZFP641_01	2.2545454545454544	1.3405948889819856	1.68175	2.5977598493778896E-8
V$WT1_Q6	6.109090909090909	4.549643904482615	1.3427624309392263	4.632679893354271E-8
V$WT1_03	2.9575757575757575	1.9145370758273985	1.544799416484318	5.348948445692588E-8
V$PAX7_01	0.993939393939394	0.4398826979472141	2.2595555555555555	5.580808953745957E-8
V$ZAC_02	2.981818181818182	1.935483870967742	1.5406060606060605	5.6048784300769506E-8
V$TFDP1_03	3.6606060606060606	2.488479262672811	1.4710213243546577	5.650198402108539E-8
V$ZNF782_03	2.690909090909091	1.705069124423963	1.5781818181818181	6.019897636230777E-8
V$E2F3_06	3.0303030303030303	1.9899455383326354	1.5228070175438593	9.070634271670371E-8
V$E2F7_02	2.4	1.4872224549643904	1.6137464788732394	9.155535362545772E-8
V$E2F7_03	2.4	1.4872224549643904	1.6137464788732394	9.155535362545772E-8
V$LHX5_01	1.5393939393939393	0.8336824465856724	1.8464991624790619	1.0262383255766185E-7
V$PIT1_01	1.2	0.5906996229576875	2.0314893617021275	1.0594215840204427E-7
V$SP5_Q2	2.63030303030303	1.6757436112274822	1.5696333333333332	1.137626931919376E-7
V$CART1_02	0.7757575757575758	0.3100125680770842	2.502342342342342	1.2836511973031811E-7
V$MZF1_Q5_01	1.2242424242424244	0.611646418098031	2.0015525114155253	1.3228524588936838E-7
V$BTEB2_02	1.2121212121212122	0.6074570590699623	1.9954022988505749	1.68634751100881E-7
