ID	Hits	Hit names
MO000009772	[]	[]
MO000019363	[]	[]
MO000019469	[]	[]
MO000019613	[]	[]
MO000019622	[]	[]
MO000024660	[]	[]
MO000024750	[]	[]
MO000024751	[]	[]
MO000024752	[]	[]
MO000025736	[]	[]
MO000026459	[]	[]
MO000026882	[]	[]
MO000027279	[]	[]
MO000056483	[]	[]
MO000058322	[]	[]
MO000079072	[]	[]
MO000079319	[]	[]
MO000079350	[]	[]
MO000083183	[]	[]
MO000083184	[]	[]
MO000083186	[]	[]
MO000083187	[]	[]
MO000087231	[]	[]
MO000116288	[]	[]
MO000125399	[]	[]
MO000125401	[]	[]
MO000129437	[]	[]
MO000257758	[]	[]
