ID	Entrez ID
ABI1	10006
ACACA	31
ACE	1636
ACKR1	2532
ACP5	54
ACTN4	81
ADAM2	2515
ADAM28	10863
ADAMTS8	11095
ADIPOQ	9370
ADIPOR2	79602
ADM	133
ADORA2B	136
ADORA3	140
AFDN	4301
AFF2	2334
AFF3	3899
AGER	177
AGTR1	185
AGTR2	186
AHR	196
AKAP13	11214
AKAP9	10142
AKR1B10	57016
AKR1C2	1646
ANXA8	653145
APLN	8862
APOE	348
AREG	374
ARID4A	5926
ARNT	405
ARNT2	9915
ATAD2	29028
ATP1B2	482
ATP2B2	491
ATXN2	6311
B4GALNT1	2583
BAK1	578
BCAS2	10286
BCCIP	56647
BCL2A1	597
BCORL1	63035
BCYRN1	618
BGLAP	632
BIK	638
BLOC1S1	2647
BMP5	653
BMP6	654
BMPR2	659
BMX	660
BPIFA4P	317716
BTC	685
C1QA	712
CACNA1H	8912
CAPN2	824
CARM1	10498
CASP2	835
CASP9	842
CAT	847
CBFA2T3	863
CCAR2	57805
CCL16	6360
CCL21	6366
CCL3	6348
CCL4	6351
CCNE2	9134
CCR5	1234
CD1A	909
CD274	29126
CD4	920
CD46	4179
CD55	1604
CDK9	1025
CEACAM3	1084
CEBPD	1052
CELF2	10659
CENPF	1063
CENPI	2491
CGA	1081
CGB3	1082
CHI3L1	1116
CHKA	1119
CHN2	1124
CHPT1	56994
CLSPN	63967
CLU	1191
CRYAB	1410
CSF1R	1436
CSK	1445
CSNK1A1	1452
CSNK2A1	1457
CST3	1471
CSTA	1475
CT47A11	255313
CTCF	10664
CTGF	1490
CTLA4	1493
CTSK	1513
CTSL	1514
CUEDC2	79004
CXCL8	3576
CYP19A1	1588
CYP21A2	1589
CYP27B1	1594
CYP2B6	1555
CYP4Z1	199974
DDB2	1643
DERL1	79139
DIRAS3	9077
DNAJA3	9093
DNAJB6	10049
DRG1	4733
DUSP1	1843
DUSP22	56940
DUSP6	1848
E2F4	1874
EDN1	1906
EDNRA	1909
EDNRB	1910
EEF1D	1936
EEF2	1938
EIF4EBP1	1978
EIF4G1	1981
EML4	27436
EMSY	56946
EP300	2033
EPHX1	2052
ERCC4	2072
ESRRA	2101
ETS2	2114
ETV1	2115
ETV5	2119
F10	2159
F2RL1	2150
F3	2152
F7	2155
F8	2157
FADS2	9415
FANCA	2175
FANCD2	2177
FASLG	356
FBLN1	2192
FBXO31	79791
FCGR2A	2212
FCGR3A	2214
FCN2	2220
FDFT1	2222
FDPS	2224
FDX1	2230
FDXR	2232
FECH	2235
FEN1	2237
FER	2241
FES	2242
FGA	2243
FGB	2244
FGD1	2245
FGF1	2246
FGF10	2255
FGF11	2256
FGF12	2257
FGF13	2258
FGF14	2259
FGF2	2247
FGF3	2248
FGF4	2249
FGF5	2250
FGF6	2251
FGF7	2252
FGF8	2253
FGF9	2254
FGFR1	2260
FGFR2	2263
FGFR3	2261
FGFR4	2264
FGG	2266
FGL1	2267
FGR	2268
FH	2271
FHIT	2272
FHL1	2273
FHL2	2274
FHL3	2275
FKBP1A	2280
FKBP1B	2281
FKBP2	2286
FKBP3	2287
FKBP4	2288
FKBP5	2289
FLG	2312
FLI1	2313
FLII	2314
FLNA	2316
FLNB	2317
FLNC	2318
FLOT2	2319
FLT1	2321
FLT3	2322
FLT3LG	2323
FLT4	2324
FMO1	2326
FMO2	2327
FMO3	2328
FMO4	2329
FMO5	2330
FMOD	2331
FMR1	2332
FN1	2335
FNTA	2339
FNTB	2342
FOLH1	2346
FOLR1	2348
FOLR2	2350
FOLR3	2352
FOS	2353
FOSB	2354
FOSL2	2355
FOXC1	2296
FOXC2	2303
FOXD1	2297
FOXD2	2306
FOXD4	2298
FOXE1	2304
FOXE3	2301
FOXF1	2294
FOXF2	2295
FOXG1	2290
FOXI1	2299
FOXJ1	2302
FOXL1	2300
FOXL2	668
FOXM1	2305
FOXO1	2308
FOXO3	2309
FOXP1	27086
FOXS1	2307
FPGS	2356
FPR1	2357
FPR2	2358
FPR3	2359
FRG1	2483
FRK	2444
FRZB	2487
FSHB	2488
FSHR	2492
FTH1	2495
FTL	2512
FUCA1	2517
FUCA2	2519
FURIN	5045
FUS	2521
FUT1	2523
FUT2	2524
FUT3	2525
FUT4	2526
FUT5	2527
FUT6	2528
FUT7	2529
FUT8	2530
FXN	2395
FYB1	2533
FYN	2534
FZD2	2535
G6PC	2538
G6PD	2539
GAA	2548
GAB1	2549
GAB2	9846
GABARAP	11337
GABBR1	2550
GABPA	2551
GABPB1	2553
GABRA1	2554
GABRA2	2555
GABRA3	2556
GABRA4	2557
GABRA5	2558
GABRA6	2559
GABRB1	2560
GABRB2	2561
GABRB3	2562
GABRD	2563
GABRE	2564
GABRG1	2565
GABRG2	2566
GABRG3	2567
GABRP	2568
GABRR1	2569
GABRR2	2570
GAD1	2571
GAD2	2572
GAGE1	2543
GAGE12F	2574,2576,2578,2579
GAGE12G	2576,2578,2579
GAGE13	2577
GAK	2580
GALC	2581
GALE	2582
GALK1	2584
GALK2	2585
GALNS	2588
GALNT1	2589
GALNT2	2590
GALNT3	2591
GALR1	2587
GALT	2592
GAMT	2593
GANC	2595
GAP43	2596
GAPDH	2597
GARS	2617
GART	2618
GAS1	2619
GAS2	2620
GAS6	2621
GAS8	2622
GAST	2520
GATA1	2623
GATA2	2624
GATA3	2625
GATA4	2626
GATA6	2627
GATM	2628
GBA	2629
GBAP1	2630
GBE1	2632
GBP1	2633
GBP2	2634
GBP3	2635
GBX1	2636
GBX2	2637
GC	2638
