ID	UniProt ID	average_intensity
ENSG00000000003	O43657	0.295
ENSG00000000419	O60762	214.0
ENSG00000001036	Q9BTY2	18.9
ENSG00000001084	P48506	269.0
ENSG00000001167	P23511-2	35.1
ENSG00000001497	Q9Y4W2-2	80.9
ENSG00000001629	Q9P2G1	59.3
ENSG00000001630	Q16850	84.3
ENSG00000002549	P28838-2	860.0
ENSG00000002586	P14209	617.0
ENSG00000002822	Q9Y6D9	13.5
ENSG00000002834	Q14847	1350.0
ENSG00000003056	P20645	204.0
ENSG00000003756	P52756	4.56
ENSG00000003989	P52569	6.06
ENSG00000004059	P84085	3230.0
ENSG00000004142	Q9Y2S7	195.0
ENSG00000004455	P54819	4040.0
ENSG00000004478	Q02790	2080.0
ENSG00000004487	O60341	46.4
ENSG00000004660	Q8N5S9	3.62
ENSG00000004700	P46063	599.0
ENSG00000004766	Q96JG6	10.1
ENSG00000004779	O14561	2070.0
ENSG00000004864	Q9UJS0	242.0
ENSG00000004897	P30260	39.9
ENSG00000004961	P53701	72.5
ENSG00000004975	O14641	34.8
ENSG00000005007	Q92900,Q92900-2	417.0
ENSG00000005022	P05141	9030.0
ENSG00000005075	P52435	82.1
ENSG00000005156	P49916	28.0
ENSG00000005175	Q9H6T3	31.8
ENSG00000005194	Q6FI81	371.0
ENSG00000005249	P31323	36.8
ENSG00000005339	Q92793	1.37
ENSG00000005436	P16383	61.6
ENSG00000005469	Q9UKG9	1.32
ENSG00000005486	Q6NTF9	4.62
ENSG00000005810	O75592-2	29.6
ENSG00000005884	P26006	0.273
ENSG00000006047	Q9Y2T7	1040.0
ENSG00000006125	P63010	935.0
ENSG00000006327	Q9NP84	22.1
ENSG00000006451	P11233	369.0
ENSG00000006453	Q9UHR4	34.6
ENSG00000006530	Q53H12	244.0
ENSG00000006534	P43353	555.0
ENSG00000006625	O75223	291.0
ENSG00000006652	O00458	17.7
ENSG00000006712	Q8N7H5	51.8
ENSG00000006744	Q9BQ52	126.0
ENSG00000006788	Q9UKX3	51.8
ENSG00000007080	Q96CT7	209.0
ENSG00000007168	P43034	349.0
ENSG00000007392	Q9NQ29	181.0
ENSG00000007520	Q9UJK0	4.39
ENSG00000007866	Q99594	128.0
ENSG00000007923	Q9NVH1	173.0
ENSG00000008018	P20618	1850.0
ENSG00000008128	Q9UQ88,Q9UQ88-8	35.0
ENSG00000008130	O95544	1.51
ENSG00000008196	Q92481	80.8
ENSG00000008256	O43739-2	1.86
ENSG00000008282	Q16563-2	422.0
ENSG00000008294	O60271,O60271-2,O60271-9	50.0
ENSG00000008311	Q9UDR5	80.6
ENSG00000008394	P10620	1.96
ENSG00000008441	Q14938-5	3.49
ENSG00000008838	O75448-2	12.4
ENSG00000008869	Q9P2D3	8.76
ENSG00000008952	Q99442	57.6
ENSG00000008988	P60866	4730.0
ENSG00000009307	O75534,O75534-2	229.0
ENSG00000009335	Q15386	8.79
ENSG00000009844	Q9NP79	299.0
ENSG00000009954	Q9UIG0	35.4
ENSG00000010017	Q96S59	28.3
ENSG00000010165	Q8N6R0	39.2
ENSG00000010244	O43670,O43670-2	662.0
ENSG00000010256	P31930	3360.0
ENSG00000010292	Q15021	83.3
ENSG00000010322	Q9Y2I1,Q9Y2I1-4	12.7
ENSG00000010810	P06241	29.5
ENSG00000011007	Q14241	8.76
ENSG00000011009	O95372	816.0
ENSG00000011243	Q9ULX6	12.8
ENSG00000011260	Q9Y5J1	93.4
ENSG00000011295	Q6DKK2	5.26
ENSG00000011304	P26599	5240.0
ENSG00000011376	Q15031	14.8
ENSG00000011405	O00443	16.3
ENSG00000011426	Q9NQW6	9.84
ENSG00000011454	Q9Y3P9	12.7
ENSG00000011485	P53041	452.0
ENSG00000011566	Q8IVH8-3	513.0
ENSG00000012963	Q8N806	22.5
ENSG00000013016	Q9NZN3	214.0
ENSG00000013275	P43686	1210.0
ENSG00000013364	Q14764	830.0
ENSG00000013375	O95394	153.0
ENSG00000013441	P49759	1.29
ENSG00000013561	Q9UBS8	55.5
ENSG00000013583	Q9NRV9	118.0
ENSG00000013588	Q8NFJ5	6.48
ENSG00000013810	Q9Y6A5	4.13
ENSG00000014123	O94874	78.4
ENSG00000014138	Q14181	4.31
ENSG00000014216	P07384	767.0
ENSG00000014641	P40925	3810.0
ENSG00000014824	Q6PML9	347.0
ENSG00000015133	Q9P219	4.79
ENSG00000015153	Q8IY57-3	44.7
ENSG00000015171	Q15326-3	6.6
ENSG00000015475	P55957	91.7
ENSG00000015568	Q99666	36.8
ENSG00000015676	Q8IVD9	50.7
ENSG00000016864	Q68CQ7	132.0
ENSG00000017260	P98194	12.2
ENSG00000018408	Q9GZV5	2610.0
ENSG00000018510	O00116	319.0
ENSG00000018699	Q6P3X3	12.8
ENSG00000019144	Q86UU1-2	22.1
ENSG00000020129	Q9UBB6	25.7
ENSG00000020426	P51948	14.2
ENSG00000020922	P49959	184.0
ENSG00000021355	P30740	544.0
ENSG00000021574	Q9UBP0-3,Q9UBP0-4	31.8
ENSG00000021762	Q9H0X9	3.02
ENSG00000021776	O60306	16.0
ENSG00000021826	P31327	51.0
ENSG00000022267	Q13642	12.0
ENSG00000023191	P13489	3660.0
ENSG00000023228	P28331	895.0
ENSG00000023318	Q9BS26	585.0
ENSG00000023516	Q9UKA4	6.09
