ID	UniProt ID	Average Intensity
ENSG00000000003	O43657	14.57297022301777
ENSG00000001561	Q9Y6X5	7.609961473519727
ENSG00000002586	P14209	917.4721332983104
ENSG00000003436	P10646	18.587971260718014
ENSG00000004766	Q96JG6	2.5108104177585173
ENSG00000005249	P31323	54.491219907406986
ENSG00000005486	Q6NTF9	12.619005658440802
ENSG00000006047	Q9Y2T7	322.7338935891321
ENSG00000006453	Q9UHR4	25.190250422295925
ENSG00000006530	Q53H12	125.70188095417569
ENSG00000006625	O75223	240.44689584924853
ENSG00000006652	O00458	3.631316388729564
ENSG00000007520	Q9UJK0	7.153150530220505
ENSG00000008130	O95544	3.59846078825597
ENSG00000008838	O75448-2	0.7092198338485403
ENSG00000008869	Q9P2D3	1.7196913922331434
ENSG00000011007	Q14241	5.030214326345993
ENSG00000011201	P23352	2.4499972617434245
ENSG00000013016	Q9NZN3	670.2613279069067
ENSG00000013561	Q9UBS8	5.434117692883278
ENSG00000019144	Q86UU1-2	0.532030767034854
ENSG00000020633	Q13761	2.586746797381724
ENSG00000021826	P31327	2.042495388370898
ENSG00000023697	Q9Y315	85.40912179072286
ENSG00000033170	Q9BYC5	31.53647153565162
ENSG00000039523	Q6ZS17-2	13.008685621404265
ENSG00000042493	P40121	2170.0588141034696
ENSG00000047579	Q96EV8	6.6104537984954685
ENSG00000049449	Q15293	1846.8079726350309
ENSG00000049759	Q96PU5-7	42.818105138714394
ENSG00000053501	Q9NZ43	6.294116069925974
ENSG00000055917	Q8TB72-3	8.625477765795909
ENSG00000056050	Q9NWY4	25.588373961570305
ENSG00000057149	P29508	105.33888669428555
ENSG00000057935	Q9BTC8-2	22.029615186414446
ENSG00000058091	O94921-3	53.00932087179741
ENSG00000058404	Q13554-4	79.6037193227508
ENSG00000059378	Q9H0J9	10.677524364081489
ENSG00000064601	P10619	250.8771941933861
ENSG00000065150	O00410	1075.4197512136318
ENSG00000065809	Q9H098	88.25499561869873
ENSG00000066032	P26232-2	33.51849523499417
ENSG00000066468	P21802-8	3.583680989113617
ENSG00000066583	Q96CN7	47.329067355059074
ENSG00000067208	O60447	4.169942506864716
ENSG00000067842	Q16720-8	42.02182073751558
ENSG00000068078	P22607-3	4.81124022295364
ENSG00000068079	P80217	73.6976416129017
ENSG00000068784	Q8N5C6	1.8903318363254376
ENSG00000068976	P11217	259.4094897728279
ENSG00000069020	O15021-2	1.933342238763701
ENSG00000069122	Q8IZF2	11.973354648130293
ENSG00000069535	P27338	2.645688821983043
ENSG00000069998	Q9BXW7-2	116.1068363792111
ENSG00000071051	O43639	81.55596623761394
ENSG00000071794	Q14527	3.1349290672704786
ENSG00000072163	Q7Z4I7-3	56.38868412705779
ENSG00000072832	Q14194	638.5950872330611
ENSG00000075234	Q5R3I4	75.10398851759129
ENSG00000075618	Q16658	184.55734213537158
ENSG00000075673	P54707	147.58775548839503
ENSG00000075886	Q13748	58594.09268488189
ENSG00000076555	O00763	6.474407127507845
ENSG00000076706	P43121	19.339512675582803
ENSG00000077420	Q7Z5R6	10.394607191956723
ENSG00000077522	P35609	2668.9237939975965
ENSG00000077782	P11362-4	3.97641315230415
ENSG00000077935	Q8NDV3-2	0.40527789001300113
ENSG00000078043	O75928-3	5.386041647715712
ENSG00000078814	A7E2Y1	5.911746935900399
ENSG00000079950	O15400	199.63893948526703
ENSG00000080845	Q9Y2H0-3	60.24465981505823
ENSG00000081307	Q9GZZ9	58.90602716886359
ENSG00000082014	Q6STE5-2	5.5168928166752025
ENSG00000082068	Q9NW82	11.210075999948465
ENSG00000082397	Q9Y2J2-2	5.915728231950748
ENSG00000082458	Q92796-2	12.852866231962803
ENSG00000083720	P55809	17.12212690523255
ENSG00000084070	Q8WU79	5.387495207463304
ENSG00000084764	Q9UPY8,Q9UPY8-2	81.21430579737051
ENSG00000086015	Q6P0Q8	3.0247492317787827
ENSG00000086504	Q13084	21.409110479595665
ENSG00000086619	Q86YB8	34.90597572881492
ENSG00000086712	Q9NUQ3	36.959829897319736
ENSG00000087253	Q7L5N7	3.4120098042392524
ENSG00000088280	Q8TDY4-3	0.30655756525713884
ENSG00000088367	Q9H4G0,Q9H4G0-2,Q9H4G0-4	4.244590343673923
ENSG00000090013	P30043	1174.6536280564
ENSG00000090530	Q8IVL5	3.7816452489602175
ENSG00000090971	Q8WUY8	7.82693289341499
ENSG00000091436	Q9NYL2,Q9NYL2-2	9.310650597944544
ENSG00000092036	Q9H6D7	189.41861937055882
ENSG00000092621	O43175	10.630414533747189
ENSG00000092847	Q9UL18	12.403596117631736
ENSG00000094796	Q15323	181.78707947457968
ENSG00000099204	O14639-2	11.049845554956695
ENSG00000099284	Q9P0M6	316.4551764721924
ENSG00000099308	O60307	4.986957849304199
ENSG00000099901	P43487	1207.0004128799017
ENSG00000100106	Q9H2D6-5	30.619288859576145
ENSG00000100207	Q9UGU0	0.5944616232147824
ENSG00000100234	P35625	2243.181867202556
ENSG00000100241	O95248,O95248-4	0.23866741623446902
ENSG00000100242	Q9UH99	49.40647280440915
ENSG00000100294	Q8IVS2	13.296791222387453
ENSG00000100296	Q13769	10.783240630562348
ENSG00000100324	Q15750	18.032206194217252
ENSG00000100325	Q9H1I8	3.306106928775182
ENSG00000100335	Q9NQG6	0.42140715934065837
ENSG00000100360	Q9BW83	9.11791245300425
ENSG00000100479	P56282-3	2.6045210946056487
ENSG00000100580	Q6PL24	7.415206940279849
ENSG00000100614	P35813	81.54126664409199
ENSG00000100650	Q13243	399.42748492981326
ENSG00000101040	Q9ULU4-12,Q9ULU4-13,Q9ULU4-7	7.0791846525334785
ENSG00000101096	Q13469	11.601509619400403
ENSG00000101162	Q9H4B7	17362.822590983527
