ID,Ensembl ID,UniProt ID,Average Intensity
TUBB,ENSG00000196230,P07437,169383.908
TUBB4B,ENSG00000188229,P68371,156322.5034
EEF1A1,ENSG00000156508,P68104,150527.2585
PFN1,ENSG00000108518,P07737,143025.4562
TUBB4A,ENSG00000104833,P04350,129732.3849
ENO1,ENSG00000074800,P06733,126320.808
TUBB2B,ENSG00000137285,Q9BVA1,119538.1755
TUBB2A,ENSG00000137267,Q13885,118784.013
TUBB3,ENSG00000258947,Q13509,98787.30025
TUBA1B,ENSG00000123416,P68363,91334.55325
TUBA1A,ENSG00000167552,Q71U36,84573.00398
TUBA1C,ENSG00000167553,Q9BQE3,82886.58011
MIF,ENSG00000240972,P14174,67978.63795
LGALS1,ENSG00000100097,P09382,65707.78442
TUBA3C,ENSG00000198033,Q13748,58594.09268
TUBA3D,ENSG00000075886,Q13748,58594.09268
ACTBL2,ENSG00000169067,Q562R1,58013.11867
TUBA4A,ENSG00000127824,P68366,55157.48359
PKM,ENSG00000067225,"P14618,P14618-2",55031.67991
TUBB8,ENSG00000261456,Q3ZCM7,49625.49347
CFL1,ENSG00000172757,P23528,44258.81415
ALDOA,ENSG00000149925,P04075,41629.97082
TUBB6,ENSG00000176014,Q9BUF5,41552.96513
TXN,ENSG00000136810,P10599,40855.46574
TPI1,ENSG00000111669,P60174-1,39176.49564
LDHA,ENSG00000134333,P00338,37212.34832
ANXA2,ENSG00000182718,P07355,35730.40521
PGK1,ENSG00000102144,P00558,30761.43498
HSPA8,ENSG00000109971,P11142,29998.36362
HSP90AB1,ENSG00000096384,P08238,29724.92295
S100A10,ENSG00000197747,P60903,28914.14873
TUBA8,ENSG00000183785,Q9NY65,28000.50486
CLIC1,ENSG00000213719,O00299,26280.97529
YWHAZ,ENSG00000164924,P63104,24958.41044
RPLP2,ENSG00000177600,P05387,23786.30869
PRDX1,ENSG00000117450,Q06830,23733.53395
HSP90AA1,ENSG00000080824,"P07900,P07900-2",22266.3322
HNRNPA1,ENSG00000135486,"P09651,P09651-2",21918.68726
YWHAE,ENSG00000108953,P62258,18796.94433
HNRNPA2B1,ENSG00000122566,P22626,18403.60625
MYL6,ENSG00000092841,P60660,17724.70149
TUBB1,ENSG00000101162,Q9H4B7,17362.82259
NME2,ENSG00000243678,"P22392,P22392-2",16874.80237
S100A11,ENSG00000163191,P31949,16675.32994
HNRNPA1L2,ENSG00000139675,Q32P51,16619.42034
TUBA4B,ENSG00000243910,Q9H853,16242.56269
EIF5A,ENSG00000132507,P63241,15960.06891
PGAM1,ENSG00000171314,P18669,15896.48812
MT2A,ENSG00000125148,P02795,15879.13261
ACTN4,ENSG00000130402,O43707,15847.17149
MT1X,ENSG00000187193,P80297,15695.32039
MT1G,ENSG00000125144,"P13640,P13640-2",15685.499
HSPA5,ENSG00000044574,P11021,14995.65833
HSPE1,ENSG00000115541,P61604,14881.99182
NME1,ENSG00000239672,P15531,14768.47405
RPLP1,ENSG00000137818,P05386,14579.21604
FKBP1A,ENSG00000088832,P62942,14321.92016
SH3BGRL3,ENSG00000142669,Q9H299,14260.82677
TAGLN2,ENSG00000158710,P37802,14168.83922
NPM1,ENSG00000181163,"P06748,P06748-3",14025.00988
MT1E,ENSG00000169715,P04732,13840.1364
EIF4A1,ENSG00000161960,P60842,13780.84664
ANXA5,ENSG00000164111,P08758,13291.22266
TMSB10,ENSG00000034510,P63313,12512.97827
