"SUID","interaction","is_directed","is_inhibition","is_stimulation","name","references","selected","shared interaction","shared name","sources","TF"
"155","interacts with",,,,"GTF2I (interacts with) CCNA2","","false","interacts with","GTF2I (interacts with) CCNA2","","V.TFIII_Q6"
"156","interacts with",,,,"GTF2I (interacts with) CBL","","false","interacts with","GTF2I (interacts with) CBL","","V.TFIII_Q6"
"157","interacts with",,,,"GTF2I (interacts with) CAV1","","false","interacts with","GTF2I (interacts with) CAV1","","V.TFIII_Q6"
"158","interacts with",,,,"GTF2I (interacts with) HMGB2","","false","interacts with","GTF2I (interacts with) HMGB2","","V.TFIII_Q6"
"159","interacts with",,,,"GTF2I (interacts with) EGFR","","false","interacts with","GTF2I (interacts with) EGFR","","V.TFIII_Q6"
"160","interacts with",,,,"GTF2I (interacts with) NMT2","","false","interacts with","GTF2I (interacts with) NMT2","","V.TFIII_Q6"
"161","interacts with",,,,"GTF2I (interacts with) PRPF40A","","false","interacts with","GTF2I (interacts with) PRPF40A","","V.TFIII_Q6"
"162","interacts with",,,,"GTF2I (interacts with) TOP2A","","false","interacts with","GTF2I (interacts with) TOP2A","","V.TFIII_Q6"
"163","interacts with",,,,"GTF2I (interacts with) CSNK2A1","","false","interacts with","GTF2I (interacts with) CSNK2A1","","V.TFIII_Q6"
"164","interacts with",,,,"GTF2I (interacts with) ICAM1","","false","interacts with","GTF2I (interacts with) ICAM1","","V.TFIII_Q6"
"165","interacts with",,,,"GTF2I (interacts with) COL13A1","","false","interacts with","GTF2I (interacts with) COL13A1","","V.TFIII_Q6"
"166","interacts with",,,,"GTF2I (interacts with) JAK2","","false","interacts with","GTF2I (interacts with) JAK2","","V.TFIII_Q6"
"167","interacts with",,,,"GTF2I (interacts with) HTT","","false","interacts with","GTF2I (interacts with) HTT","","V.TFIII_Q6"
"168","interacts with",,,,"GTF2I (interacts with) PIAS1","","false","interacts with","GTF2I (interacts with) PIAS1","","V.TFIII_Q6"
"169","interacts with",,,,"GTF2I (interacts with) LRP1","","false","interacts with","GTF2I (interacts with) LRP1","","V.TFIII_Q6"
"170","interacts with",,,,"GTF2I (interacts with) SRPK1","","false","interacts with","GTF2I (interacts with) SRPK1","","V.TFIII_Q6"
"171","interacts with",,,,"GTF2I (interacts with) ITGA5","","false","interacts with","GTF2I (interacts with) ITGA5","","V.TFIII_Q6"
"172","interacts with",,,,"GTF2I (interacts with) RRM2B","","false","interacts with","GTF2I (interacts with) RRM2B","","V.TFIII_Q6"
"173","interacts with",,,,"GTF2I (interacts with) SKIL","","false","interacts with","GTF2I (interacts with) SKIL","","V.TFIII_Q6"
"174","interacts with",,,,"GTF2I (interacts with) CDK2","","false","interacts with","GTF2I (interacts with) CDK2","","V.TFIII_Q6"
"175","interacts with",,,,"GTF2I (interacts with) BUB1","","false","interacts with","GTF2I (interacts with) BUB1","","V.TFIII_Q6"
"176","interacts with",,,,"GTF2I (interacts with) THBS1","","false","interacts with","GTF2I (interacts with) THBS1","","V.TFIII_Q6"
"177","interacts with",,,,"GTF2I (interacts with) ARIH2","","false","interacts with","GTF2I (interacts with) ARIH2","","V.TFIII_Q6"
"178","interacts with",,,,"GTF2I (interacts with) TBP","","false","interacts with","GTF2I (interacts with) TBP","","V.TFIII_Q6"
"179","interacts with",,,,"GTF2I (interacts with) BRCA1","","false","interacts with","GTF2I (interacts with) BRCA1","","V.TFIII_Q6"
"180","interacts with",,,,"GTF2I (interacts with) PRKCA","","false","interacts with","GTF2I (interacts with) PRKCA","","V.TFIII_Q6"
"181","interacts with",,,,"GTF2I (interacts with) CREBBP","","false","interacts with","GTF2I (interacts with) CREBBP","","V.TFIII_Q6"
"182","interacts with",,,,"GTF2I (interacts with) FN1","","false","interacts with","GTF2I (interacts with) FN1","","V.TFIII_Q6"
"183","interacts with",,,,"GTF2I (interacts with) PPM1D","","false","interacts with","GTF2I (interacts with) PPM1D","","V.TFIII_Q6"
"184","interacts with",,,,"GTF2I (interacts with) SOCS5","","false","interacts with","GTF2I (interacts with) SOCS5","","V.TFIII_Q6"
"185","interacts with",,,,"GTF2I (interacts with) SNRPA","","false","interacts with","GTF2I (interacts with) SNRPA","","V.TFIII_Q6"
"186","interacts with",,,,"GTF2I (interacts with) MOCOS","","false","interacts with","GTF2I (interacts with) MOCOS","","V.TFIII_Q6"
