"SUID","interaction","name","selected","shared interaction","shared name","Strength"
"37727","neg_interaction","MOCOS_interaction_CDC27","false","neg_interaction","MOCOS_interaction_CDC27","-0.9912715139831042"
"37729","pos_interaction","NDC80_interaction_CDC27","false","pos_interaction","NDC80_interaction_CDC27","0.970581205751322"
"37730","neg_interaction","NDC80_interaction_MOCOS","false","neg_interaction","NDC80_interaction_MOCOS","-0.9721575394255226"
"37732","pos_interaction","AURKA_interaction_CDC27","false","pos_interaction","AURKA_interaction_CDC27","0.9869610552970752"
"37733","neg_interaction","AURKA_interaction_MOCOS","false","neg_interaction","AURKA_interaction_MOCOS","-0.9951974080592063"
"37734","pos_interaction","AURKA_interaction_NDC80","false","pos_interaction","AURKA_interaction_NDC80","0.9900109959928329"
"37736","pos_interaction","TPX2_interaction_CDC27","false","pos_interaction","TPX2_interaction_CDC27","0.983904802625177"
"37737","neg_interaction","TPX2_interaction_MOCOS","false","neg_interaction","TPX2_interaction_MOCOS","-0.990246496508995"
"37738","pos_interaction","TPX2_interaction_NDC80","false","pos_interaction","TPX2_interaction_NDC80","0.9951608916173681"
"37739","pos_interaction","TPX2_interaction_AURKA","false","pos_interaction","TPX2_interaction_AURKA","0.9990730684613879"
"37741","pos_interaction","SRPK1_interaction_CDC27","false","pos_interaction","SRPK1_interaction_CDC27","0.9971042780576813"
"37742","neg_interaction","SRPK1_interaction_MOCOS","false","neg_interaction","SRPK1_interaction_MOCOS","-0.9974630169571433"
"37743","pos_interaction","SRPK1_interaction_NDC80","false","pos_interaction","SRPK1_interaction_NDC80","0.9804396752614322"
"37744","pos_interaction","SRPK1_interaction_AURKA","false","pos_interaction","SRPK1_interaction_AURKA","0.9960714477900094"
"37745","pos_interaction","SRPK1_interaction_TPX2","false","pos_interaction","SRPK1_interaction_TPX2","0.9933366049130065"
"37747","pos_interaction","SNRNP70_interaction_NDC80","false","pos_interaction","SNRNP70_interaction_NDC80","0.9648788434913307"
"37748","pos_interaction","SNRNP70_interaction_AURKA","false","pos_interaction","SNRNP70_interaction_AURKA","0.9615022958228222"
"37749","pos_interaction","SNRNP70_interaction_TPX2","false","pos_interaction","SNRNP70_interaction_TPX2","0.9648267991896647"
"37751","pos_interaction","FZR1_interaction_CDC27","false","pos_interaction","FZR1_interaction_CDC27","0.9958923378700592"
"37752","neg_interaction","FZR1_interaction_MOCOS","false","neg_interaction","FZR1_interaction_MOCOS","-0.9792571389654329"
"37753","pos_interaction","FZR1_interaction_AURKA","false","pos_interaction","FZR1_interaction_AURKA","0.9685938688931728"
"37754","pos_interaction","FZR1_interaction_TPX2","false","pos_interaction","FZR1_interaction_TPX2","0.9636974102136945"
"37755","pos_interaction","FZR1_interaction_SRPK1","false","pos_interaction","FZR1_interaction_SRPK1","0.9866684452864593"
"37757","pos_interaction","TAF1B_interaction_CDC27","false","pos_interaction","TAF1B_interaction_CDC27","0.9936735151923186"
"37758","neg_interaction","TAF1B_interaction_MOCOS","false","neg_interaction","TAF1B_interaction_MOCOS","-0.9990662489265626"
"37759","pos_interaction","TAF1B_interaction_NDC80","false","pos_interaction","TAF1B_interaction_NDC80","0.9645639787245301"
"37760","pos_interaction","TAF1B_interaction_AURKA","false","pos_interaction","TAF1B_interaction_AURKA","0.9909239766387888"
"37761","pos_interaction","TAF1B_interaction_TPX2","false","pos_interaction","TAF1B_interaction_TPX2","0.9849155408938434"
"37762","pos_interaction","TAF1B_interaction_SRPK1","false","pos_interaction","TAF1B_interaction_SRPK1","0.996989057626287"
"37763","pos_interaction","TAF1B_interaction_FZR1","false","pos_interaction","TAF1B_interaction_FZR1","0.9855342140105525"
"37765","pos_interaction","CDC20_interaction_CDC27","false","pos_interaction","CDC20_interaction_CDC27","0.9734377617541946"
"37766","neg_interaction","CDC20_interaction_MOCOS","false","neg_interaction","CDC20_interaction_MOCOS","-0.9778172728703466"
"37767","pos_interaction","CDC20_interaction_NDC80","false","pos_interaction","CDC20_interaction_NDC80","0.9995386033107282"
"37768","pos_interaction","CDC20_interaction_AURKA","false","pos_interaction","CDC20_interaction_AURKA","0.9934867025353371"
"37769","pos_interaction","CDC20_interaction_TPX2","false","pos_interaction","CDC20_interaction_TPX2","0.9974539977467031"
"37770","pos_interaction","CDC20_interaction_SRPK1","false","pos_interaction","CDC20_interaction_SRPK1","0.9840689445372628"
"37771","pos_interaction","CDC20_interaction_SNRNP70","false","pos_interaction","CDC20_interaction_SNRNP70","0.9687860139729823"
"37772","pos_interaction","CDC20_interaction_TAF1B","false","pos_interaction","CDC20_interaction_TAF1B","0.9704387243044039"
"37774","neg_interaction","LRP1_interaction_CDC27","false","neg_interaction","LRP1_interaction_CDC27","-0.9826409367988365"
"37775","pos_interaction","LRP1_interaction_MOCOS","false","pos_interaction","LRP1_interaction_MOCOS","0.9875444034730294"
"37776","neg_interaction","LRP1_interaction_NDC80","false","neg_interaction","LRP1_interaction_NDC80","-0.9968800395177698"
"37777","neg_interaction","LRP1_interaction_AURKA","false","neg_interaction","LRP1_interaction_AURKA","-0.9980412744593843"
"37778","neg_interaction","LRP1_interaction_TPX2","false","neg_interaction","LRP1_interaction_TPX2","-0.9998015553571045"
"37779","neg_interaction","LRP1_interaction_SRPK1","false","neg_interaction","LRP1_interaction_SRPK1","-0.9918597371277323"
"37780","neg_interaction","LRP1_interaction_SNRNP70","false","neg_interaction","LRP1_interaction_SNRNP70","-0.9645268704362402"
"37781","neg_interaction","LRP1_interaction_FZR1","false","neg_interaction","LRP1_interaction_FZR1","-0.9619812193987699"
"37782","neg_interaction","LRP1_interaction_TAF1B","false","neg_interaction","LRP1_interaction_TAF1B","-0.9819059049775561"
"37783","neg_interaction","LRP1_interaction_CDC20","false","neg_interaction","LRP1_interaction_CDC20","-0.9985805546847087"
"37785","pos_interaction","SNRPD2_interaction_CDC27","false","pos_interaction","SNRPD2_interaction_CDC27","0.9989410616416848"
"37786","neg_interaction","SNRPD2_interaction_MOCOS","false","neg_interaction","SNRPD2_interaction_MOCOS","-0.9885721798114399"
"37787","pos_interaction","SNRPD2_interaction_NDC80","false","pos_interaction","SNRPD2_interaction_NDC80","0.9787115993474192"
"37788","pos_interaction","SNRPD2_interaction_AURKA","false","pos_interaction","SNRPD2_interaction_AURKA","0.9886478324015723"
"37789","pos_interaction","SNRPD2_interaction_TPX2","false","pos_interaction","SNRPD2_interaction_TPX2","0.9875658261539106"
"37790","pos_interaction","SNRPD2_interaction_SRPK1","false","pos_interaction","SNRPD2_interaction_SRPK1","0.9966286642307821"
"37791","pos_interaction","SNRPD2_interaction_FZR1","false","pos_interaction","SNRPD2_interaction_FZR1","0.9925989499996694"
