ID	Gene symbol ID
ENSG00000050748	MAPK9
ENSG00000065559	MAP2K4
ENSG00000068078	FGFR3
ENSG00000069956	MAPK6
ENSG00000072062	PRKACA
ENSG00000076984	MAP2K7
ENSG00000078061	ARAF
ENSG00000082701	GSK3B
ENSG00000087095	NLK
ENSG00000087586	AURKA
ENSG00000096063	SRPK1
ENSG00000096968	JAK2
ENSG00000097007	ABL1
ENSG00000100030	MAPK1
ENSG00000100784	RPS6KA5
ENSG00000101266	CSNK2A1
ENSG00000102882	MAPK3
ENSG00000104365	IKBKB
ENSG00000105221	AKT2
ENSG00000105810	CDK6
ENSG00000107643	MAPK8
ENSG00000108443	RPS6KB1
ENSG00000108984	MAP2K6
ENSG00000109339	MAPK10
ENSG00000112062	MAPK14
ENSG00000118046	STK11
ENSG00000123143	PKN1
ENSG00000123374	CDK2
ENSG00000127564	PKMYT1
ENSG00000132155	RAF1
ENSG00000135341	MAP3K7
ENSG00000141068	KSR1
ENSG00000142208	AKT1
ENSG00000146648	EGFR
ENSG00000149269	PAK1
ENSG00000149554	CHEK1
ENSG00000151414	NEK7
ENSG00000154229	PRKCA
ENSG00000162889	MAPKAPK2
ENSG00000165025	SYK
ENSG00000169032	MAP2K1
ENSG00000169118	CSNK1G1
ENSG00000169679	BUB1
ENSG00000169967	MAP3K2
ENSG00000170312	CDK1
ENSG00000177189	RPS6KA3
ENSG00000180370	PAK2
ENSG00000183765	CHEK2
ENSG00000188130	MAPK12
ENSG00000197122	SRC
ENSG00000197442	MAP3K5
ENSG00000213341	CHUK
ENSG00000253729	PRKDC
