name	MCF10A_1	MCF10A_2	MCF10A_3	MCF10A_4	MDAMB231_1	MDAMB231_2	MDAMB231_3	MDAMB231_4
ABL1	1	1	1	1	0	0	0	0
AKT1	0	1	0	1	0	1	0	1
ANXA1	0	0	0	0	1	1	1	1
XIAP	0	1	1	1	0	0	1	0
ARAF	0	0	0	0	1	1	1	1
RHOA	0	1	0	1	1	0	1	0
ATF3	0	0	0	0	1	1	1	1
ATM	1	1	1	1	0	0	0	0
BGN	1	1	1	1	0	0	0	0
BRAF	0	0	1	0	1	1	1	0
BUB1	0	0	0	0	1	1	1	1
CASP3	0	1	1	1	0	1	0	0
CCNG2	1	1	1	1	0	0	0	0
CDK1	0	0	0	0	1	1	1	1
CDC20	0	0	0	0	1	1	1	1
CDC25A	0	0	0	0	1	1	1	1
CDC25C	0	0	0	0	1	1	1	1
CDK5	1	1	1	0	1	0	0	0
CDK6	0	1	0	1	0	1	0	1
CDKN1A	1	1	1	1	0	0	0	0
CHEK1	0	0	0	0	1	1	1	1
CHUK	0	0	0	0	1	1	1	1
COL13A1	0	0	0	0	1	1	1	1
CREB1	0	0	0	0	1	1	1	1
CREBBP	1	0	1	0	1	0	1	0
MAPK14	0	0	0	0	1	1	1	1
CSNK1E	1	1	1	1	0	0	0	0
CSNK2A1	1	0	1	0	0	0	1	1
CTNNB1	1	1	1	1	0	0	0	0
CYLD	1	1	1	1	0	0	0	0
CD55	0	0	0	0	1	1	1	1
DUSP1	1	1	1	1	0	0	0	0
DVL2	0	0	1	0	1	0	1	1
EGFR	0	0	0	0	1	1	1	1
ELK1	1	1	0	0	0	1	0	1
EP300	1	0	1	0	1	0	1	0
ERBB2	1	1	1	1	0	0	0	0
ERBB3	1	1	1	1	0	0	0	0
FBLN1	1	1	1	1	0	0	0	0
FDPS	0	1	1	1	0	1	0	0
FGF13	1	1	1	1	0	0	0	0
FOXM1	0	0	0	0	1	1	1	1
FMR1	0	0	0	0	1	1	1	1
FN1	1	1	1	1	0	0	0	0
FOS	0	1	1	1	1	0	0	0
MTOR	0	0	0	0	1	1	1	1
FYN	0	0	0	0	1	1	1	1
KAT2A	0	0	0	0	1	1	1	1
GSK3B	1	1	1	1	0	0	0	0
GSN	1	1	1	1	0	0	0	0
HDAC1	0	0	0	0	1	1	1	1
