name MCF10A_1 MCF10A_2 MCF10A_3 MCF10A_4 MDAMB231_1 MDAMB231_2 MDAMB231_3 MDAMB231_4
AKT1 10.87854288 11.12959373 10.84834298 11.09126581 11.00299793 11.10279088 10.97003065 11.08088504
CTNNB1 12.49892803 12.86679471 12.48924827 12.83456686 12.17006454 12.15239972 12.21129594 12.16066965
FOXM1 9.52307189 9.50516907 9.52347905 9.50130126 10.02164228 10.93597817 9.95200219 10.91678859
GSK3B 10.7007353 10.62804171 10.72389264 10.691719500000001 10.33503625 9.95142719 10.33347286 9.949647800000001
JUN 9.51122478 10.95592017 9.490315800000001 10.96094915 9.81710333 10.21395766 9.80478766 10.16384211
MAPK1 11.04388966 11.19875118 11.12124377 11.22272887 10.93552864 11.01103932 10.94906267 11.07718612
RELA 10.47203188 10.68921492 10.52993798 10.65811428 10.73675295 10.53768567 10.65865677 10.67072988
STAT3 10.56428801 10.96178244 10.96925717 11.0879189 11.16121217 10.91066701 11.16668464 10.91759214
AURKA 9.06755978 9.10139478 9.11889841 9.039133999999999 10.07625999 11.02582441 10.15813787 11.02671988
TCF3 10.64874633 10.77559343 10.552382099999999 10.64619397 10.19490836 10.60056882 10.24625873 10.54881364
PIAS1 10.08320282 9.90076822 10.11744676 9.74628329 9.48901681 9.5292538 9.50232263 9.38705458
HDAC3 10.07136987 10.02308142 10.00478498 10.01184598 9.84842798 10.02732455 9.80683273 9.99109486
