name	MDAMB231_1	MDAMB231_2	MDAMB231_3	MDAMB231_4
ABL1	10.43212696	10.34419772	10.40961649	10.40620234
AKT1	11.00299793	11.10279088	10.97003065	11.08088504
ANXA1	12.69916974	12.93889502	12.68756295	12.89386241
XIAP	9.75297909	9.89960228	10.20839042	9.9142735
ARAF	10.240188	10.03549422	10.15722626	9.97524408
RHOA	12.33631176	12.29629639	12.86848139	12.32642896
ATF3	6.20894753	5.35673255	6.12564438	5.47655783
ATM	9.35638607	9.24476473	9.43668613	9.32319074
BGN	7.10972577	7.01833752	7.11089048	6.99693186
BRAF	7.79811997	7.4909092	7.72919646	7.44341041
BUB1	10.00518402	11.00037269	10.00685052	10.92700709
CASP3	8.70824665	9.24353871	8.77409855	8.21034562
CCNG2	9.16623711	7.94878423	9.19646467	8.02880686
CDK1	9.62796343	10.51774537	9.67349219	10.59559991
CDC20	9.86725022	11.07816171	9.78547988	11.03023357
CDC25A	7.58012417	8.93389866	7.70697159	8.91308668
CDC25C	7.59931277	8.00383669	7.464584	8.08129419
CDK5	7.56923872	7.52417779	7.51247675	7.49632838
CDK6	10.1461377	10.51827644	10.22694147	10.54049906
CDKN1A	10.26198327	10.31263049	10.23178914	10.29359336
CHEK1	9.28040524	9.85249514	9.18937548	9.91402203
CHUK	9.06457347	9.39466611	9.09936618	9.48121122
COL13A1	8.15579664	8.67591491	8.18360183	8.55843161
CREB1	9.68096451	9.8428979	9.67827441	9.8395944
CREBBP	10.54136875	10.23342861	10.51466271	10.2621034
MAPK14	10.70327976	10.85405259	10.83525762	10.59174235
CSNK1E	10.58819241	10.50757384	10.62867692	10.46236081
CSNK2A1	11.32495622	11.35214219	11.38016412	11.38795236
CTNNB1	12.17006454	12.15239972	12.21129594	12.16066965
CYLD	9.0513774	8.8863578	8.98990073	8.83045668
CD55	11.29082979	11.05433626	11.25633557	11.06378184
DUSP1	11.15424737	10.85263745	11.16553183	10.8775162
DVL2	9.41404689	9.38463088	9.46423581	9.39753701
EGFR	12.0248955	11.59971321	11.97651499	11.60006279
ELK1	9.74989501	10.34831963	9.84899861	10.32385729
EP300	10.32748851	9.91167961	10.27208568	9.87768157
ERBB2	9.96119873	9.87067082	9.96366265	9.89706347
ERBB3	4.60167341	4.34925191	4.66686852	3.94672304
FBLN1	9.73703171	9.71477583	9.73276639	9.70995695
FDPS	10.53165125	10.54864475	10.47901827	10.49880034
FGF13	3.00987819	3.10568611	2.95043689	3.16202414
FOXM1	10.02164228	10.93597817	9.95200219	10.91678859
FMR1	9.82721574	9.8534095	9.86640037	9.83065795
FN1	16.03336269	15.68769406	16.02121845	15.69558416
FOS	4.62183994	4.57400723	4.61901798	4.37055545
MTOR	10.17887596	10.20576694	10.18065501	10.18690083
FYN	9.02970921	8.67696827	8.9919091	8.59806028
KAT2A	9.44558308	9.60000287	9.45639646	9.6453253
GSK3B	10.33503625	9.95142719	10.33347286	9.9496478
GSN	10.47790477	9.76455618	10.42654219	9.70141242
HDAC1	10.34472478	10.51494774	10.2936916	10.4585582
HIF1A	13.64878661	13.40243802	13.72784409	13.42780909
HMGB2	10.22086237	10.98643031	10.23233193	10.96574341
HMGCR	9.68844872	9.85752455	9.75403195	9.5473764
DNAJB2	8.39513716	8.05278941	8.45120016	8.08149924
ICAM1	11.03722969	9.58870341	11.01765483	9.6237532
IGF1R	9.58627753	9.1545794	9.51960296	9.18219764
IKBKB	8.82618037	8.60941396	8.74154135	8.53120658
IL4R	9.35751193	9.31431635	9.34653027	8.96390291
IL7R	9.0314193	9.06891326	8.97700825	9.07639596
ITGB8	6.34814248	6.10791965	6.29809289	6.11185924
JUN	9.81710333	10.21395766	9.80478766	10.16384211
LIMK2	7.76645969	8.06550382	7.62149722	8.13127136
LRP1	10.67985237	9.39141131	10.67754902	9.40065456
LTBP3	9.78036592	9.36910579	9.76141542	9.284823
