"SUID","consensus_direction","consensus_inhibition","consensus_stimulation","interaction","is_directed","is_inhibition","is_stimulation","name","references","selected","shared interaction","shared name","source","sources","target"
"23802","1","0","1","interacts with","1","0","1","E2F1 (interacts with) TK1","11799067;11799067;11799067","false","interacts with","E2F1 (interacts with) TK1","Q01094","ARACNe-GTEx;tfact;tred_via_RegNetwork","P04183"
"23804","1","0","1","interacts with","1","0","1","E2F4 (interacts with) TK1","11799067;11799067;11799067;11799067","false","interacts with","E2F4 (interacts with) TK1","Q16254","PAZAR;ReMap;tfact;tred_via_RegNetwork","P04183"
"23806","1","0","1","interacts with","1","0","1","MYB (interacts with) TK1","1944282;1944282","false","interacts with","MYB (interacts with) TK1","P10242","tred_via_RegNetwork;trrust","P04183"
"23809","1","0","1","interacts with","1","0","1","HNF4A (interacts with) G6PC","15933209;15933209;15933209;15933209","false","interacts with","HNF4A (interacts with) G6PC","P41235","ARACNe-GTEx;PAZAR;kegg;oreganno","P35575"
"23811","1","0","1","interacts with","1","0","1","HNF1A (interacts with) G6PC","15933209;15933209;15933209;15933209","false","interacts with","HNF1A (interacts with) G6PC","P20823","PAZAR;hocomoco_v11;jaspar_v2018;oreganno","P35575"
"23814","1","0","1","interacts with","1","0","1","GATA2 (interacts with) GPR146","22951020;22951020","false","interacts with","GATA2 (interacts with) GPR146","P23769","ARACNe-GTEx;oreganno","Q96CH1"
"23817","1","1","0","interacts with","1","1","0","TP53 (interacts with) HSP90AB1","15284248;15284248;15284248;15284248","false","interacts with","TP53 (interacts with) HSP90AB1","P04637","ARACNe-GTEx;tfact;tred_via_RegNetwork;trrust","P08238"
"23820","1","0","1","interacts with","1","0","1","YY1 (interacts with) WDR82","22951020;22951020","false","interacts with","YY1 (interacts with) WDR82","P25490","ARACNe-GTEx;oreganno","Q6UXN9"
"23823","1","0","1","interacts with","1","0","1","NFKB2 (interacts with) SELP","7559449;7559449","false","interacts with","NFKB2 (interacts with) SELP","Q00653","tred_via_RegNetwork;trrust","P16109"
"23825","1","0","1","interacts with","1","0","1","NFKB2 (interacts with) SND1","20363924;20363924","false","interacts with","NFKB2 (interacts with) SND1","Q00653","ReMap;trrust","Q7KZF4"
"23827","1","0","1","interacts with","1","0","1","NFKB2 (interacts with) CDK6","18504428;18504428","false","interacts with","NFKB2 (interacts with) CDK6","Q00653","ReMap;trrust","Q00534"
"23829","1","0","1","interacts with","1","0","1","NFKB2 (interacts with) CCL21","20953353;20953353","false","interacts with","NFKB2 (interacts with) CCL21","Q00653","kegg;trrust","O00585"
"23831","1","0","1","interacts with","1","0","1","NFKB2 (interacts with) CCND2","18504428;18504428;18504428","false","interacts with","NFKB2 (interacts with) CCND2","Q00653","ARACNe-GTEx;ReMap;trrust","P30279"
"23833","1","0","1","interacts with","1","0","1","NFKB2 (interacts with) CXCL8","15079071;15079071","false","interacts with","NFKB2 (interacts with) CXCL8","Q00653","tfact;tred_via_RegNetwork","P10145"
"23836","1","0","1","interacts with","1","0","1","HOPX (interacts with) FLG","21256618;21256618","false","interacts with","HOPX (interacts with) FLG","Q9BPY8","ARACNe-GTEx;trrust","P20930"
"23839","1","1","0","interacts with","1","1","0","NFKBIA (interacts with) IL1B","15228586;15228586","false","interacts with","NFKBIA (interacts with) IL1B","P25963","ARACNe-GTEx;trrust","P01584"
"23841","0","0","0","interacts with","1","1","0","NFKBIA (interacts with) RELA","11278471;18606063;17709515;12885753;17362989;25759022;18045535;24634218;20173029;16280327;8262046;11278471;18606063;17709515;12885753;17362989;25759022;18045535;24634218;20173029;16280327;8262046","false","interacts with","NFKBIA (interacts with) RELA","P25963","ARACNe-GTEx;trrust","Q04206"
