name	MDAMB231	MCF10A	Pert
ABL1	0.072169	0.25	0.072168784
ADAM9	0.057532	0.477723	0.035405166
AKT1	0.952419	0.118632	-0.046219559
AMOTL1	0	0.5	0
ANXA1	0.539533	0.065644	0.480576702
ARAF	0.625	0	0.625
ATF3	0.571059	0.064201	0.611748942
ATM	0.025227	0.385072	0.019068645
AURKA	0.562129	0.106807	0.553141614
BACE1	-0.069436	0.489176	-0.062045492
BGN	0.015708	0.588542	0.015219574
BIRC6	0.031673	0.457072	-0.005277492
BRAF	0.5	-0.25	0.5
BUB1	0.492671	0.039323	0.48322631
CABLES2	0.470414	0.044937	0.429499715
CASP3	-0.087389	0.398123	-0.066055723
CCNG2	-0.022455	0.495809	-0.023088052
CD55	0.348572	-0.014648	0.340990064
CDC20	0.521591	-0.060459	0.463788051
CDC25A	0.274246	-0.01112	0.246639787
CDC25C	0.261582	-0.011248	0.270730295
CDC37	0.572169	0.115123	0.572168784
CDK1	0.648463	-0.006247	0.646062749
CDK5	0	0.5	0
CDK6	0.5	0	0.5
CDKN1A	0.051777	0.513434	-0.020429819
CHEK1	0.638529	0.031452	0.7166109
CHEK2	0.518143	0.189622	0.515142473
CHUK	0.5	0.195369	0.5
CHUK:IKBKB	0.102062	0.039879	0.102062073
CKAP5	0.508619	0.019461	0.52133477
COL13A1	0.497821	0.062074	0.492017518
COMMD1	0.485053	-0.148215	0.505897581
COPS2:COPS5	0.195083	0.004749	0.169553664
COPS5	0.551777	0.013434	0.479570181
CREB1	0.633861	0.034173	0.62972502
CREBBP	-0.036665	0.498097	-0.06018231
CSNK1E	0	0.75	0
CSNK2A1	0.13747	0.517123	-0.006671219
CSNK2A1:CSNK2A2:CSNK2B	-0.013771	0.014717	-0.015151177
CSNK2A1:CSNK2A2:CSNK2B:RELA	0.069436	0.010824	0.062045492
CTNNB1	0.099343	0.559986	0.096257038
CUL1:ELK1:FBXO25:RBX1:SKP1	0.322169	0	0.322168784
CUL2	0.5	0	0.5
CXXC5	0.008186	0.506464	0.015739098
CYLD	-0.25	0.438535	-0.25
DKK1	0	0.5	0
DNAJB2	-0.008619	0.480539	-0.02133477
DUSP1	0.051777	0.513434	-0.020429819
DVL2	0.177831	0	0.177831216
EGFR	0.588736	0.08732	0.573840403
EIF2AK2	0.5	0	0.5
EIF2AK2:PDGFB:PDGFRB	0.144338	0	0.144337567
ELK1	0.644338	0	0.644337567
ELOC	0.644338	0	0.644337567
EP300	0.335617	-0.019633	0.274944611
ERBB2	0.167823	0.587427	0.162030042
ERBB3	0.041956	0.646857	0.040507511
EVL	-0.066988	0.386712	-0.063843209
FBLN1	0.007329	0.460677	0.01677369
FDPS	0.06647	0.922616	0.06658143
FGF13	0.008619	0.519461	0.02133477
FMR1	0.5	0	0.5
FN1	0.056916	0.595966	0.104376186
FOS	0.378939	0.640851	0.361151726
FOXM1	0.50211	0.053616	-0.533176262
FYN	0.507329	-0.039323	0.51677369
GSK3B	-0.195101	0.434613	-0.640461823
GSN	-0.151428	0.485352	-0.159009936
HDAC1	0.431223	-0.101932	0.451783474
HDAC3	-0.104496	0.502602	-0.104740448
HIF1A	0.355662	0	0.355662433
HIPK2	-0.036945	0.677697	-0.03703134
HMGA2	0.008619	0.519461	0.02133477
HMGB2	0.492671	0.039323	0.48322631
HMGCR	0.063513	0.761855	0.065302872
HUWE1	0.507329	-0.039323	0.51677369
ICAM1	0.608658	0.079412	0.560886714
IGF1R	0.005107	0.526245	-0.013431454
IKBKB	0	0.549758	0
IKBKG	0.5	0.12293	0.5
IL4R	0.551777	0.013434	0.479570181
IL7R	0.507705	0.007455	0.460932933
IQGAP1	0	0.611803	0
ITGB8	0.029586	0.455063	0.070500285
JUN	0.339424	0.548732	0.758275273
KAT2A	0.492671	0.039323	0.48322631
KAT2B	-0.093823	0.352167	-0.064400671
LATS2	0.373602	0.57896	0.387176679
LIMK2	0.008619	0.519461	0.02133477
LRP1	0.007329	0.460677	0.01677369
LTBP3	0.007329	0.460677	0.01677369
MAD2L2	0.491814	-0.006464	0.484260902
MAP2K1	0.771536	-0.008268	0.770629549
MAP2K3	0.552176	0.235656	-0.552175699
MAP2K4	0.5	0.144338	0.5
MAP2K6	0.070663	0.796701	0.086992674
MAP2K7	0.5	0.144338	0.5
MAP3K1	0.467483	0.072436	0.393256363
MAP3K2	0	0.5	0
MAP3K20	0	0	0
MAP3K4	0.032517	0.427564	0.106743637
MAP3K7	0	0.676777	0
MAPK1	0.218489	0.565467	0.232625717
MAPK11	0.126385	0.624035	0.00755691
MAPK12	0.626385	0.124035	0.50755691
MAPK13	0.600912	0.004257	0.525353026
MAPK14	0.687101	-0.026183	0.628119925
MAPK3	0.127237	0.407775	0.139840861
MAPK6	0.176777	0.5	0.176776695
MAPK8	0.618669	0.089984	0.545482506
MAPK9	0.226954	0.610511	0.134910499
MAPKAP1:MLST8:MTOR:RICTOR	0.102062	0	0.102062073
MAPKAPK2	0.193606	0.633945	0.153083846
MAPKAPK3	0.594862	0.048104	0.588268138
MAPT	0.007329	0.460677	0.01677369
MDM2	0.325014	0.512108	0.223090468
MEX3B	-0.015708	0.411458	-0.015219574
MOCOS	0.507329	-0.039323	0.51677369
MTOR	0.5	0	0.5
MTOR:RICTOR	0.102062	0	0.102062073
