name a20 apoptosis bclxl bid caspase ceramide creb ctla4 cytoskeletonsignaling disc erk fas fasl fast flip fyn gap gpcr grb2 gzmb iap ifng ifngt il2 il2ra il2rat il2rb il2rbt jak lck mcl1 mek nfat nfkb p2 p27 pdgfr pi3k plcg1 proliferation rantes ras s1p sfas smad socs sphk1 stat3 tbet tcr tnf tpl2 tradd zap70 il15 stimuli cd45 stimuli2 pdgf tax
L2.1 0.030915309 -0.010128705 0.019026636 -0.045911258 -0.015915724 0.0 0.052805679 0.017571968 0.019270653 0.007176346 0.124401811 0.008430532 0.087316477 0.030915309 0.035664356 0.03028091 0.267608718 0.128870211 0.017855652 0.02992783 0.038729298 0.024938198 0.050385549 0.050899058 0.0193293 0.031629099 0.062738367 0.051502009 0.039637374 0.021411837 0.089023106 0.040400372 0.139570393 0.1139272 0.009161126 0.006553665 1.0 0.346765429 0.326233095 0.000463414 0.030915309 0.077750553 0.286378246 0.088940873 0.11598319 -0.024085927 0.45 0.020596183 0.020357566 0.033817268 0.030915309 0.091940014 -0.016323845 0.0 0.1 0.1 0.0 0.0 0.0 0.0
L2.2 0.041246914 -0.013583421 0.025118958 -0.061075749 -0.021344288 0.0 0.070903351 0.056620785 0.039301212 0.011795533 0.174498142 0.016607188 0.118516165 0.041246914 0.045331063 0.061755897 0.280061788 0.157508036 0.021718955 0.037265716 0.051606636 0.023852847 0.06635858 0.068268762 0.025672854 0.041757714 0.07631263 0.071060559 0.047518395 0.043668013 0.117027609 0.066229815 0.187170805 0.152000599 0.008762419 0.007856718 1.0 0.465029603 0.427971581 0.000555554 0.041246914 0.127459339 0.350017857 0.110369534 0.141757232 -0.025132962 0.55 0.024691282 0.024405221 0.108966752 0.041246914 0.123218199 -0.021759432 0.0 0.1 0.1 0.0 0.0 0.0 0.0
L2.3 0.074797597 -0.019876505 0.040539052 -0.079109908 -0.031232915 0.0 0.088300128 0.13177027 0.09519371 0.026772627 0.217676397 0.037213263 0.178118028 0.074797597 0.065355519 0.149582484 0.302479609 0.202508036 0.034092832 0.047530595 0.081956725 0.029236006 0.105478873 0.1143819 0.043894873 0.072281789 0.095281219 0.090136497 0.069487303 0.130127813 0.14061754 0.117777188 0.301841444 0.275639518 0.01073994 0.011489069 1.0 0.5014791 0.433539826 0.0008124 0.074797597 0.226662303 0.450017857 0.149685483 0.182257232 -0.02759873 0.55 0.036106662 0.035688347 0.061141914 0.074797597 0.144015604 -0.035970597 0.015500715 0.1 0.1 0.0 0.0 0.0 0.0
L2.4 0.193018919 -0.053627156 0.15722038 -0.148571555 -0.084266947 0.0 0.120049194 0.092721452 0.184736242 0.059551237 0.287221307 0.114165002 0.310960355 0.193018919 0.181575165 0.133150158 0.283847266 0.302508036 0.045272191 0.071678954 0.220362983 0.051008759 0.219441845 0.22272701 0.073795533 0.110017995 0.134561481 0.124780794 0.131687177 0.118508404 0.154736766 0.224827095 0.303847883 0.342787613 0.01873823 0.021773231 1.0 0.506464137 0.438570537 0.0015396 0.193018919 0.240229856 0.450017857 0.202689232 0.272257232 -0.030217325 0.55 0.068426665 0.067633905 -0.014007571 0.193018919 0.188611309 -0.095484788 0.015500715 0.1 0.1 0.0 0.0 0.0 0.0
L2.5 0.207320169 -0.044197518 0.155129415 -0.137674915 -0.0694497 0.0 0.176034308 0.017571968 0.137574604 0.075012704 0.38767873 0.189274118 0.354191587 0.207320169 0.216549165 0.059042793 0.283188488 0.302508036 0.046617535 0.122174624 0.226471813 0.118030423 0.245317911 0.227430309 0.120320958 0.230676979 0.163797323 0.179267518 0.251931402 0.041749559 0.17224404 0.225373179 0.304003301 0.395489705 0.043358851 0.041654479 1.0 0.506850277 0.439175942 0.002945416 0.207320169 0.241280795 0.450017857 0.302079823 0.372257232 0.004932233 0.55 0.130907397 0.129390765 0.033817268 0.207320169 0.293955655 -0.09949397 0.0 0.1 0.1 0.0 0.0 0.0 0.0
L2.6 0.205372954 -0.02363992 0.139789005 -0.112846518 -0.037146552 0.0 0.244124211 0.056620785 0.058484659 0.153496717 0.388504841 0.102560709 0.369619663 0.205372954 0.196804252 0.091899776 0.286606158 0.302508036 0.051862835 0.153667583 0.215972388 0.004843265 0.296786561 0.214257651 0.197219579 0.245572689 0.182227426 0.219715065 0.254401776 0.064982955 0.173434477 0.226359412 0.304283988 0.388313946 0.159862826 0.073882737 1.0 0.507547648 0.441536327 0.005224298 0.205372954 0.243178801 0.450017857 0.290813618 0.372257232 0.008260404 0.55 0.232191041 0.270442453 0.108966753 0.205372954 0.293402257 -0.096047792 -0.0 0.1 0.1 0.0 0.0 0.0 0.0
L2.7 0.200016869 0.024117247 0.00954169 0.020498635 0.037896597 0.0 0.151817775 0.017571968 0.229316121 0.060193978 0.419589714 0.169952519 0.375985423 0.200016869 0.183111683 0.203200681 0.330960951 0.302508036 0.197750745 0.21414396 0.063190927 -0.008254704 0.295339603 0.114768141 0.062421233 0.120889917 0.318952325 0.327995666 0.232915336 0.168041604 0.317561024 0.263469377 0.314845669 0.368576031 0.155051245 0.170330157 1.0 0.533788356 0.507185887 -0.058666517 0.200016869 0.314596962 0.450017857 0.16439144 0.372257232 0.021353823 0.55 0.221026358 0.259407119 0.033817268 0.200016869 0.297532095 -0.049398201 0.015500715 0.1 0.1 0.0 0.0 0.0 0.0
L2.8 0.200982328 0.071873418 0.025174266 -0.061152654 0.11293818 0.0 0.15185317 0.056620786 0.246912151 0.079009041 0.419612992 0.231299179 0.37651443 0.200982328 0.179391266 0.230850175 0.330877266 0.302508036 0.197788555 0.214233994 0.093874208 -0.00816039 0.29544117 0.115243372 0.062753518 0.121584739 0.319085176 0.328071718 0.233377117 0.187592748 0.314267928 0.263497167 0.314853578 0.372133881 0.155085892 0.170406508 1.0 0.533808007 0.507202901 -0.058661118 0.200982328 0.314650444 0.450017857 0.239866244 0.372257232 0.021399024 0.55 0.221266307 0.259644288 0.108966753 0.200982328 0.297891394 -0.058750121 0.015500715 0.1 0.1 0.0 0.0 0.0 0.0
L2.9 0.206856761 -0.029794548 0.046969098 -0.124923546 -0.046817615 0.0 0.152068534 0.092721453 0.218303861 0.057800027 0.419754628 0.158329487 0.379733231 0.206856761 0.187284526 0.185896583 0.330368076 0.302508036 0.198018615 0.214781818 0.221458982 -0.00758653 0.296059166 0.118134961 0.064775338 0.12581246 0.319893524 0.328534465 0.236186873 0.155805759 0.32153807 0.263666255 0.314901702 0.393781983 0.155296701 0.170871074 1.0 0.533927571 0.507306428 -0.058628269 0.206856761 0.314975856 0.450017857 0.194456798 0.372257232 0.021674054 0.55 0.222726299 0.261087365 -0.014007571 0.206856761 0.300077583 -0.097919593 0.015500715 0.1 0.1 0.0 0.0 0.0 0.0
L2.10 0.206493603 -0.026774128 0.042709792 -0.120086395 -0.042071483 0.0 0.15205522 0.017571968 0.229477542 0.072547496 0.419745872 0.207027743 0.379534245 0.206493603 0.183773391 0.203454328 0.330399554 0.302508036 0.198004393 0.214747951 0.219424908 -0.007622006 0.296020961 0.117956203 0.064650349 0.125551102 0.319843552 0.328505858 0.236013174 0.16822096 0.318384621 0.263655802 0.314898727 0.392443695 0.155283669 0.170842355 1.0 0.533920179 0.507300028 -0.058630299 0.206493603 0.314955739 0.450017857 0.292778394 0.372257232 0.021657052 0.55 0.222636043 0.260998154 0.033817268 0.206493603 0.299942432 -0.097254101 0.015500715 0.1 0.1 0.0 0.0 0.0 0.0
