name a20 apoptosis bclxl bid caspase ceramide creb ctla4 cytoskeletonsignaling disc erk fas fasl fast flip fyn gap gpcr grb2 gzmb iap ifng ifngt il2 il2ra il2rat il2rb il2rbt jak lck mcl1 mek nfat nfkb p2 p27 pdgfr pi3k plcg1 proliferation rantes ras s1p sfas smad socs sphk1 stat3 tbet tcr tnf tpl2 tradd zap70 il15 stimuli cd45 stimuli2 pdgf tax
A3.1 -0.003 0.112 -0.149 0.14 0.176 1.0 0.065 0.018 0.189 0.29 0.047 0.109 0.024 -0.003 -0.012 0.297 0.013 -0.223 0.285 0.295 -0.053 0.167 0.248 -0.189 -0.036 -0.024 1.0 0.302 0.16 0.21 0.132 0.073 0.001 -0.011 0.061 0.026 -0.158 0.001 0.078 0.002 -0.003 0.14 -0.495 -0.188 -0.201 0.059 -0.071 0.083 1.0 0.034 -0.003 -0.001 0.016 0.0 0.1 0.1 0.0 0.0 0.0 0.0
A3.2 0.04 0.345 -0.202 0.342 0.385 1.0 0.177 0.018 0.352 0.359 0.326 0.316 0.288 0.04 0.036 0.397 0.059 -0.223 0.392 0.444 -0.098 0.202 0.429 -0.097 0.005 0.05 1.0 0.404 0.285 0.305 0.192 0.277 0.17 0.148 0.232 0.179 -0.158 0.175 0.226 -0.058 0.04 0.34 -0.495 -0.296 -0.201 0.079 -0.071 0.248 1.0 0.034 0.04 0.055 0.023 0.016 0.1 0.1 0.0 0.0 0.0 0.0
A3.3 0.011 0.251 -0.215 0.357 0.394 1.0 0.161 0.093 0.342 0.327 0.225 0.251 0.221 0.011 0.039 0.379 0.066 -0.223 0.392 0.456 -0.123 0.278 0.398 -0.138 -0.011 0.024 1.0 0.367 0.28 0.293 0.185 0.275 0.07 0.042 0.26 0.178 -0.158 0.174 0.226 0.042 0.011 0.337 -0.495 -0.256 -0.201 0.085 -0.071 0.246 1.0 -0.014 0.011 0.045 0.035 0.016 0.1 0.1 0.0 0.0 0.0 0.0
A3.4 -0.001 0.142 -0.181 0.194 0.223 1.0 0.085 0.057 0.271 0.293 0.072 0.127 0.042 -0.001 0.002 0.425 0.03 -0.223 0.392 0.411 -0.072 0.206 0.36 -0.178 -0.03 -0.011 1.0 0.311 0.258 0.325 0.144 0.103 0.009 -0.004 0.076 0.043 -0.158 0.023 0.126 0.003 -0.001 0.198 -0.495 -0.203 -0.201 0.086 -0.071 0.134 1.0 0.109 -0.001 0.005 0.022 0.016 0.1 0.1 0.0 0.0 0.0 0.0
A3.5 0.004 0.176 -0.203 0.32 0.276 1.0 0.137 0.132 0.359 0.296 0.132 0.158 0.083 0.004 0.041 0.407 0.069 -0.223 0.392 0.454 -0.115 0.309 0.386 -0.152 -0.015 0.018 1.0 0.333 0.28 0.312 0.171 0.175 0.03 0.015 0.114 0.078 -0.158 0.073 0.226 0.006 0.004 0.336 -0.495 -0.219 -0.201 0.088 -0.071 0.246 1.0 0.061 0.004 0.019 0.034 0.016 0.1 0.1 0.0 0.0 0.0 0.0
A3.6 0.153 0.325 -0.177 0.272 0.353 1.0 0.178 0.057 0.371 0.361 0.326 0.332 0.298 0.153 0.143 0.425 0.057 -0.223 0.392 0.445 -0.063 0.204 0.433 -0.088 0.011 0.063 1.0 0.504 0.324 0.325 0.301 0.277 0.17 0.195 0.233 0.185 -0.158 0.175 0.226 -0.058 0.153 0.34 -0.495 -0.251 -0.201 0.089 -0.071 0.269 1.0 0.109 0.153 0.097 -0.004 0.016 0.1 0.1 0.0 0.0 0.0 0.0
A3.7 0.151 0.372 -0.239 0.385 0.427 1.0 0.178 0.018 0.353 0.532 0.326 0.444 0.297 0.151 0.004 0.397 0.057 -0.223 0.392 0.445 -0.105 0.204 0.433 -0.089 0.011 0.062 1.0 0.504 0.324 0.305 0.166 0.277 0.17 0.19 0.233 0.185 -0.158 0.175 0.226 -0.058 0.151 0.34 -0.495 -0.277 -0.201 0.089 -0.071 0.268 1.0 0.034 0.151 0.196 0.009 0.016 0.1 0.1 0.0 0.0 0.0 0.0
A3.8 0.151 0.372 -0.239 0.385 0.427 1.0 0.178 0.093 0.342 0.532 0.326 0.444 0.297 0.151 0.004 0.379 0.057 -0.223 0.392 0.445 -0.105 0.204 0.433 -0.089 0.011 0.062 1.0 0.504 0.324 0.293 0.166 0.277 0.17 0.189 0.233 0.185 -0.158 0.175 0.226 -0.058 0.151 0.34 -0.495 -0.277 -0.201 0.089 -0.071 0.268 1.0 -0.014 0.151 0.196 0.009 0.016 0.1 0.1 0.0 0.0 0.0 0.0
A3.9 0.156 0.347 -0.233 0.369 0.388 1.0 0.178 0.018 0.353 0.531 0.326 0.439 0.3 0.156 0.006 0.397 0.056 -0.223 0.392 0.445 0.004 0.205 0.433 -0.086 0.012 0.065 1.0 0.504 0.326 0.305 0.168 0.277 0.17 0.207 0.233 0.186 -0.158 0.175 0.226 -0.058 0.156 0.341 -0.495 -0.262 -0.201 0.089 -0.071 0.269 1.0 0.034 0.156 0.198 -0.025 0.016 0.1 0.1 0.0 0.0 0.0 0.0
A3.10 0.158 0.318 -0.201 0.239 0.342 1.0 0.178 0.093 0.342 0.529 0.326 0.432 0.301 0.158 0.008 0.379 0.056 -0.223 0.392 0.445 0.053 0.205 0.433 -0.085 0.013 0.067 1.0 0.504 0.327 0.293 0.169 0.277 0.17 0.215 0.233 0.186 -0.158 0.175 0.226 -0.058 0.158 0.341 -0.495 -0.247 -0.201 0.089 -0.071 0.27 1.0 -0.014 0.158 0.199 -0.04 0.016 0.1 0.1 0.0 0.0 0.0 0.0
