name clusters
leukemia1 6
leukemia2 6
apop 0
attr_1 6
attr_2 0
attr_3 7
attr_4 2
attr_5 0
attr_6 8
attr_7 0
attr_8 6
attr_9 8
attr_10 7
attr_11 2
attr_12 6
attr_13 6
attr_14 8
attr_15 7
attr_16 2
attr_17 8
attr_18 0
attr_19 2
attr_20 10
attr_21 10
attr_22 10
attr_23 8
attr_24 10
attr_25 6
attr_26 10
attr_27 10
attr_28 8
attr_29 10
attr_30 10
attr_31 0
attr_32 0
attr_33 6
attr_34 8
attr_35 10
attr_36 6
attr_37 10
attr_38 0
attr_39 6
attr_40 6
attr_41 10
attr_42 8
attr_43 0
attr_44 10
attr_45 10
attr_46 8
attr_47 10
attr_48 2
attr_49 8
attr_50 7
attr_51 0
attr_52 7
attr_53 2
attr_54 7
attr_55 10
attr_56 7
attr_57 6
attr_58 8
attr_59 8
attr_60 10
attr_61 10
attr_62 6
attr_63 8
attr_64 10
attr_65 8
attr_66 6
attr_67 0
attr_68 8
attr_69 6
attr_70 4
attr_71 2
attr_72 10
attr_73 6
attr_74 8
attr_75 8
attr_76 2
attr_77 6
attr_78 2
attr_79 6
attr_80 2
attr_81 4
attr_82 0
attr_83 4
attr_84 0
attr_85 4
attr_86 10
attr_87 10
attr_88 8
attr_89 2
attr_90 8
attr_91 10
attr_92 2
attr_93 8
attr_94 0
attr_95 2
attr_96 10
attr_97 2
attr_98 10
attr_99 10
attr_100 8
attr_101 4
attr_102 4
attr_103 2
attr_104 4
attr_105 4
attr_106 4
attr_107 4
attr_108 2
attr_109 4
attr_110 4
attr_111 0
attr_112 8
attr_113 4
attr_114 4
attr_115 4
attr_116 4
attr_117 10
attr_118 4
attr_119 4
attr_120 8
attr_121 10
attr_122 10
attr_123 4
attr_124 10
attr_125 10
attr_126 2
attr_127 4
attr_128 10
attr_129 10
attr_130 8
attr_131 8
attr_132 10
attr_133 8
attr_134 10
attr_135 8
attr_136 8
attr_137 9
attr_138 10
attr_139 9
attr_140 10
attr_141 8
attr_142 4
attr_143 4
attr_144 4
attr_145 2
attr_146 6
attr_147 6
attr_148 6
attr_149 6
attr_150 7
attr_151 3
attr_152 10
attr_153 8
attr_154 5
attr_155 5
attr_156 7
attr_157 2
attr_158 2
attr_159 5
attr_160 6
attr_161 2
attr_162 6
attr_163 6
attr_164 0
attr_165 3
attr_166 2
attr_167 7
attr_168 5
attr_169 6
attr_170 7
attr_171 5
attr_172 2
attr_173 10
attr_174 2
attr_175 3
attr_176 2
attr_177 5
attr_178 4
attr_179 10
attr_180 0
attr_181 2
attr_182 2
attr_183 10
attr_184 7
attr_185 5
attr_186 5
attr_187 0
attr_188 3
attr_189 2
attr_190 3
attr_191 7
attr_192 5
attr_193 3
attr_194 3
attr_196 7
