name clusters
leukemia1 8
leukemia2 8
apop 0
attr_1 8
attr_2 0
attr_3 11
attr_4 0
attr_5 0
attr_6 0
attr_7 0
attr_8 8
attr_9 0
attr_10 11
attr_11 0
attr_12 8
attr_13 8
attr_14 0
attr_15 11
attr_16 0
attr_17 0
attr_18 0
attr_19 0
attr_20 11
attr_21 11
attr_22 11
attr_23 0
attr_24 11
attr_25 8
attr_26 11
attr_27 11
attr_28 0
attr_29 11
attr_30 11
attr_31 0
attr_32 0
attr_33 8
attr_34 0
attr_35 11
attr_36 8
attr_37 11
attr_38 0
attr_39 8
attr_40 8
attr_41 11
attr_42 0
attr_43 0
attr_44 11
attr_45 11
attr_46 0
attr_47 11
attr_48 0
attr_49 0
attr_50 11
attr_51 0
attr_52 11
attr_53 0
attr_54 11
attr_55 11
attr_56 11
attr_57 8
attr_58 0
attr_59 0
attr_60 11
attr_61 11
attr_62 8
attr_63 0
attr_64 11
attr_65 0
attr_66 8
attr_67 0
attr_68 0
attr_69 8
attr_70 10
attr_71 9
attr_72 7
attr_73 8
attr_74 0
attr_75 0
attr_76 9
attr_77 8
attr_78 9
attr_79 8
attr_80 9
attr_81 10
attr_82 0
attr_83 9
attr_84 0
attr_85 12
attr_86 7
attr_87 7
attr_88 0
attr_89 9
attr_90 0
attr_91 7
attr_92 9
attr_93 0
attr_94 0
attr_95 9
attr_96 13
attr_97 9
attr_98 7
attr_99 13
attr_100 0
attr_101 12
attr_102 12
attr_103 9
attr_104 10
attr_105 10
attr_106 12
attr_107 12
attr_108 9
attr_109 12
attr_110 9
attr_111 0
attr_112 0
attr_113 10
attr_114 10
attr_115 10
attr_116 9
attr_117 3
attr_118 12
attr_119 10
attr_120 0
attr_121 13
attr_122 7
attr_123 12
attr_124 13
attr_125 3
attr_126 9
attr_127 9
attr_128 13
attr_129 3
attr_130 0
attr_131 0
attr_132 3
attr_133 0
attr_134 13
attr_135 0
attr_136 0
attr_137 9
attr_138 3
attr_139 9
attr_140 3
attr_141 0
attr_142 9
attr_143 9
attr_144 9
attr_145 9
attr_146 8
attr_147 8
attr_148 8
attr_149 8
attr_150 13
attr_151 7
attr_152 3
attr_153 0
attr_154 3
attr_155 3
attr_156 13
attr_157 7
attr_158 2
attr_159 7
attr_160 8
attr_161 13
attr_162 8
attr_163 8
attr_164 0
attr_165 11
attr_166 0
attr_167 13
attr_168 3
attr_169 8
attr_170 13
attr_171 3
attr_172 2
attr_173 7
attr_174 2
attr_175 11
attr_176 0
attr_177 7
attr_178 5
attr_179 3
attr_180 0
attr_181 0
attr_182 2
attr_183 3
attr_184 11
attr_185 3
attr_186 3
attr_187 0
attr_188 11
attr_189 7
attr_190 11
attr_191 13
attr_192 3
attr_193 11
attr_194 7
attr_196 13
attr_197 0
attr_198 3
attr_199 3
attr_200 7
attr_201 7
attr_202 0
attr_203 8
attr_204 13
attr_205 11
attr_206 3
attr_207 2
attr_208 8
attr_209 11
attr_210 11
attr_211 13
attr_212 13
attr_213 7
attr_214 2
attr_215 7
attr_216 0
attr_217 8
attr_218 2
attr_219 13
attr_220 7
attr_221 0
attr_222 7
attr_223 7
attr_224 2
attr_225 8
attr_226 8
attr_227 3
attr_228 13
attr_229 0
attr_230 0
attr_231 13
attr_232 0
attr_233 7
attr_234 7
attr_235 0
attr_236 3
attr_237 7
attr_238 7
attr_239 7
attr_240 0
attr_241 13
attr_242 7
attr_243 3
attr_244 3
attr_245 13
attr_246 0
attr_247 11
attr_248 2
attr_249 0
attr_250 7
attr_251 13
attr_252 7
attr_253 2
attr_254 2
attr_255 13
attr_256 0
attr_257 7
attr_258 10
attr_259 13
attr_260 0
attr_261 0
attr_262 2
attr_263 7
attr_264 2
attr_265 7
attr_266 3
attr_267 11
attr_268 7
attr_269 7
attr_270 3
attr_271 5
attr_272 7
attr_273 0
attr_274 8
attr_275 7
attr_276 3
attr_277 3
attr_278 7
attr_279 13
attr_280 3
attr_281 0
attr_282 7
attr_283 3
attr_285 11
attr_286 0
attr_287 10
attr_288 8
attr_289 3
attr_290 3
attr_291 3
attr_292 13
attr_293 13
attr_294 0
attr_295 7
attr_296 13
attr_297 0
attr_298 13
attr_299 11
attr_300 7
attr_301 11
attr_302 2
attr_303 2
attr_304 0
attr_305 7
attr_306 3
attr_307 7
attr_308 10
attr_309 7
attr_310 5
attr_311 7
attr_312 3
attr_313 7
attr_314 5
attr_315 7
attr_316 7
attr_317 7
attr_318 10
attr_319 3
attr_320 3
attr_321 0
attr_322 7
attr_323 7
attr_324 2
attr_325 11
attr_326 7
attr_327 0
attr_328 0
attr_329 7
attr_330 7
attr_331 2
attr_332 8
attr_333 0
attr_334 10
attr_335 8
attr_336 0
attr_337 8
attr_338 7
attr_339 0
attr_340 7
attr_341 0
attr_342 7
attr_343 8
attr_344 5
attr_345 8
attr_346 0
attr_347 5
attr_348 7
attr_349 7
attr_350 7
attr_351 7
attr_352 7
attr_353 7
attr_354 7
attr_355 3
attr_356 7
attr_357 7
attr_358 0
attr_359 0
attr_360 7
attr_361 13
attr_362 5
attr_363 7
attr_364 5
attr_365 0
attr_366 7
attr_367 7
attr_368 2
attr_369 13
attr_370 7
attr_371 7
attr_372 5
attr_373 10
attr_374 7
attr_375 0
attr_376 7
attr_377 2
attr_378 3
attr_379 0
attr_380 13
attr_381 5
attr_382 7
attr_383 0
attr_384 12
attr_385 7
attr_386 12
attr_387 13
attr_388 10
attr_389 0
attr_390 11
attr_391 5
attr_392 7
attr_393 13
attr_394 5
attr_395 7
attr_396 10
attr_397 7
attr_398 7
attr_399 13
attr_400 7
attr_401 13
attr_402 7
attr_403 10
attr_404 3
attr_405 3
attr_406 13
attr_407 0
attr_408 11
attr_409 0
attr_410 7
attr_411 8
attr_412 10
attr_413 3
attr_414 7
attr_415 3
attr_416 0
attr_417 11
attr_418 0
attr_419 11
attr_420 12
attr_421 13
attr_422 7
attr_423 7
attr_424 7
attr_425 7
attr_426 7
attr_427 2
attr_428 7
attr_429 13
attr_430 0
attr_431 7
attr_432 5
attr_433 3
attr_434 7
attr_435 5
attr_436 7
attr_437 5
attr_438 0
attr_439 3
attr_440 13
attr_441 0
attr_442 13
attr_443 3
attr_444 0
attr_445 3
attr_446 12
attr_447 0
attr_448 7
attr_449 3
attr_450 13
attr_451 10
attr_452 5
attr_453 3
attr_454 11
attr_455 7
attr_456 7
attr_457 7
attr_458 13
attr_459 10
attr_460 13
attr_461 3
attr_462 11
attr_463 3
attr_464 7
attr_465 13
attr_466 7
attr_467 7
attr_468 7
attr_469 7
attr_470 3
attr_471 13
attr_472 7
attr_473 13
attr_474 12
attr_475 13
attr_476 0
attr_477 7
attr_478 3
attr_479 7
attr_480 7
attr_481 10
attr_482 13
attr_483 7
attr_484 12
attr_485 7
attr_486 7
attr_487 0
attr_488 3
attr_489 10
attr_490 0
attr_491 12
attr_492 7
attr_493 7
attr_494 8
attr_495 7
attr_496 3
attr_497 7
attr_498 7
attr_499 7
attr_500 12
attr_501 3
attr_502 13
attr_503 7
attr_504 10
attr_505 13
attr_506 7
attr_508 13
attr_509 3
attr_510 3
attr_511 12
attr_512 6
attr_513 0
attr_514 12
attr_515 7
attr_516 3
attr_517 3
attr_518 7
attr_519 3
attr_520 13
attr_521 11
attr_522 3
attr_523 3
attr_524 3
attr_525 7
attr_526 7
attr_527 12
attr_528 0
attr_529 10
attr_530 13
attr_531 0
attr_532 12
attr_533 5
attr_534 13
attr_535 3
attr_536 3
attr_537 12
attr_538 3
attr_539 7
attr_540 12
attr_541 12
attr_542 3
attr_543 12
attr_544 7
attr_545 13
attr_546 7
attr_547 3
attr_548 3
attr_549 12
attr_550 13
attr_551 7
attr_552 7
attr_553 7
attr_554 12
attr_555 13
attr_556 3
attr_557 7
attr_558 11
attr_559 3
attr_560 12
attr_561 0
attr_562 12
attr_563 3
attr_564 7
attr_565 11
attr_566 12
attr_567 12
attr_568 7
attr_569 0
attr_570 0
attr_571 3
attr_572 12
attr_573 3
attr_574 7
attr_575 7
attr_576 0
attr_577 7
attr_578 3
attr_579 7
attr_580 3
attr_581 7
attr_582 12
attr_583 7
attr_584 12
attr_585 0
attr_586 3
attr_587 7
attr_588 6
attr_589 7
attr_590 4
attr_591 5
attr_592 4
attr_593 4
attr_594 4
attr_595 4
attr_596 5
attr_597 4
attr_598 4
attr_599 4
attr_600 4
attr_601 4
attr_602 5
attr_603 4
attr_604 5
attr_605 4
attr_606 4
attr_607 4
attr_608 5
attr_609 5
attr_610 5
attr_611 4
attr_612 4
attr_613 4
attr_614 4
attr_615 4
attr_616 4
attr_617 4
attr_618 4
attr_619 4
attr_620 4
attr_621 4
attr_622 5
attr_623 4
attr_624 4
attr_625 5
attr_626 4
attr_627 5
attr_628 4
attr_629 4
attr_630 4
attr_631 4
attr_632 4
attr_633 4
attr_634 5
attr_635 5
attr_636 4
attr_637 4
attr_638 4
attr_639 4
attr_640 4
attr_641 4
attr_642 4
attr_643 5
attr_644 5
attr_645 4
attr_646 4
attr_647 4
attr_648 5
attr_649 5
attr_650 5
attr_651 5
attr_652 4
attr_653 4
attr_654 4
attr_655 4
attr_656 4
attr_657 4
attr_658 5
attr_659 4
attr_660 5
attr_661 4
attr_662 4
attr_663 4
attr_664 4
attr_665 5
attr_666 5
attr_667 4
attr_668 4
attr_669 4
attr_670 5
attr_671 4
attr_672 5
attr_673 4
attr_674 5
attr_675 5
attr_676 4
attr_677 4
attr_678 5
attr_679 4
attr_680 5
attr_681 4
attr_682 4
attr_683 5
attr_684 5
attr_685 4
attr_686 4
attr_687 4
attr_688 5
attr_689 4
attr_690 5
attr_691 4
attr_692 4
attr_693 8
attr_694 8
attr_695 8
attr_696 8
attr_697 6
attr_698 6
attr_699 6
attr_700 1
attr_701 6
attr_702 6
attr_703 6
attr_704 6
attr_705 6
attr_706 6
attr_707 6
attr_708 1
attr_709 6
attr_710 1
attr_711 6
attr_712 6
attr_713 6
attr_714 6
attr_715 6
attr_716 6
attr_717 6
attr_718 6
attr_719 1
attr_720 1
attr_721 1
attr_722 6
attr_723 6
attr_724 6
attr_725 6
attr_726 1
attr_727 1
attr_728 6
attr_729 6
attr_730 6
attr_731 1
attr_732 6
attr_733 6
attr_734 1
attr_735 6
attr_736 1
attr_737 6
attr_738 6
attr_739 6
attr_740 6
attr_741 6
attr_742 6
attr_743 6
attr_744 6
attr_745 6
attr_746 1
attr_747 6
attr_748 6
attr_749 6
attr_750 1
attr_751 6
attr_752 6
attr_753 1
attr_754 6
attr_755 6
attr_756 6
attr_757 1
attr_758 6
attr_759 6
attr_760 6
attr_761 6
attr_762 6
attr_763 6
attr_764 6
attr_765 6
attr_766 6
attr_767 1
attr_768 6
attr_769 1
attr_770 6
attr_771 6
attr_772 6
attr_773 6
attr_774 1
attr_775 6
attr_776 6
attr_777 6
attr_778 6
attr_779 1
attr_780 6
attr_781 6
attr_782 1
attr_783 6
attr_784 6
attr_785 1
attr_786 6
attr_787 6
attr_788 6
attr_789 1
attr_790 6
attr_791 6
attr_792 1
attr_793 6
attr_794 6
attr_795 6
attr_796 6
attr_797 6
attr_798 1
attr_799 1
attr_800 1
attr_801 1
attr_802 6
attr_803 6
attr_804 6
attr_805 6
attr_806 6
attr_807 6
attr_808 1
attr_809 6
attr_810 6
attr_811 1
attr_812 6
attr_813 1
attr_814 6
attr_815 6
attr_816 6
attr_817 6
attr_818 6
attr_819 6
attr_820 1
attr_821 1
attr_822 1
attr_823 1
attr_824 6
attr_825 6
attr_826 6
attr_827 1
attr_828 6
attr_829 6
attr_830 6
attr_831 1
attr_832 1
attr_833 6
attr_834 6
attr_835 1
attr_836 6
attr_837 6
attr_838 6
attr_839 6
attr_840 6
attr_841 6
attr_842 6
attr_843 6
attr_844 1
attr_845 6
attr_846 1
attr_847 1
attr_848 6
attr_849 6
attr_850 6
attr_851 6
attr_852 1
attr_853 6
attr_854 6
attr_855 6
attr_856 6
attr_857 6
attr_858 6
attr_859 1
attr_860 1
attr_861 1
attr_862 6
attr_863 6
attr_864 1
attr_865 1
attr_866 1
attr_867 6
attr_868 6
attr_869 1
attr_870 6
attr_871 1
attr_872 6
attr_873 6
attr_874 6
attr_875 1
attr_876 1
attr_877 6
