Initial_state Attr label label2
is_000099 195 Apoptosis Apoptosis_1
is_000112 195 Apoptosis Apoptosis_2
is_000175 195 Apoptosis Apoptosis_3
is_000250 195 Apoptosis Apoptosis_4
is_000279 195 Apoptosis Apoptosis_5
is_000609 284 Leukemia2 Leukemia2_1
is_000634 195 Apoptosis Apoptosis_6
is_000783 284 Leukemia2 Leukemia2_2
is_000806 195 Apoptosis Apoptosis_7
is_000845 195 Apoptosis Apoptosis_8
is_000854 195 Apoptosis Apoptosis_9
is_000868 195 Apoptosis Apoptosis_10
is_000990 195 Apoptosis Apoptosis_11
is_001114 195 Apoptosis Apoptosis_12
is_001180 195 Apoptosis Apoptosis_13
is_001565 195 Apoptosis Apoptosis_14
is_001609 195 Apoptosis Apoptosis_15
is_001662 195 Apoptosis Apoptosis_16
is_001664 284 Leukemia2 Leukemia2_3
is_001758 195 Apoptosis Apoptosis_17
is_001845 195 Apoptosis Apoptosis_18
is_001905 195 Apoptosis Apoptosis_19
is_001955 195 Apoptosis Apoptosis_20
is_002011 195 Apoptosis Apoptosis_21
is_002108 195 Apoptosis Apoptosis_22
is_002113 195 Apoptosis Apoptosis_23
is_002157 195 Apoptosis Apoptosis_24
is_002228 195 Apoptosis Apoptosis_25
is_002282 195 Apoptosis Apoptosis_26
is_002308 195 Apoptosis Apoptosis_27
is_002395 195 Apoptosis Apoptosis_28
is_002433 195 Apoptosis Apoptosis_29
is_002445 195 Apoptosis Apoptosis_30
is_002553 195 Apoptosis Apoptosis_31
is_002584 195 Apoptosis Apoptosis_32
is_002615 195 Apoptosis Apoptosis_33
is_002756 195 Apoptosis Apoptosis_34
is_002842 195 Apoptosis Apoptosis_35
is_002890 195 Apoptosis Apoptosis_36
is_002981 195 Apoptosis Apoptosis_37
is_002983 284 Leukemia2 Leukemia2_4
is_003159 195 Apoptosis Apoptosis_38
is_003200 195 Apoptosis Apoptosis_39
is_003258 195 Apoptosis Apoptosis_40
is_003339 195 Apoptosis Apoptosis_41
is_003404 195 Apoptosis Apoptosis_42
is_003438 195 Apoptosis Apoptosis_43
is_003484 195 Apoptosis Apoptosis_44
is_003526 195 Apoptosis Apoptosis_45
is_003723 195 Apoptosis Apoptosis_46
is_003730 195 Apoptosis Apoptosis_47
is_003754 195 Apoptosis Apoptosis_48
is_003850 195 Apoptosis Apoptosis_49
is_003934 195 Apoptosis Apoptosis_50
is_003974 195 Apoptosis Apoptosis_51
is_004008 195 Apoptosis Apoptosis_52
is_004206 195 Apoptosis Apoptosis_53
is_004319 195 Apoptosis Apoptosis_54
is_004411 195 Apoptosis Apoptosis_55
is_004469 195 Apoptosis Apoptosis_56
is_004473 195 Apoptosis Apoptosis_57
is_004535 195 Apoptosis Apoptosis_58
is_004647 195 Apoptosis Apoptosis_59
is_004686 195 Apoptosis Apoptosis_60
is_004796 195 Apoptosis Apoptosis_61
is_004859 195 Apoptosis Apoptosis_62
is_004907 195 Apoptosis Apoptosis_63
is_004990 195 Apoptosis Apoptosis_64
is_005121 195 Apoptosis Apoptosis_65
is_005163 195 Apoptosis Apoptosis_66
is_005188 195 Apoptosis Apoptosis_67
is_005334 195 Apoptosis Apoptosis_68
is_005421 195 Apoptosis Apoptosis_69
is_005488 195 Apoptosis Apoptosis_70
is_005497 195 Apoptosis Apoptosis_71
is_005737 195 Apoptosis Apoptosis_72
is_005763 195 Apoptosis Apoptosis_73
is_005802 195 Apoptosis Apoptosis_74
is_005803 195 Apoptosis Apoptosis_75
is_005806 195 Apoptosis Apoptosis_76
is_005937 195 Apoptosis Apoptosis_77
is_005993 195 Apoptosis Apoptosis_78
is_006086 195 Apoptosis Apoptosis_79
