name clusters
is_000001 6
is_000002 4
is_000003 1
is_000004 7
is_000005 3
is_000006 7
is_000007 5
is_000008 2
is_000009 5
is_000010 7
is_000011 9
is_000012 3
is_000013 5
is_000014 8
is_000015 9
is_000016 6
is_000017 6
is_000018 6
is_000019 2
is_000020 0
is_000021 9
is_000022 1
is_000023 8
is_000024 8
is_000025 0
is_000026 7
is_000027 1
is_000028 5
is_000029 0
is_000030 8
is_000031 7
is_000032 1
is_000033 1
is_000034 3
is_000035 0
is_000036 9
is_000037 0
is_000038 5
is_000039 3
is_000040 8
is_000041 6
is_000042 1
is_000043 1
is_000044 1
is_000045 4
is_000046 3
is_000047 3
is_000048 4
is_000049 7
is_000050 4
is_000051 7
is_000052 0
is_000053 3
is_000054 7
is_000055 4
is_000056 8
is_000057 4
is_000058 7
is_000059 9
is_000060 9
is_000061 8
is_000062 6
is_000063 4
is_000064 9
is_000065 9
is_000066 6
is_000067 3
is_000068 5
is_000069 9
is_000070 2
is_000071 4
is_000072 7
is_000073 8
is_000074 4
is_000075 2
is_000076 5
is_000077 6
is_000078 9
is_000079 3
is_000080 5
is_000081 3
is_000082 6
is_000083 4
is_000084 7
is_000085 3
is_000086 5
is_000087 6
is_000088 4
is_000089 1
is_000090 9
is_000091 7
is_000092 6
is_000093 1
is_000094 9
is_000095 6
is_000096 6
is_000097 6
is_000098 1
is_000099 9
is_000100 8
is_000101 0
is_000102 4
is_000103 6
is_000104 8
is_000105 8
is_000106 2
is_000107 2
is_000108 6
is_000109 8
is_000110 8
is_000111 3
is_000112 4
is_000113 7
is_000114 0
is_000115 4
is_000116 6
is_000117 5
is_000118 0
is_000119 6
is_000120 6
is_000121 2
is_000122 8
is_000123 3
is_000124 6
is_000125 6
is_000126 5
is_000127 9
is_000128 6
is_000129 2
is_000130 3
is_000131 2
is_000132 5
is_000133 1
is_000134 1
is_000135 9
is_000136 3
is_000137 8
is_000138 6
is_000139 7
is_000140 3
is_000141 6
is_000142 2
is_000143 6
is_000144 4
is_000145 0
is_000146 4
is_000147 6
is_000148 5
is_000149 6
is_000150 4
is_000151 6
is_000152 1
is_000153 2
is_000154 1
is_000155 6
is_000156 1
is_000157 5
is_000158 1
is_000159 6
is_000160 4
is_000161 6
is_000162 9
is_000163 5
is_000164 2
is_000165 3
is_000166 4
is_000167 1
is_000168 4
is_000169 3
is_000170 4
is_000171 9
is_000172 5
is_000173 5
is_000174 4
is_000175 3
is_000176 5
is_000177 4
is_000178 4
is_000179 7
is_000180 7
is_000181 6
