name clusters
is_000001 5
is_000002 10
is_000003 0
is_000004 14
is_000005 1
is_000006 2
is_000007 2
is_000008 2
is_000009 0
is_000010 2
is_000011 2
is_000012 1
is_000013 0
is_000014 11
is_000015 14
is_000016 5
is_000017 4
is_000018 5
is_000019 8
is_000020 5
is_000021 13
is_000022 7
is_000023 12
is_000024 13
is_000025 9
is_000026 7
is_000027 7
is_000028 13
is_000029 9
is_000030 1
is_000031 2
is_000032 8
is_000033 3
is_000034 12
is_000035 14
is_000036 0
is_000037 9
is_000038 8
is_000039 7
is_000040 1
is_000041 5
is_000042 3
is_000043 3
is_000044 8
is_000045 8
is_000046 1
is_000047 3
is_000048 3
is_000049 2
is_000050 8
is_000051 2
is_000052 9
is_000053 1
is_000054 6
is_000055 13
is_000056 12
is_000057 10
is_000058 2
is_000059 12
is_000060 12
is_000061 13
is_000062 10
is_000063 8
is_000064 12
is_000065 1
is_000066 4
is_000067 6
is_000068 4
is_000069 12
is_000070 5
is_000071 12
is_000072 2
is_000073 12
is_000074 8
is_000075 5
is_000076 1
is_000077 11
is_000078 13
is_000079 6
is_000080 14
is_000081 0
is_000082 5
is_000083 3
is_000084 3
is_000085 8
is_000086 11
is_000087 10
is_000088 12
is_000089 3
is_000090 2
is_000091 1
is_000092 11
is_000093 3
is_000094 0
is_000095 5
is_000096 5
is_000097 5
is_000098 4
is_000099 1
is_000100 6
is_000101 9
is_000102 8
is_000103 5
is_000104 1
is_000105 13
is_000106 14
is_000107 11
is_000108 5
is_000109 6
is_000110 6
is_000111 13
is_000112 10
is_000113 14
is_000114 14
is_000115 13
is_000116 4
is_000117 0
is_000118 9
is_000119 5
is_000120 4
is_000121 5
is_000122 4
is_000123 11
is_000124 5
is_000125 5
is_000126 0
is_000127 12
is_000128 4
is_000129 7
is_000130 6
is_000131 2
is_000132 14
is_000133 3
is_000134 8
is_000135 5
is_000136 1
is_000137 6
is_000138 5
is_000139 6
is_000140 12
is_000141 4
is_000142 10
is_000143 5
is_000144 10
is_000145 11
is_000146 8
is_000147 10
is_000148 8
is_000149 5
is_000150 13
is_000151 5
is_000152 8
is_000153 2
is_000154 8
is_000155 5
is_000156 3
is_000157 6
is_000158 3
is_000159 4
is_000160 2
is_000161 4
is_000162 0
is_000163 10
is_000164 2
is_000165 8
is_000166 3
is_000167 4
is_000168 8
is_000169 5
is_000170 10
is_000171 7
is_000172 13
is_000173 0
is_000174 7
is_000175 1
is_000176 14
is_000177 14
is_000178 10
is_000179 14
is_000180 7
is_000181 5
is_000182 8
is_000183 6
is_000184 8
is_000185 11
is_000186 13
is_000187 6
is_000188 7
is_000189 12
is_000190 4
is_000191 2
is_000192 6
is_000193 8
is_000194 4
is_000195 13
is_000196 6
is_000197 6
is_000198 6
is_000199 3
is_000200 9
is_000201 14
is_000202 9
is_000203 1
is_000204 7
is_000205 3
is_000206 8
is_000207 14
is_000208 11
is_000209 3
is_000210 4
is_000211 9
is_000212 10
is_000213 12
is_000214 4
is_000215 8
is_000216 11
is_000217 1
is_000218 5
is_000219 13
is_000220 1
is_000221 2
is_000222 2
is_000223 1
is_000224 12
is_000225 11
is_000226 8
is_000227 3
is_000228 3
is_000229 11
is_000230 12
is_000231 2
