name clusters
is_000001 1
is_000002 4
is_000003 4
is_000004 3
is_000005 1
is_000006 1
is_000007 3
is_000008 1
is_000009 0
is_000010 2
is_000011 2
is_000012 2
is_000013 0
is_000014 1
is_000015 3
is_000016 2
is_000017 1
is_000018 1
is_000019 1
is_000020 0
is_000021 4
is_000022 4
is_000023 3
is_000024 3
is_000025 1
is_000026 1
is_000027 4
is_000028 0
is_000029 1
is_000030 2
is_000031 2
is_000032 4
is_000033 4
is_000034 1
is_000035 1
is_000036 0
is_000037 1
is_000038 3
is_000039 2
is_000040 2
is_000041 1
is_000042 4
is_000043 4
is_000044 4
is_000045 4
is_000046 1
is_000047 2
is_000048 3
is_000049 1
is_000050 4
is_000051 3
is_000052 0
is_000053 1
is_000054 2
is_000055 4
is_000056 1
is_000057 4
is_000058 1
is_000059 1
is_000060 2
is_000061 4
is_000062 3
is_000063 4
is_000064 0
is_000065 3
is_000066 4
is_000067 3
is_000068 0
is_000069 3
is_000070 3
is_000071 3
is_000072 1
is_000073 3
is_000074 4
is_000075 2
is_000076 0
is_000077 1
is_000078 4
is_000079 1
is_000080 1
is_000081 1
is_000082 2
is_000083 3
is_000084 2
is_000085 1
is_000086 3
is_000087 4
is_000088 2
is_000089 4
is_000090 2
is_000091 1
is_000092 1
is_000093 4
is_000094 0
is_000095 3
is_000096 3
is_000097 1
is_000098 4
is_000099 1
is_000100 1
is_000101 2
is_000102 4
is_000103 2
is_000104 1
is_000105 1
is_000106 1
is_000107 1
is_000108 2
is_000109 2
is_000110 1
is_000111 3
is_000112 4
is_000113 2
is_000114 1
is_000115 4
is_000116 1
is_000117 0
is_000118 4
is_000119 1
is_000120 3
is_000121 2
is_000122 3
is_000123 3
is_000124 1
is_000125 1
is_000126 0
is_000127 0
is_000128 4
is_000129 1
is_000130 1
is_000131 3
is_000132 2
is_000133 4
is_000134 1
is_000135 3
is_000136 1
is_000137 3
is_000138 3
is_000139 1
is_000140 2
is_000141 4
is_000142 3
is_000143 1
is_000144 3
is_000145 1
is_000146 4
is_000147 4
is_000148 0
is_000149 2
is_000150 4
is_000151 2
is_000152 4
is_000153 1
is_000154 4
is_000155 1
is_000156 4
is_000157 0
is_000158 4
is_000159 4
is_000160 4
is_000161 0
is_000162 0
is_000163 0
is_000164 1
is_000165 1
is_000166 4
is_000167 4
is_000168 4
is_000169 1
is_000170 4
is_000171 0
is_000172 4
is_000173 0
is_000174 1
is_000175 2
is_000176 1
is_000177 3
is_000178 4
is_000179 2
is_000180 2
is_000181 2
is_000182 4
is_000183 1
is_000184 4
is_000185 1
is_000186 1
is_000187 1
is_000188 1
is_000189 3
is_000190 1
is_000191 2
is_000192 1
is_000193 4
is_000194 4
is_000195 3
is_000196 2
is_000197 1
is_000198 1
is_000199 4
is_000200 2
is_000201 4
is_000202 3
is_000203 2
is_000204 1
is_000205 1
is_000206 4
is_000207 1
is_000208 3
is_000209 4
is_000210 0
is_000211 2
is_000212 4
is_000213 1
is_000214 1
is_000215 4
is_000216 2
is_000217 1
is_000218 1
is_000219 4
is_000220 1
is_000221 1
is_000222 1
is_000223 1
is_000224 2
is_000225 1
is_000226 1
is_000227 4
is_000228 4
is_000229 0
is_000230 1
is_000231 1
