A B C D E F G
a20 0 0 0 0 0 0 0
apoptosis 0 0 0 0 0 0 0
bclxl 0 0 0 0 0 0 0
bid 0 0 0 0 0 0 0
caspase 0 0 0 0 0 0 0
ceramide 0 0 1 1 1 1 1
creb 0 0 0 0 0 0 0
ctla4 0 0 0 0 0 0 0
cytoskeletonsignaling 0 0 0 0 0 0 0
disc 0 0 0 0 0 0 0
erk 0 0 0 0 0 0 1
fas 0 0 0 0 0 0 0
fasl 0 0 0 0 0 0 0
fast 0 0 0 0 0 0 0
flip 0 0 0 0 0 0 0
fyn 0 0 0 0 0 0 0
gap 0 0 0 0 0 0 0
gpcr 0 0 0 0 0 0 0
grb2 0 0 0 1 0 0 0
gzmb 0 0 0 0 0 0 0
iap 0 0 0 0 0 0 0
ifng 0 0 0 0 0 0 0
ifngt 0 0 0 0 0 0 0
il2 0 0 0 0 0 0 0
il2ra 0 0 0 0 0 0 0
il2rat 0 0 0 0 0 0 0
il2rb 0 0 0 0 1 0 0
il2rbt 0 0 0 0 0 1 0
jak 0 0 0 0 0 0 0
lck 0 0 0 0 0 0 0
mcl1 0 0 0 0 0 0 0
mek 0 0 0 0 0 0 0
nfat 0 0 0 0 0 0 0
nfkb 0 0 0 0 0 0 0
p2 0 0 0 0 0 0 0
p27 0 0 0 0 0 0 0
pdgfr 0 1 0 0 0 0 0
pi3k 0 0 0 0 0 0 0
plcg1 0 0 0 0 0 0 0
proliferation 0 0 0 0 0 0 0
rantes 0 0 0 0 0 0 0
ras 0 0 1 0 0 0 0
s1p 0 0 0 0 0 0 0
sfas 0 0 0 0 0 0 0
smad 0 0 0 0 0 0 0
socs 0 0 0 0 0 0 0
sphk1 1 0 0 0 0 0 0
stat3 0 0 0 0 0 0 0
tbet 0 0 1 1 1 1 1
tcr 0 0 0 0 0 0 0
tnf 0 0 0 0 0 0 0
tpl2 0 0 0 0 0 0 0
tradd 0 0 0 0 0 0 0
zap70 0 0 0 0 0 0 0
il15 1 1 1 1 1 1 1
stimuli 1 1 1 1 1 1 1
cd45 0 0 0 0 0 0 0
stimuli2 1 1 1 1 1 1 1
pdgf 0 0 0 0 0 0 0
tax 0 0 0 0 0 0 0
