name a20 apoptosis bclxl bid caspase ceramide creb ctla4 cytoskeletonsignaling disc erk fas fasl fast flip fyn gap gpcr grb2 gzmb iap ifng ifngt il2 il2ra il2rat il2rb il2rbt jak lck mcl1 mek nfat nfkb p2 p27 pdgfr pi3k plcg1 proliferation rantes ras s1p sfas smad socs sphk1 stat3 tbet tcr tnf tpl2 tradd zap70 il15 stimuli cd45 stimuli2 pdgf tax
L1.1 0.0062 -0.0106 0.0155 -0.0265 -0.0166 0.0 -0.0006 0.0176 0.0141 -0.0188 0.0299 -0.0777 0.0195 0.0062 -0.0011 0.0223 0.0352 0.2864 0.0099 -0.0084 0.0141 -0.0408 0.0114 0.0106 0.0041 0.0067 0.0346 0.0126 0.0114 0.0158 0.0269 0.0138 0.0299 0.0227 -0.015 0.0019 0.2025 0.0742 0.0689 0.0001 0.0062 0.0265 0.6364 0.1727 0.2577 -0.0247 1.0 0.0059 0.0058 0.0339 0.0062 0.0195 -0.0052 0.0 0.1 0.1 0.0 0.0 0.0 0.0
L1.2 0.019 -0.0203 0.0294 -0.0576 -0.0319 0.0 0.0049 0.0928 0.1698 -0.0079 0.0972 -0.0706 0.0607 0.019 -0.009 0.1097 0.0873 0.4314 0.0218 -0.022 0.0345 -0.1084 0.0313 0.0342 0.012 0.0188 0.0522 0.0374 0.0116 0.1019 0.0633 0.0459 0.0961 0.0698 -0.0398 0.0019 0.3343 0.2388 0.2162 0.0001 0.019 0.0883 0.7364 0.2075 0.4882 -0.0292 1.0 0.006 0.0059 -0.014 0.019 0.0625 -0.0132 0.0155 0.1 0.1 0.0 0.0 0.0 0.0
L1.3 0.0525 -0.0247 0.0425 -0.072 -0.0389 0.0 0.0249 0.0176 0.1207 0.01 0.137 -0.0365 0.1192 0.0525 0.0139 0.0325 0.1073 0.4314 0.0201 -0.0074 0.0636 -0.0895 0.0705 0.08 0.0302 0.0494 0.0706 0.0555 0.0354 0.023 0.0858 0.0935 0.2097 0.1933 -0.0329 0.0059 0.3343 0.2725 0.2154 0.0004 0.0525 0.1799 0.7364 0.2199 0.4882 -0.0311 1.0 0.0184 0.0182 0.0339 0.0525 0.0826 -0.027 0.0 0.1 0.1 0.0 0.0 0.0 0.0
L1.4 0.0069 -0.0126 0.0182 -0.0312 -0.0199 0.0 -0.003 0.0567 0.0319 -0.0213 0.0336 -0.0905 0.0219 0.0069 -0.0035 0.0502 0.0445 0.3314 0.0101 -0.0124 0.0163 -0.0538 0.0124 0.0121 0.0045 0.0073 0.0355 0.0138 0.01 0.0355 0.0298 0.0148 0.0342 0.0254 -0.0198 0.0017 0.2343 0.085 0.0791 0.0001 0.0069 0.0285 0.7364 0.2 0.2982 -0.0254 1.0 0.0052 0.0051 0.1089 0.0069 0.0223 -0.0059 0.0 0.1 0.1 0.0 0.0 0.0 0.0
L1.5 0.0093 -0.0156 0.0221 -0.0396 -0.0245 0.0 -0.0061 0.1318 0.085 -0.0171 0.0471 -0.0866 0.0301 0.0093 -0.01 0.1335 0.0748 0.4314 0.0181 -0.0204 0.0211 -0.0821 0.0162 0.0171 0.006 0.0095 0.0389 0.0185 0.0078 0.1188 0.0369 0.0201 0.0485 0.0342 -0.0302 0.0013 0.3343 0.1206 0.1145 0.0001 0.0093 0.0386 0.7364 0.2022 0.3882 -0.027 1.0 0.0041 0.004 0.0611 0.0093 0.0314 -0.0077 0.0155 0.1 0.1 0.0 0.0 0.0 0.0
L1.6 0.1714 -0.0563 0.1568 -0.1371 -0.0885 0.0 0.0654 0.0567 0.0455 0.0405 0.2066 0.0415 0.2529 0.1714 0.1399 0.0715 0.0887 0.4314 0.0314 0.0276 0.2009 -0.0371 0.1855 0.1886 0.0605 0.0881 0.1103 0.0909 0.1026 0.0505 0.1012 0.2006 0.2117 0.2632 -0.0136 0.017 0.3343 0.2775 0.2205 0.0012 0.1714 0.1935 0.7364 0.272 0.4882 -0.0322 1.0 0.0533 0.0527 0.1089 0.1714 0.1275 -0.0863 0.0 0.1 0.1 0.0 0.0 0.0 0.0
L1.7 0.1832 -0.0287 0.1431 -0.1073 -0.0452 0.0 0.1111 0.0927 0.1892 0.1376 0.3112 0.0301 0.3133 0.1832 0.1437 0.1402 0.094 0.4314 0.0523 0.0988 0.1982 -0.0114 0.2655 0.1799 0.1842 0.2242 0.1593 0.1886 0.236 0.1235 0.1205 0.2061 0.2133 0.3064 -0.0042 0.0708 0.3343 0.2814 0.2299 0.005 0.1832 0.2042 0.7364 0.3612 0.4882 0.0095 1.0 0.2226 0.261 -0.014 0.1832 0.2327 -0.0873 0.0155 0.1 0.1 0.0 0.0 0.0 0.0
L1.8 0.1812 0.0744 0.019 -0.0392 0.1169 0.0 0.1183 0.0927 0.214 0.0548 0.3408 0.1617 0.3209 0.1812 0.1611 0.1791 0.1368 0.4314 0.1913 0.1961 0.0718 -0.0242 0.2643 0.0819 0.0505 0.102 0.2962 0.2966 0.2161 0.151 0.264 0.2413 0.2233 0.2994 -0.0089 0.1675 0.3343 0.3063 0.2925 -0.0589 0.1812 0.272 0.7364 0.307 0.4882 0.0227 1.0 0.2123 0.2508 -0.014 0.1812 0.2378 -0.0491 0.0155 0.1 0.1 0.0 0.0 0.0 0.0
L1.9 0.1875 -0.0306 0.0455 -0.1082 -0.0481 0.0 0.1185 0.0176 0.2254 0.0176 0.3409 0.036 0.3244 0.1875 0.1728 0.197 0.1363 0.4314 0.1915 0.1967 0.2016 -0.0236 0.2649 0.085 0.0527 0.1065 0.2971 0.2971 0.2191 0.1637 0.2747 0.2415 0.2233 0.3225 -0.0087 0.168 0.3343 0.3064 0.2926 -0.0588 0.1875 0.2723 0.7364 0.3634 0.4882 0.023 1.0 0.2138 0.2523 0.0338 0.1875 0.2401 -0.089 0.0155 0.1 0.1 0.0 0.0 0.0 0.0
L1.10 0.1873 0.0711 0.0431 -0.1055 -0.0454 0.0 0.1185 0.0176 0.2254 0.0259 0.3409 0.0634 0.3243 0.1873 0.1708 0.197 0.1363 0.4314 0.1915 0.1967 0.2005 -0.0237 0.2649 0.0849 0.0526 0.1064 0.297 0.2971 0.219 0.1637 0.2729 0.2415 0.2233 0.3217 -0.0087 0.168 0.3343 0.3064 0.2926 -0.0588 0.1873 0.2723 0.7364 0.3105 0.4882 0.023 1.0 0.2138 0.2523 0.0338 0.1873 0.24 -0.0886 0.0155 0.1 0.1 0.0 0.0 0.0 0.0
