ID	Gene symbol ID
ENSG00000010810	FYN
ENSG00000035115	SH3YL1
ENSG00000047410	TPR
ENSG00000048392	RRM2B
ENSG00000058335	RASGRF1
ENSG00000061938	TNK2
ENSG00000067900	ROCK1
ENSG00000075643	MOCOS
ENSG00000076641	PAG1
ENSG00000077238	IL4R
ENSG00000077312	SNRPA
ENSG00000077942	FBLN1
ENSG00000080986	NDC80
ENSG00000086758	HUWE1
ENSG00000087586	AURKA
ENSG00000088325	TPX2
ENSG00000090339	ICAM1
ENSG00000096063	SRPK1
ENSG00000099940	SNAP29
ENSG00000100106	TRIOBP
ENSG00000101849	TBL1X
ENSG00000105329	TGFB1
ENSG00000105855	ITGB8
ENSG00000108773	KAT2A
ENSG00000110876	SELPLG
ENSG00000115414	FN1
ENSG00000115750	TAF1B
ENSG00000115760	BIRC6
ENSG00000116017	ARID3A
ENSG00000116670	MAD2L2
ENSG00000117153	KLHL12
ENSG00000117399	CDC20
ENSG00000120656	TAF12
ENSG00000123384	LRP1
ENSG00000129682	FGF13
ENSG00000131747	TOP2A
ENSG00000131788	PIAS3
ENSG00000132670	PTPRA
ENSG00000135046	ANXA1
ENSG00000135823	STX6
ENSG00000135924	DNAJB2
ENSG00000136603	SKIL
ENSG00000140443	IGF1R
ENSG00000141510	TP53
ENSG00000141646	SMAD4
ENSG00000143207	RFWD2
ENSG00000143228	NUF2
ENSG00000146648	EGFR
ENSG00000147526	TACC1
ENSG00000148180	GSN
ENSG00000149679	CABLES2
ENSG00000149948	HMGA2
ENSG00000152465	NMT2
ENSG00000154310	TNIK
ENSG00000156711	MAPK13
ENSG00000160691	SHC1
ENSG00000162772	ATF3
ENSG00000163235	TGFA
ENSG00000164104	HMGB2
ENSG00000166851	PLK1
ENSG00000168056	LTBP3
ENSG00000168615	ADAM9
ENSG00000168685	IL7R
ENSG00000169679	BUB1
ENSG00000171033	PKIA
ENSG00000171604	CXXC5
ENSG00000173156	RHOD
ENSG00000175216	CKAP5
ENSG00000182492	BGN
ENSG00000182541	LIMK2
ENSG00000183496	MEX3B
ENSG00000186318	BACE1
ENSG00000186868	MAPT
ENSG00000196352	CD55
ENSG00000196405	EVL
ENSG00000196754	S100A2
ENSG00000197249	SERPINA1
ENSG00000197323	TRIM33
ENSG00000197467	COL13A1
