ID	Transpath ID
AKT1	MO000017421,MO000058481
ARAF	MO000130269
ATM	MO000031006
AURKA	MO000082438
BRAF	MO000031935
CASP3	MO000020398
CDK5	MO000088373
CHEK1	MO000023536
CHEK2	MO000030895
CSNK2A1	MO000018901
CSNK2A2	MO000018901
CSNK2B	MO000018901
CTNNB1	MO000017049,MO000058538
CUL2	MO000034271
DVL2	MO000042756
EGFR	MO000016677,MO000082277
ELOC	MO000019876
EP300	MO000019985,MO000056654
ERBB2	MO000018962,MO000060210
ERBB3	MO000019475
FOS	MO000018137,MO000079681
FOXM1	MO000026496,MO000028099,MO000088314
GSK3B	MO000016989
HDAC1	MO000056714
HDAC3	MO000023578
HIF1A	MO000025800
HIPK2	MO000031076,MO000098995
IKBKB	MO000019310,MO000060068
IQGAP1	MO000018459
JAK3	MO000021344
JUN	MO000019469,MO000058322
KAT2B	MO000056491
LATS2	MO000198783
LRRK2	MO000101468
MAP2K1	MO000009386,MO000058389
MAP2K6	MO000009415,MO000022211
MAP2K7	MO000022227
MAP3K1	MO000009086
MAPK1	MO000004677,MO000034342
MAPK11	MO000022209,MO000092896
MAPK13	MO000022210
MAPK14	MO000009339,MO000022208,MO000059863,MO000059867,MO000085411
MAPK3	MO000004672
MAPK6	MO000004681
MAPK8	MO000007821
MAPKAPK2	MO000009253
MAPKAPK3	MO000094993
MDM2	MO000023311
NOTCH1	MO000030959
PAK1	MO000019481
PIAS1	MO000030911
PKM	MO000086947
PLK1	MO000022403,MO000096187
PPM1A	MO000036590
PPM1D	MO000023642
PPP2CA	MO000085311
PPP4C	MO000132732
PRKACA	MO000102457
PRKCD	MO000031189
PRMT5	MO000064551
PRPF4	MO000087569
PTPN1	MO000021383
PTPN7	MO000059843
RAF1	MO000021172
RELA	MO000019363,MO000025736,MO000079319,MO000079350,MO000129437,MO000257758,MO000480264
RPS6KA1	MO000032335
RPS6KA5	MO000036634,MO000057454
SIRT1	MO000084718
SNAI1	MO000044348,MO000133252
STAT3	MO000013123,MO000078237,MO000078241,MO000165730
STK10	MO000045420
TCF3	MO000024771,MO000024773,MO000024920,MO000032492
TRIM28	MO000069886
UBE2I	MO000019975
