ID	FDR	Hit names	Hits	Master molecule name	Maximal radius	Ranks sum	Reachable total	Reached from set	Score	Z-Score	Average Intensity	Description	Ensembl ID	Gene_Symbol	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	UniProt ID	abs_zscore	sd_mcf10a	zscore
MO000004681	0.015	["E12(h)","E2A(h)","E47(h)","ITF-1(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","SNA(h)","STAT3(h)","STAT3-isoform1(h)","STAT3-isoform2(h)","STAT3-isoform3(h)","beta-catenin(h)","beta-catenin-isoform1(h)","c-Fos(h)","c-Jun(h)","foxm1(h)","foxm1-isoform1(h)","foxm1-isoform2(h)"]	["MO000013123","MO000017049","MO000018137","MO000019363","MO000019469","MO000024771","MO000024773","MO000024920","MO000025736","MO000026496","MO000028099","MO000032492","MO000044348","MO000058322","MO000058538","MO000078237","MO000078241","MO000079319","MO000079350","MO000079681","MO000088314","MO000129437","MO000133252","MO000165730","MO000257758"]	ERK3(h)	8.42	58	83514	25	0.5900699	1.8088983	19.093763527640075	mitogen-activated protein kinase 6	ENSG00000069956	MAPK6	5597	10.67097723	24.130247	1137	28.146984	2146	24.234156	1475	29.288574	1750	1520.912893	0.255014608	-1.155116017	0.155461259	0.180832293	-1.338196797	10.46297569	25.528685	1166	27.119402	1165	27.420212	1648	28.043581	1947	10.48095161	10.7359147	10.48537254	10.76720252	10.468852	10.49150714	10.52795693	10.52223839	NM_002748	Q16659	1.337674868	0.15549484	-1.337674868
MO000004688	0.009	["E12(h)","E2A(h)","E47(h)","ITF-1(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","SNA(h)","STAT3(h)","STAT3-isoform1(h)","STAT3-isoform2(h)","STAT3-isoform3(h)","beta-catenin(h)","beta-catenin-isoform1(h)","c-Fos(h)","c-Jun(h)","foxm1(h)","foxm1-isoform1(h)","foxm1-isoform2(h)"]	["MO000013123","MO000017049","MO000018137","MO000019363","MO000019469","MO000024771","MO000024773","MO000024920","MO000025736","MO000026496","MO000028099","MO000032492","MO000044348","MO000058322","MO000058538","MO000078237","MO000078241","MO000079319","MO000079350","MO000079681","MO000088314","MO000129437","MO000133252","MO000165730","MO000257758"]	ERK5(h)	8.42	52	83794	25	0.6156829	1.8262134	NaN	mitogen-activated protein kinase 7	ENSG00000166484	MAPK7	5598	8.946370742	9.206074	324	10.811684	573	10.426204	439	13.874014	618	381.3700273	1.535E-4	-1.830458837	0.213190079	4.29E-5	-4.091209764	8.073730325	6.843423	213	7.869955	241	6.910676	284	7.974997	393	8.56872925	8.76879776	8.61041994	9.0523725	8.19597014	8.31507454	8.20454617	8.32406249	NM_002749,NM_139032,NM_139033,NM_139034		3.981324636	0.219183437	-3.981324636
MO000004689	0.001	["E12(h)","E2A(h)","E47(h)","ITF-1(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","SNA(h)","STAT3(h)","STAT3-isoform1(h)","STAT3-isoform2(h)","STAT3-isoform3(h)","beta-catenin(h)","beta-catenin-isoform1(h)","c-Fos(h)","c-Jun(h)","foxm1(h)","foxm1-isoform1(h)","foxm1-isoform2(h)"]	["MO000013123","MO000017049","MO000018137","MO000019363","MO000019469","MO000024771","MO000024773","MO000024920","MO000025736","MO000026496","MO000028099","MO000032492","MO000044348","MO000058322","MO000058538","MO000078237","MO000078241","MO000079319","MO000079350","MO000079681","MO000088314","MO000129437","MO000133252","MO000165730","MO000257758"]	p38gamma(h)	7.4749994	74	77856	25	0.67216283	1.7094835	NaN	mitogen-activated protein kinase 12	ENSG00000188130	MAPK12	6300	6.912624445	3.773601	81	4.336436	150	4.879901	134	4.365504	118	133.4967907	0.143880517	1.215689803	0.167369054	0.09226753	1.683555885	7.194911497	5.861395	121	6.081329	118	5.721028	155	7.204374	226	6.81708101	7.02988549	7.0072411	7.02950254	7.09800697	7.10019623	7.07532941	7.24357171	NM_001303252,NM_002969		2.737749366	0.103109165	2.737749366
MO000008180	0.045	["E12(h)","E2A(h)","E47(h)","ITF-1(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","SNA(h)","STAT3(h)","STAT3-isoform1(h)","STAT3-isoform2(h)","STAT3-isoform3(h)","beta-catenin(h)","beta-catenin-isoform1(h)","c-Fos(h)","c-Jun(h)","foxm1(h)","foxm1-isoform1(h)","foxm1-isoform2(h)"]	["MO000013123","MO000017049","MO000018137","MO000019363","MO000019469","MO000024771","MO000024773","MO000024920","MO000025736","MO000026496","MO000028099","MO000032492","MO000044348","MO000058322","MO000058538","MO000078237","MO000078241","MO000079319","MO000079350","MO000079681","MO000088314","MO000129437","MO000133252","MO000165730","MO000257758"]	PKR(h)	8.76	132	52962	25	0.41545552	1.8255618	176.43568744078314	eukaryotic translation initiation factor 2 alpha kinase 2	ENSG00000055332	EIF2AK2	5610	9.636419086	14.560154	668	11.042216	866	13.895798	870	12.798125	744	907.9509168	6.35E-5	1.282965864	0.083420233	1.64E-5	4.309299679	9.994374975	20.656974	832	22.907373	874	21.383344	1143	21.149553	1429	9.72432209	9.65884866	9.73193408	9.73084206	9.87635387	9.94275975	9.91229722	9.95542313	NM_001135651,NM_001135652,NM_002759	P19525	10.15403025	0.035252592	10.15403025
MO000008230	0.005	["E12(h)","E2A(h)","E47(h)","ITF-1(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","SNA(h)","STAT3(h)","STAT3-isoform1(h)","STAT3-isoform2(h)","STAT3-isoform3(h)","beta-catenin(h)","beta-catenin-isoform1(h)","c-Fos(h)","c-Jun(h)","foxm1(h)"]	["MO000013123","MO000017049","MO000018137","MO000019363","MO000019469","MO000024771","MO000024773","MO000024920","MO000025736","MO000032492","MO000044348","MO000058322","MO000058538","MO000078237","MO000078241","MO000079319","MO000079350","MO000079681","MO000088314","MO000129437","MO000133252","MO000165730","MO000257758"]	A-Raf(h)	8.425	137	44304	23	0.39108762	1.8904563	18.346819428833804	A-Raf proto-oncogene,serine/threonine kinase	ENSG00000078061	ARAF	369	9.405293149	25.070033	619	20.066537	776	23.934718	735	18.389919	554	959.744632	8.01E-9	1.830463561	0.142977172	1.06E-9	6.100337862	10.27777323	52.184784	1238	38.136166	958	43.554406	1488	36.323678	1441	9.67406882	9.58216567	9.60633084	9.50498289	10.240188	10.03549422	10.15722626	9.97524408	NM_001256196,NM_001256197,NM_001654	P10398	12.5026299	0.069783725	12.5026299
MO000009086	0.011	["E12(h)","E2A(h)","E47(h)","ITF-1(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","SNA(h)","STAT3(h)","STAT3-isoform1(h)","STAT3-isoform2(h)","STAT3-isoform3(h)","beta-catenin(h)","beta-catenin-isoform1(h)","c-Fos(h)","c-Jun(h)","foxm1(h)","foxm1-isoform1(h)"]	["MO000013123","MO000017049","MO000018137","MO000019363","MO000019469","MO000024771","MO000024773","MO000024920","MO000025736","MO000028099","MO000032492","MO000044348","MO000058322","MO000058538","MO000078237","MO000078241","MO000079319","MO000079350","MO000079681","MO000088314","MO000129437","MO000133252","MO000165730","MO000257758"]	MEKK1(h)	8.19	23	70338	24	0.53639793	2.3437886	NaN	mitogen-activated protein kinase kinase kinase 1	ENSG00000095015	MAP3K1	4214	7.795526563	2.320359	195	1.851877	251	2.248168	244	1.783137	190	372.0011644	2.47E-12	2.349789047	0.167942675	2.15E-13	7.338999726	9.027439811	5.884309	478	4.912644	375	6.752607	722	4.872352	602	8.12289827	8.05549424	8.09850452	8.02675085	8.84428136	8.65323259	8.96911616	8.65034542	NM_005921		28.63666724	0.043018737	28.63666724
MO000009403	0.029	["E12(h)","E2A(h)","E47(h)","ITF-1(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","SNA(h)","STAT3(h)","STAT3-isoform1(h)","STAT3-isoform2(h)","STAT3-isoform3(h)","beta-catenin(h)","beta-catenin-isoform1(h)","c-Fos(h)","c-Jun(h)","foxm1(h)","foxm1-isoform1(h)","foxm1-isoform2(h)"]	["MO000013123","MO000017049","MO000018137","MO000019363","MO000019469","MO000024771","MO000024773","MO000024920","MO000025736","MO000026496","MO000028099","MO000032492","MO000044348","MO000058322","MO000058538","MO000078237","MO000078241","MO000079319","MO000079350","MO000079681","MO000088314","MO000129437","MO000133252","MO000165730","MO000257758"]	MKK3(h)	8.974999	107	70664	25	0.48317963	1.7949175	168.70007706867136	mitogen-activated protein kinase kinase 3	ENSG00000034152	MAP2K3	5606	7.756800165	7.791975	203	6.184956	258	7.246056	243	4.46164	155	519.3467542	3.93E-30	3.802121798	0.164404054	1.01E-31	11.71993452	9.683708655	25.049352	633	33.143173	782	25.642194	855	30.725236	1166	8.31260148	8.2379101	8.2560641	8.04907785	9.22949868	9.45160819	9.25256576	9.37941379	NM_001316332,NM_002756,NM_145109	P46734	16.84349011	0.114400785	16.84349011
MO000009415	0.005	["E12(h)","E2A(h)","E47(h)","ITF-1(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","SNA(h)","STAT3(h)","STAT3-isoform1(h)","STAT3-isoform2(h)","STAT3-isoform3(h)","beta-catenin(h)","beta-catenin-isoform1(h)","c-Fos(h)","c-Jun(h)","foxm1(h)","foxm1-isoform1(h)","foxm1-isoform2(h)"]	["MO000013123","MO000017049","MO000018137","MO000019363","MO000019469","MO000024771","MO000024773","MO000024920","MO000025736","MO000026496","MO000028099","MO000032492","MO000044348","MO000058322","MO000058538","MO000078237","MO000078241","MO000079319","MO000079350","MO000079681","MO000088314","MO000129437","MO000133252","MO000165730","MO000257758"]	MKK6-isoform1(h)	8.4	106	68077	25	0.48554564	1.794675	15.325587029775981	mitogen-activated protein kinase kinase 6	ENSG00000108984	MAP2K6	5608	5.215845526	1.455692	31	0.14528	36	2.230372	61	0.107373	21	22.57829922	5.58E-6	-4.67861202	0.457927349	1.17E-6	-4.861209102	2.998610476	0.046049	7	0.041982	6	0.066092	13	0.030809	7	4.69484459	4.56320612	5.03422882	4.35759111	3.82922972	3.78459663	3.96723664	3.64993524	NM_001330450,NM_002758	P52564	7.805727201	0.284052337	-7.805727201
MO000020436	0.023	["E12(h)","E2A(h)","E47(h)","ITF-1(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","SNA(h)","STAT3(h)","STAT3-isoform1(h)","STAT3-isoform2(h)","STAT3-isoform3(h)","beta-catenin(h)","beta-catenin-isoform1(h)","c-Fos(h)","c-Jun(h)","foxm1(h)","foxm1-isoform1(h)","foxm1-isoform2(h)"]	["MO000013123","MO000017049","MO000018137","MO000019363","MO000019469","MO000024771","MO000024773","MO000024920","MO000025736","MO000026496","MO000028099","MO000032492","MO000044348","MO000058322","MO000058538","MO000078237","MO000078241","MO000079319","MO000079350","MO000079681","MO000088314","MO000129437","MO000133252","MO000165730","MO000257758"]	RIP2(h)	7.75	59	76233	25	0.54205793	1.8546244	NaN	receptor interacting serine/threonine kinase 2	ENSG00000104312	RIPK2	8767	8.320539875	9.205302	266	7.665164	358	10.327129	385	7.190669	263	349.8380928	0.191923591	1.187509359	0.163529827	0.129476579	1.51616918	8.569794689	13.091911	366	10.758673	283	13.417411	494	10.153876	432	8.37604696	8.34139452	8.47142658	8.28604108	8.6111949	8.41744888	8.63200621	8.37259883	NM_003821		3.201472546	0.077856302	3.201472546
MO000020924	0.03	["E12(h)","E2A(h)","E47(h)","ITF-1(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","SNA(h)","STAT3(h)","STAT3-isoform1(h)","STAT3-isoform2(h)","STAT3-isoform3(h)","beta-catenin(h)","beta-catenin-isoform1(h)","c-Fos(h)","c-Jun(h)","foxm1(h)","foxm1-isoform1(h)","foxm1-isoform2(h)"]	["MO000013123","MO000017049","MO000018137","MO000019363","MO000019469","MO000024771","MO000024773","MO000024920","MO000025736","MO000026496","MO000028099","MO000032492","MO000044348","MO000058322","MO000058538","MO000078237","MO000078241","MO000079319","MO000079350","MO000079681","MO000088314","MO000129437","MO000133252","MO000165730","MO000257758"]	FAP-1(h)	8.61	116	65553	25	0.49261343	1.726956	NaN	non-receptor type 13,protein tyrosine phosphatase	ENSG00000163629	PTPN13	5783	9.758343769	9.894565	947	4.305838	667	9.981316	1233	4.457535	538	521.2811179	2.52E-10	-4.899859465	0.344372174	2.78E-11	-6.65773993	7.463441554	1.701306	159	1.01782	90	2.182198	267	1.698614	240	9.6012549	8.95627695	9.61045834	8.97791663	8.04040268	7.68759415	8.21702452	8.01155703	NM_006264,NM_080683,NM_080684,NM_080685		6.220712304	0.368913093	-6.220712304
