ID	Gene description	Gene_Symbol	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value
ENSG00000007968	E2F transcription factor 2	E2F2	V$E2F2_09,V$E2F2_11	17.0253164556962	14.193742478941035	1.5242280829439827	0.8231999999999999	7.717891613153517E-8
ENSG00000020256	ZFP64 zinc finger protein	ZFP64	V$ZFP64_04,V$ZFP64_05,V$ZFP64_06,V$ZFP64_07	5.65928270042194	4.807460890493382	1.6492509566470988	0.705	9.228132394729817E-4
ENSG00000075426	FOS-like antigen 2	FOSL2	V$AP1_Q4_01,V$AP1_Q6_01,V$FOSL2_02,V$FRA2_01,V$FRA2_03,V$FRA2_04,V$FRA2_Q4_01,V$JUNBFRA2_01,V$JUNDFRA2_01,V$JUNFRA2_01	0.5928270042194093	0.3658243080625752	4.775061021112406	0.9260999999999999	6.811919950043087E-4
ENSG00000091831	estrogen receptor 1	ESR1	V$ERALPHA_01,V$ESR1_03,V$ESR1_09,V$ESR1_10,V$ESR1_11,V$ESR1_12	0.2162447257383966	0.07019655034095466	4.598752385975487	0.80375	1.3998108015012196E-4
ENSG00000102145	GATA binding protein 1 (globin transcription factor 1)	GATA1	V$TAL1GATA1_02	0.14767932489451474	0.036101083032490974	4.090717299578058	0.903	3.989826387876533E-4
ENSG00000105419	Meis homeobox 3	MEIS3	V$MEIS3_03,V$MEIS3_06,V$MEIS3_07	1.0056258790436006	0.6718812675491375	1.5225029417527634	0.7912333333333333	9.867075390936843E-4
ENSG00000111206	forkhead box M1	FOXM1	V$FOXM1_Q3	0.24789029535864976	0.1022864019253911	2.4234921816827995	0.9036	7.644794381116522E-4
ENSG00000118707	TGFB-induced factor homeobox 2	TGIF2	V$TGIF2_03,V$TGIF2_04,V$TGIF2_05	0.9757383966244726	0.6417970316887285	1.52894439381119	0.7701666666666666	3.1142036293724436E-4
ENSG00000130684	zinc finger protein 337	ZNF337	V$ZN337_02,V$ZN337_03	1.1735232067510548	0.8062575210589651	1.7285082497500925	0.8048	9.726383891592611E-4
ENSG00000140044	Jun dimerization protein 2	JDP2	V$JDP2_01,V$JDP2_05,V$JDP2_07,V$JDP2_09,V$JDP2_11	0.6635021097046414	0.42238267148014436	2.2792190559202608	0.8817	9.09502915984871E-4
ENSG00000160199	PBX/knotted 1 homeobox 1	PKNOX1	V$PBX_Q3,V$PKNOX1_03,V$PKNOX1_04,V$PKNOX1_05,V$PKNOX1_06	1.4683544303797469	1.0421179302045727	1.5468390950395474	0.78752	3.4979256925155207E-4
ENSG00000165066	NK6 homeobox 3	NKX6-3	V$NKX63_03,V$NKX63_04	0.09229957805907173	0.009025270758122744	11.395569620253163	0.98505	3.811673405646174E-4
ENSG00000165495	PBX/knotted 1 homeobox 2	PKNOX2	V$PKNOX2_03,V$PKNOX2_05,V$PKNOX2_06	0.908931082981716	0.573606097071801	1.598895668179687	0.7578999999999999	5.741198112799489E-4
ENSG00000167377	zinc finger protein 23	ZNF23	V$ZNF23_01,V$ZNF23_02,V$ZNF23_04,V$ZNF23_05	11.408227848101266	9.726233453670279	1.5392700547957674	0.736775	1.748849743075065E-4
ENSG00000167637	zinc finger protein 283	ZNF283	V$ZNF283_01	0.5010548523206751	0.2527075812274368	1.982745629897529	0.7071	9.371928539904641E-5
ENSG00000169554	zinc finger E-box binding homeobox 2	ZEB2	V$SIP1_Q6	0.9546413502109705	0.6257521058965102	1.5255903115871472	0.8383	3.0877723647704773E-4
ENSG00000171970	zinc finger protein 57	ZNF57	V$ZNF57_01,V$ZNF57_02,V$ZNF57_03	4.055907172995781	3.1528279181708783	1.5829818197318495	0.8081333333333333	3.096350025852502E-4
