ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value
V$NFE2_Q6	0.16666666666666666	0.006016847172081829	27.699999999999996	0.9257	4.58295676656207E-5
V$FKHL5_Q3	0.125	0.006016847172081829	20.775	1.0	7.16141341332855E-4
V$GLI4_01	0.125	0.006016847172081829	20.775	0.927	7.16141341332855E-4
V$LHX8_03	0.125	0.006016847172081829	20.775	0.8964	7.16141341332855E-4
V$POU2F3_07	0.125	0.006016847172081829	20.775	0.9742	7.16141341332855E-4
V$ZNF17_01	0.125	0.006016847172081829	20.775	0.7516	7.16141341332855E-4
V$MYF_01	0.10416666666666667	0.006016847172081829	17.3125	0.9563	0.0027573303633136783
V$NEUROD2_05	0.10416666666666667	0.006016847172081829	17.3125	0.9631	0.0027573303633136783
V$NFE2_08	0.10416666666666667	0.006016847172081829	17.3125	0.9253	0.0027573303633136783
V$NRF2_03	0.10416666666666667	0.006016847172081829	17.3125	0.9042	0.0027573303633136783
V$PTF1BETA_Q6	0.10416666666666667	0.006016847172081829	17.3125	0.9446	0.0027573303633136783
V$RARA_14	0.10416666666666667	0.006016847172081829	17.3125	0.9178	0.0027573303633136783
V$ZNF18_04	0.10416666666666667	0.006016847172081829	17.3125	0.9564	0.0027573303633136783
V$ZNF224_05	0.10416666666666667	0.006016847172081829	17.3125	0.9364	0.0027573303633136783
V$ASCL2_07	0.16666666666666666	0.012033694344163659	13.849999999999998	0.9949	1.8364561692094927E-4
V$BACH1_03	0.08333333333333333	0.006016847172081829	13.849999999999998	0.9293	0.01034800198649155
V$CDPCR1_01	0.08333333333333333	0.006016847172081829	13.849999999999998	0.9308	0.01034800198649155
V$CTCFL_04	0.08333333333333333	0.006016847172081829	13.849999999999998	0.9405	0.01034800198649155
V$ETV2HOXA2_02	0.08333333333333333	0.006016847172081829	13.849999999999998	0.8963	0.01034800198649155
V$ETV5HOXA2_01	0.08333333333333333	0.006016847172081829	13.849999999999998	0.9019	0.01034800198649155
V$HBP1_03	0.08333333333333333	0.006016847172081829	13.849999999999998	0.9989	0.01034800198649155
V$HES7_01	0.08333333333333333	0.006016847172081829	13.849999999999998	0.894	0.01034800198649155
V$HOXA10_01	0.08333333333333333	0.006016847172081829	13.849999999999998	0.9375	0.01034800198649155
V$HOXA11_08	0.08333333333333333	0.006016847172081829	13.849999999999998	0.9779	0.01034800198649155
V$HOXD10_04	0.08333333333333333	0.006016847172081829	13.849999999999998	0.9474	0.01034800198649155
V$HSF1_Q5	0.08333333333333333	0.006016847172081829	13.849999999999998	0.9758	0.01034800198649155
V$HSF1_Q5_01	0.08333333333333333	0.006016847172081829	13.849999999999998	0.9952	0.01034800198649155
V$LEF1_07	0.08333333333333333	0.006016847172081829	13.849999999999998	0.996	0.01034800198649155
V$MAFK_Q3	0.08333333333333333	0.006016847172081829	13.849999999999998	0.9598	0.01034800198649155
V$SOX18_04	0.08333333333333333	0.006016847172081829	13.849999999999998	0.9722	0.01034800198649155
V$ZFP14_01	0.08333333333333333	0.006016847172081829	13.849999999999998	0.8926	0.01034800198649155
V$ZFP629_02	0.08333333333333333	0.006016847172081829	13.849999999999998	0.9057	0.01034800198649155
V$ZNF197_02	0.08333333333333333	0.006016847172081829	13.849999999999998	0.8888	0.01034800198649155
V$ZNF629_02	0.08333333333333333	0.006016847172081829	13.849999999999998	0.9057	0.01034800198649155
V$ZNF785_01	0.08333333333333333	0.006016847172081829	13.849999999999998	0.7709	0.01034800198649155
V$ASCL2_09	0.14583333333333334	0.012033694344163659	12.11875	0.9955	6.608336832290459E-4
V$TFAP2E_01	0.14583333333333334	0.012033694344163659	12.11875	0.993	6.608336832290459E-4
V$ZFP64_05	0.14583333333333334	0.012033694344163659	12.11875	0.7899	6.608336832290459E-4
V$CDX1_05	0.0625	0.006016847172081829	10.3875	0.9662	0.03744669949447811
V$CDX1_Q4	0.0625	0.006016847172081829	10.3875	1.0	0.03744669949447811
V$CDX2_03	0.0625	0.006016847172081829	10.3875	0.9939	0.03744669949447811
V$E47_06	0.125	0.012033694344163659	10.3875	0.9737	0.0023170739186256133
V$FLI1FOXI1_01	0.0625	0.006016847172081829	10.3875	0.8698	0.03744669949447811
V$GATA3_18	0.0625	0.006016847172081829	10.3875	0.8778	0.03744669949447811
V$HEN2_03	0.125	0.012033694344163659	10.3875	0.8892	0.0023170739186256133
V$HOXA10_04	0.0625	0.006016847172081829	10.3875	0.9897	0.03744669949447811
V$HOXA11_06	0.0625	0.006016847172081829	10.3875	0.9961	0.03744669949447811
V$HOXB9_05	0.0625	0.006016847172081829	10.3875	0.9805	0.03744669949447811
V$HOXC11_04	0.0625	0.006016847172081829	10.3875	0.9737	0.03744669949447811
V$HOXC11_06	0.0625	0.006016847172081829	10.3875	0.9892	0.03744669949447811
V$HOXC11_10	0.0625	0.006016847172081829	10.3875	0.9919	0.03744669949447811
V$HOXC12_03	0.0625	0.006016847172081829	10.3875	0.9785	0.03744669949447811
V$HOXC9_06	0.0625	0.006016847172081829	10.3875	0.9911	0.03744669949447811
V$HOXD10_06	0.0625	0.006016847172081829	10.3875	0.985	0.03744669949447811
V$HOXD9_09	0.0625	0.006016847172081829	10.3875	0.977	0.03744669949447811
V$HOXD9_11	0.0625	0.006016847172081829	10.3875	0.9814	0.03744669949447811
V$IRF3_05	0.0625	0.006016847172081829	10.3875	0.983	0.03744669949447811
V$IRF4_11	0.0625	0.006016847172081829	10.3875	0.9356	0.03744669949447811
V$IRF8_02	0.125	0.012033694344163659	10.3875	0.8941	0.0023170739186256133
V$IRF8_03	0.125	0.012033694344163659	10.3875	0.8941	0.0023170739186256133
V$MAFF_06	0.0625	0.006016847172081829	10.3875	0.8614	0.03744669949447811
V$MSC_03	0.125	0.012033694344163659	10.3875	0.8915	0.0023170739186256133
V$MSGN1_02	0.125	0.012033694344163659	10.3875	0.9765	0.0023170739186256133
V$NANOG_Q6	0.0625	0.006016847172081829	10.3875	0.9474	0.03744669949447811
V$NEUROD_07	0.0625	0.006016847172081829	10.3875	0.8565	0.03744669949447811
V$NFATC3_05	0.0625	0.006016847172081829	10.3875	0.9987	0.03744669949447811
V$NHLH1_05	0.125	0.012033694344163659	10.3875	0.8761	0.0023170739186256133
V$NRF2_Q4	0.125	0.012033694344163659	10.3875	0.944	0.0023170739186256133
V$PLAGL2_01	0.0625	0.006016847172081829	10.3875	0.9531	0.03744669949447811
V$POU4F1_03	0.0625	0.006016847172081829	10.3875	0.941	0.03744669949447811
V$POU6F1_11	0.0625	0.006016847172081829	10.3875	0.8916	0.03744669949447811
V$PPARD_04	0.125	0.012033694344163659	10.3875	0.8561	0.0023170739186256133
V$RARG_10	0.125	0.012033694344163659	10.3875	0.8468	0.0023170739186256133
V$SNA_Q4	0.0625	0.006016847172081829	10.3875	0.9877	0.03744669949447811
V$SOX17_05	0.0625	0.006016847172081829	10.3875	0.9998	0.03744669949447811
V$TEAD2_01	0.0625	0.006016847172081829	10.3875	0.9941	0.03744669949447811
V$TFAP2A_07	0.125	0.012033694344163659	10.3875	0.9763	0.0023170739186256133
V$TFAP2C_05	0.0625	0.006016847172081829	10.3875	0.9813	0.03744669949447811
V$VDR_Q6	0.0625	0.006016847172081829	10.3875	0.9948	0.03744669949447811
V$ZBTB32_01	0.125	0.012033694344163659	10.3875	0.7051	0.0023170739186256133
V$ZBTB32_02	0.125	0.012033694344163659	10.3875	0.7443	0.0023170739186256133
V$ZBTB4_05	0.0625	0.006016847172081829	10.3875	0.9078	0.03744669949447811
V$ZFP445_01	0.0625	0.006016847172081829	10.3875	0.8117	0.03744669949447811
V$ZNF329_04	0.0625	0.006016847172081829	10.3875	0.7578	0.03744669949447811
V$ZNF454_01	0.0625	0.006016847172081829	10.3875	0.9076	0.03744669949447811
V$ZNF470_02	0.0625	0.006016847172081829	10.3875	0.8502	0.03744669949447811
V$ZNF517_01	0.0625	0.006016847172081829	10.3875	0.821	0.03744669949447811
V$ZNF569_04	0.0625	0.006016847172081829	10.3875	0.9288	0.03744669949447811
V$ZNF709_02	0.0625	0.006016847172081829	10.3875	0.965	0.03744669949447811
V$ZNF721_02	0.0625	0.006016847172081829	10.3875	0.9355	0.03744669949447811
V$ZNF729_06	0.0625	0.006016847172081829	10.3875	0.9374	0.03744669949447811
V$TFAP2A_14	0.16666666666666666	0.018050541516245487	9.233333333333333	0.9991	5.400886194208741E-4
V$TFAP2C_03	0.16666666666666666	0.018050541516245487	9.233333333333333	0.9894	5.400886194208741E-4
V$THRA_01	0.16666666666666666	0.018050541516245487	9.233333333333333	0.7885	5.400886194208741E-4
V$GRHL1_04	0.10416666666666667	0.012033694344163659	8.65625	0.936	0.007860302918265732
V$HNF6_Q6_01	0.10416666666666667	0.012033694344163659	8.65625	0.9455	0.007860302918265732
V$HOXC10_09	0.10416666666666667	0.012033694344163659	8.65625	0.9528	0.007860302918265732
V$HOXC10_15	0.10416666666666667	0.012033694344163659	8.65625	0.953	0.007860302918265732
V$HOXC9_08	0.10416666666666667	0.012033694344163659	8.65625	0.9521	0.007860302918265732
V$MEIS1DLX3_01	0.10416666666666667	0.012033694344163659	8.65625	0.8759	0.007860302918265732
V$MYNN_02	0.10416666666666667	0.012033694344163659	8.65625	0.9098	0.007860302918265732
V$NEUROD2_04	0.10416666666666667	0.012033694344163659	8.65625	0.9633	0.007860302918265732
V$RARA_17	0.10416666666666667	0.012033694344163659	8.65625	0.9479	0.007860302918265732
V$RARG_12	0.10416666666666667	0.012033694344163659	8.65625	0.9995	0.007860302918265732
V$TLX3_02	0.10416666666666667	0.012033694344163659	8.65625	0.8959	0.007860302918265732
V$ZNF107_02	0.10416666666666667	0.012033694344163659	8.65625	0.7579	0.007860302918265732
V$ZNF18_03	0.10416666666666667	0.012033694344163659	8.65625	0.9588	0.007860302918265732
V$NFE2_09	0.14583333333333334	0.018050541516245487	8.079166666666667	0.8732	0.0017742725046146026
V$NRF2_04	0.14583333333333334	0.018050541516245487	8.079166666666667	0.9058	0.0017742725046146026
V$RARB_08	0.14583333333333334	0.018050541516245487	8.079166666666667	0.8353	0.0017742725046146026
V$RXRG_09	0.14583333333333334	0.018050541516245487	8.079166666666667	0.8634	0.0017742725046146026
V$ATOH1_07	0.125	0.018050541516245487	6.925	0.9587	0.00562955438941873
V$NRF2_Q3	0.125	0.018050541516245487	6.925	0.9759	0.00562955438941873
V$RARB_05	0.125	0.018050541516245487	6.925	0.866	0.00562955438941873
V$SOX12_06	0.125	0.018050541516245487	6.925	0.9038	0.00562955438941873
V$TFAP2A_06	0.25	0.036101083032490974	6.925	0.9819	7.457716861160873E-5
V$AP1_C	0.16666666666666666	0.024067388688327317	6.924999999999999	0.9897	0.001300650122540988
V$AP1_Q4_01	0.08333333333333333	0.012033694344163659	6.924999999999999	0.9968	0.025529345232847302
V$ERM_03	0.08333333333333333	0.012033694344163659	6.924999999999999	0.9848	0.025529345232847302
V$FRA1_Q5	0.08333333333333333	0.012033694344163659	6.924999999999999	0.9962	0.025529345232847302
V$GATA6_13	0.08333333333333333	0.012033694344163659	6.924999999999999	0.9037	0.025529345232847302
V$HOXC10_04	0.08333333333333333	0.012033694344163659	6.924999999999999	0.9771	0.025529345232847302
V$HOXD12ETV4_01	0.08333333333333333	0.012033694344163659	6.924999999999999	0.8049	0.025529345232847302
V$HOXD9_02	0.08333333333333333	0.012033694344163659	6.924999999999999	0.979	0.025529345232847302
V$IRF4_10	0.08333333333333333	0.012033694344163659	6.924999999999999	0.9119	0.025529345232847302
V$IRF6_07	0.08333333333333333	0.012033694344163659	6.924999999999999	0.9217	0.025529345232847302
V$MYOGNF1_01	0.08333333333333333	0.012033694344163659	6.924999999999999	0.8001	0.025529345232847302
V$NKX63_03	0.08333333333333333	0.012033694344163659	6.924999999999999	0.9831	0.025529345232847302
V$NKX63_04	0.08333333333333333	0.012033694344163659	6.924999999999999	0.9822	0.025529345232847302
V$NR2C2_06	0.08333333333333333	0.012033694344163659	6.924999999999999	1.0	0.025529345232847302
V$OLIG2_05	0.16666666666666666	0.024067388688327317	6.924999999999999	0.9243	0.001300650122540988
V$TCF17_04	0.08333333333333333	0.012033694344163659	6.924999999999999	0.9448	0.025529345232847302
V$TCF4_Q5_01	0.08333333333333333	0.012033694344163659	6.924999999999999	0.9967	0.025529345232847302
V$TEF_04	0.08333333333333333	0.012033694344163659	6.924999999999999	0.99	0.025529345232847302
V$TFAP2A_13	0.16666666666666666	0.024067388688327317	6.924999999999999	0.9979	0.001300650122540988
V$ZBTB2_Q3	0.08333333333333333	0.012033694344163659	6.924999999999999	0.9656	0.025529345232847302
V$ZFP414_01	0.08333333333333333	0.012033694344163659	6.924999999999999	0.8204	0.025529345232847302
V$ZFP91_02	0.08333333333333333	0.012033694344163659	6.924999999999999	0.7938	0.025529345232847302
V$ZNF257_01	0.08333333333333333	0.012033694344163659	6.924999999999999	0.8845	0.025529345232847302
V$ZNF345_05	0.08333333333333333	0.012033694344163659	6.924999999999999	0.7998	0.025529345232847302
V$ZNF34_01	0.08333333333333333	0.012033694344163659	6.924999999999999	0.7506	0.025529345232847302
V$ZNF528_03	0.08333333333333333	0.012033694344163659	6.924999999999999	0.9457	0.025529345232847302
V$ZNF66_02	0.08333333333333333	0.012033694344163659	6.924999999999999	0.8768	0.025529345232847302
V$ZNF836_03	0.08333333333333333	0.012033694344163659	6.924999999999999	0.9492	0.025529345232847302
V$ATOH7_01	0.1875	0.030084235860409144	6.2325	0.9461	9.312005244218024E-4
V$FOXP3_01	0.1875	0.030084235860409144	6.2325	0.9891	9.312005244218024E-4
V$AP2ALPHA_Q6	0.14583333333333334	0.024067388688327317	6.059375	0.9979	0.003934094303703629
V$POU5F1_09	0.14583333333333334	0.024067388688327317	6.059375	0.879	0.003934094303703629
V$ZNF132_02	0.14583333333333334	0.024067388688327317	6.059375	0.8997	0.003934094303703629
V$ZNF227_02	0.14583333333333334	0.024067388688327317	6.059375	0.9323	0.003934094303703629
V$ZNF323_03	0.14583333333333334	0.024067388688327317	6.059375	0.8039	0.003934094303703629
V$ZNF775_01	0.14583333333333334	0.024067388688327317	6.059375	0.8459	0.003934094303703629
V$AP2ALPHA_03	0.4166666666666667	0.07220216606498195	5.770833333333334	0.927	1.3068884814756877E-6
V$CDX2_01	0.10416666666666667	0.018050541516245487	5.770833333333334	0.9484	0.017099017917665934
V$CTCF_02	0.10416666666666667	0.018050541516245487	5.770833333333334	0.9473	0.017099017917665934
V$HOXD10_08	0.10416666666666667	0.018050541516245487	5.770833333333334	0.934	0.017099017917665934
