ID	Ensembl ID	UniProt ID	Average Intensity
MO000000394	ENSG00000206503	P04439,P16188	2486.0731538540867
MO000001105	ENSG00000109321	P15514	5.04718390936799
MO000001471	ENSG00000123268	P18846	93.18041430340506
MO000001760	ENSG00000136573	P51451	4.420479595708675
MO000002316	ENSG00000164733	P07858	1525.2980137020068
MO000002361	ENSG00000120837	P25208	6.82791351644977
MO000002558	ENSG00000026508	P16070-4	3747.004446580857
MO000003223	ENSG00000157227	P50281	61.61675411455429
MO000003497	ENSG00000103653	P41240	37.13299949101882
MO000004672	ENSG00000102882	P27361	115.8390833947533
MO000004677	ENSG00000100030	P28482	477.72726263684467
MO000004681	ENSG00000069956	Q16659	19.093763527640075
MO000004888	ENSG00000169398	Q05397-5	75.03996596021061
MO000005412	ENSG00000010810	P06241	9.407487644225931
MO000005460	ENSG00000104064	Q06547-2	2.3242342883340408
MO000005463	ENSG00000104064	Q06547-2	2.3242342883340408
MO000005612	ENSG00000146535	Q03113	64.23158380742171
MO000006707	ENSG00000137309	P17096,P17096-2	7540.4307910267835
MO000006710	ENSG00000137309	P17096,P17096-2	7540.4307910267835
MO000007258	ENSG00000167244	P01344	12.42460074989855
MO000007331	ENSG00000150782	Q14116	65.95523202916087
MO000007821	ENSG00000107643	P45983-3	24.878764667950193
MO000007834	ENSG00000130522	P17535	321.681039178161
MO000007897	ENSG00000077150	Q00653,Q00653-4	21.958348474858134
MO000007919	ENSG00000070770	P19784	119.2247462523495
MO000008180	ENSG00000055332	P19525	176.43568744078314
MO000008230	ENSG00000078061	P10398	18.346819428833804
MO000008400	ENSG00000143815	Q14739	314.8058871314711
MO000009253	ENSG00000162889	P49137	70.90071932355602
MO000009339	ENSG00000112062	Q16539,Q16539-2	388.1837785177519
MO000009386	ENSG00000169032	Q02750	620.141968580609
MO000009396	ENSG00000126934	P36507	605.7402042930701
MO000009403	ENSG00000034152	P46734	168.70007706867136
MO000009415	ENSG00000108984	P52564	15.325587029775981
MO000009440	ENSG00000197081	P11717	70.1707900600904
MO000009772	ENSG00000141905	P08651-2,P08651-4	40.458042413153244
MO000011144	ENSG00000149782	Q01970	1743.3788051005465
MO000011505	ENSG00000171867	P04156-2	341.2210523180741
MO000011878	ENSG00000080839	P28749	0.23172931459783305
MO000013121	ENSG00000170581	P52630	3.1133469799445965
MO000013123	ENSG00000168610	P40763,P40763-2	167.9039331818393
MO000013132	ENSG00000173757	P51692	4.539939937229947
MO000013248	ENSG00000165417	P52655	42.482881997207954
MO000013252	ENSG00000140307	P52657	95.58591480173035
MO000013292	ENSG00000153767	P29083	1.2725296441111986
MO000013295	ENSG00000197265	P29084	1.253537127844955
MO000013300	ENSG00000125651	P35269	91.30892915321557
MO000013458	ENSG00000198176	Q14186	6.413812399564506
MO000013669	ENSG00000181104	P25116	3.0196322314523467
MO000013691	ENSG00000100234	P35625	2243.181867202556
MO000014018	ENSG00000137801	P07996	279.25574014539933
MO000016582	ENSG00000070831	P60953,P60953-1	4564.005834817055
MO000016584	ENSG00000135341	O43318	9.80472830566038
MO000016585	ENSG00000135341	O43318	9.80472830566038
MO000016587	ENSG00000135341	O43318	9.80472830566038
MO000016677	ENSG00000146648	P00533	258.9332697492885
MO000016975	ENSG00000044115	P35221	251.44904694218832
MO000016989	ENSG00000082701	P49841	33.167216033505284
MO000017421	ENSG00000142208	P31749	65.69992907502574
MO000017447	ENSG00000106799	P36897-3	8.472859760362425
MO000017650	ENSG00000105723	P49840	68.08457347353482
MO000017774	ENSG00000139687	P06400	14.648864583670104
MO000018136	ENSG00000134954	P14921	1.0164860807212401
MO000018201	ENSG00000174021	P63218	586.5882511573918
MO000018459	ENSG00000140575	P46940	1319.0515200363002
MO000018481	ENSG00000169252	P07550	1.5489331709760097
MO000018683	ENSG00000164251	P55085	19.67664306263574
MO000018848	ENSG00000109332	P61077	1453.818563825086
MO000018875	ENSG00000173801	P14923	69.02919528858862
MO000018880	ENSG00000198561	O60716-11,O60716-3	148.91287057714408
MO000018890	ENSG00000198561	O60716-11,O60716-3	148.91287057714408
MO000018892	ENSG00000198561	O60716-11,O60716-3	148.91287057714408
MO000018898	ENSG00000198561	O60716-11,O60716-3	148.91287057714408
MO000018903	ENSG00000204435	P67870	1135.2709338086268
MO000018962	ENSG00000141736	P04626-4	23.687306720390275
MO000018993	ENSG00000125398	P48436	7.353028004401891
MO000019070	ENSG00000101966	P98170	9.310844517234326
MO000019071	ENSG00000100324	Q15750	18.032206194217252
MO000019107	ENSG00000005339	Q92793	2.526479531347272
MO000019160	ENSG00000102871	Q15628	7.9678550491752755
