ID	Ensembl ID
ABCA3	ENSP00000301732,ENSP00000371818
ABCA4	ENSP00000359245
ADAM29	ENSP00000352177,ENSP00000384229,ENSP00000414544,ENSP00000423517,ENSP00000478469,ENSP00000484862
AHNAK	ENSP00000257247,ENSP00000367263,ENSP00000433286,ENSP00000433635,ENSP00000433789,ENSP00000435357,ENSP00000436845
AKAP2	ENSP00000259318,ENSP00000363649,ENSP00000404782,ENSP00000419268
ALPK2	ENSP00000354991
ANKRD34A	ENSP00000475189,ENSP00000478172,ENSP00000484224
ASPM	ENSP00000356379
ATP8B2	ENSP00000357475
BACH2	ENSP00000257749,ENSP00000345642,ENSP00000437473
BPIFB4	ENSP00000364632
BRAF	ENSP00000288602,ENSP00000418033,ENSP00000419060
C10orf88	ENSP00000419126
CD79A	ENSP00000221972,ENSP00000468922
PALM2-AKAP2	ENSP00000305861,ENSP00000363654
