ID	Ensembl ID
MO000000223	ENSG00000072310
MO000000288	ENSG00000072310
MO000025761	ENSG00000072310
MO000025762	ENSG00000072310
MO000025763	ENSG00000072310
MO000037243	ENSG00000072310
MO000037244	ENSG00000072310
MO000037245	ENSG00000072310
MO000037246	ENSG00000072310
MO000056029	ENSG00000072310
MO000082065	ENSG00000072310
MO000107537	ENSG00000072310
MO000115397	ENSG00000072310
MO000115726	ENSG00000072310
MO000115967	ENSG00000072310
MO000115976	ENSG00000072310
MO000115989	ENSG00000072310
MO000116009	ENSG00000072310
MO000116013	ENSG00000072310
MO000116014	ENSG00000072310
MO000124207	ENSG00000072310
MO000166396	ENSG00000072310
MO000200036	ENSG00000072310
MO000202048	ENSG00000072310
MO000202186	ENSG00000072310
MO000257559	ENSG00000072310
MO000319185	ENSG00000072310
MO000319186	ENSG00000072310
MO000332233	ENSG00000072310
MO000332234	ENSG00000072310
MO000332235	ENSG00000072310
MO000472811	ENSG00000072310
MO000472812	ENSG00000072310
MO000480973	ENSG00000072310
MO000481566	ENSG00000072310
MO000482459	ENSG00000072310
MO000483186	ENSG00000072310
MO000483389	ENSG00000072310
MO000484570	ENSG00000072310
MO000484611	ENSG00000072310
