ID	Category	Title	Number of hits	Group size	Expected hits	P-value	Adjusted P-value	Hits	Hit names
D010051DMKR	Correlative	Ovarian Neoplasms	29	1445	6.629888573301289	7.260765673935826E-13	5.227778723720629E-10	["ENSG00000010810","ENSG00000011422","ENSG00000011465","ENSG00000026025","ENSG00000026103","ENSG00000077782","ENSG00000077942","ENSG00000100097","ENSG00000104067","ENSG00000108821","ENSG00000113140","ENSG00000115414","ENSG00000116141","ENSG00000120708","ENSG00000120738","ENSG00000136603","ENSG00000137462","ENSG00000141736","ENSG00000145675","ENSG00000146674","ENSG00000149948","ENSG00000150760","ENSG00000154133","ENSG00000163235","ENSG00000166033","ENSG00000167244","ENSG00000174130","ENSG00000189143","ENSG00000196712"]	["CLDN4","COL1A1","DCN","DOCK1","EGR1","ERBB2","FAS","FBLN1","FGFR1","FN1","FYN","HMGA2","HTRA1","IGF2","IGFBP3","LGALS1","MARK1","NF1","PIK3R1","PLAUR","ROBO4","SKIL","SPARC","TGFA","TGFBI","TJP1 (ENSG00000104067)","TLR2","TLR6","VIM"]
D012871DMKR	Correlative	Skin Diseases	48	4416	20.261306532663315	8.370682725802713E-13	5.227778723720629E-10	["ENSG00000010810","ENSG00000011422","ENSG00000011465","ENSG00000026025","ENSG00000026103","ENSG00000077782","ENSG00000077942","ENSG00000082781","ENSG00000100097","ENSG00000100342","ENSG00000101096","ENSG00000104067","ENSG00000108821","ENSG00000113140","ENSG00000114270","ENSG00000115414","ENSG00000120708","ENSG00000120738","ENSG00000129219","ENSG00000135919","ENSG00000136603","ENSG00000137462","ENSG00000141736","ENSG00000141753","ENSG00000145675","ENSG00000146674","ENSG00000149948","ENSG00000151491","ENSG00000152104","ENSG00000154134","ENSG00000154380","ENSG00000163235","ENSG00000163453","ENSG00000166147","ENSG00000166886","ENSG00000167244","ENSG00000168056","ENSG00000168685","ENSG00000169439","ENSG00000174130","ENSG00000182492","ENSG00000186575","ENSG00000186868","ENSG00000189143","ENSG00000196352","ENSG00000196405","ENSG00000196712","ENSG00000197043"]	["ANXA6","APOL1","BGN","CD55","CLDN4","COL1A1","COL7A1","DCN","EGR1","ENAH","EPS8","ERBB2","EVL","FAS","FBLN1","FBN1","FGFR1","FN1","FYN","HMGA2","IGF2","IGFBP3","IGFBP4","IGFBP7","IL7R","ITGB5","LGALS1","LTBP3","MAPT","NAB2","NF1","NF2","NFATC2","PIK3R1","PLAUR","PLD2","PTPN14","ROBO3","SDC2","SERPINE2","SKIL","SPARC","TGFA","TGFBI","TJP1 (ENSG00000104067)","TLR2","TLR6","VIM"]
D010049DMKR	Correlative	Ovarian Diseases	30	1608	7.377758357002404	1.5717423723367538E-12	5.227778723720629E-10	["ENSG00000010810","ENSG00000011422","ENSG00000011465","ENSG00000026025","ENSG00000026103","ENSG00000077782","ENSG00000077942","ENSG00000100097","ENSG00000104067","ENSG00000108821","ENSG00000113140","ENSG00000115414","ENSG00000116141","ENSG00000120708","ENSG00000120738","ENSG00000136603","ENSG00000137462","ENSG00000141736","ENSG00000141753","ENSG00000145675","ENSG00000146674","ENSG00000149948","ENSG00000150760","ENSG00000154133","ENSG00000163235","ENSG00000166033","ENSG00000167244","ENSG00000174130","ENSG00000189143","ENSG00000196712"]	["CLDN4","COL1A1","DCN","DOCK1","EGR1","ERBB2","FAS","FBLN1","FGFR1","FN1","FYN","HMGA2","HTRA1","IGF2","IGFBP3","IGFBP4","LGALS1","MARK1","NF1","PIK3R1","PLAUR","ROBO4","SKIL","SPARC","TGFA","TGFBI","TJP1 (ENSG00000104067)","TLR2","TLR6","VIM"]
D000291DMKR	Correlative	Adnexal Diseases	30	1612	7.396110989731265	1.6768994405904002E-12	5.227778723720629E-10	["ENSG00000010810","ENSG00000011422","ENSG00000011465","ENSG00000026025","ENSG00000026103","ENSG00000077782","ENSG00000077942","ENSG00000100097","ENSG00000104067","ENSG00000108821","ENSG00000113140","ENSG00000115414","ENSG00000116141","ENSG00000120708","ENSG00000120738","ENSG00000136603","ENSG00000137462","ENSG00000141736","ENSG00000141753","ENSG00000145675","ENSG00000146674","ENSG00000149948","ENSG00000150760","ENSG00000154133","ENSG00000163235","ENSG00000166033","ENSG00000167244","ENSG00000174130","ENSG00000189143","ENSG00000196712"]	["CLDN4","COL1A1","DCN","DOCK1","EGR1","ERBB2","FAS","FBLN1","FGFR1","FN1","FYN","HMGA2","HTRA1","IGF2","IGFBP3","IGFBP4","LGALS1","MARK1","NF1","PIK3R1","PLAUR","ROBO4","SKIL","SPARC","TGFA","TGFBI","TJP1 (ENSG00000104067)","TLR2","TLR6","VIM"]
D003108DMKR	Correlative	Colonic Diseases	41	3200	14.68210618308936	1.846135262831445E-12	5.227778723720629E-10	["ENSG00000011422","ENSG00000011465","ENSG00000026025","ENSG00000026103","ENSG00000076641","ENSG00000077782","ENSG00000077942","ENSG00000082781","ENSG00000100097","ENSG00000104067","ENSG00000108821","ENSG00000113140","ENSG00000115414","ENSG00000120708","ENSG00000120738","ENSG00000129219","ENSG00000131788","ENSG00000135919","ENSG00000136603","ENSG00000137462","ENSG00000141736","ENSG00000141753","ENSG00000145675","ENSG00000146674","ENSG00000149948","ENSG00000151491","ENSG00000152104","ENSG00000154380","ENSG00000163235","ENSG00000163453","ENSG00000166147","ENSG00000167244","ENSG00000168685","ENSG00000169439","ENSG00000182492","ENSG00000186575","ENSG00000189143","ENSG00000196352","ENSG00000196405","ENSG00000196712","ENSG00000197565"]	["BGN","CD55","CLDN4","COL1A1","COL4A6","DCN","EGR1","ENAH","EPS8","ERBB2","EVL","FAS","FBLN1","FBN1","FGFR1","FN1","HMGA2","IGF2","IGFBP3","IGFBP4","IGFBP7","IL7R","ITGB5","LGALS1","NF1","NF2","PAG1","PIAS3","PIK3R1","PLAUR","PLD2","PTPN14","SDC2","SERPINE2","SKIL","SPARC","TGFA","TGFBI","TJP1 (ENSG00000104067)","TLR2","VIM"]
D012002DMKR	Correlative	Rectal Diseases	40	3048	13.984706139392616	2.1488227284817616E-12	5.227778723720629E-10	["ENSG00000011422","ENSG00000011465","ENSG00000026025","ENSG00000026103","ENSG00000076641","ENSG00000077782","ENSG00000077942","ENSG00000082781","ENSG00000100097","ENSG00000104067","ENSG00000108821","ENSG00000113140","ENSG00000115414","ENSG00000120708","ENSG00000120738","ENSG00000129219","ENSG00000131788","ENSG00000135919","ENSG00000136603","ENSG00000137462","ENSG00000141736","ENSG00000141753","ENSG00000145675","ENSG00000146674","ENSG00000149948","ENSG00000151491","ENSG00000152104","ENSG00000154380","ENSG00000163235","ENSG00000163453","ENSG00000166147","ENSG00000167244","ENSG00000169439","ENSG00000182492","ENSG00000186575","ENSG00000189143","ENSG00000196352","ENSG00000196405","ENSG00000196712","ENSG00000197565"]	["BGN","CD55","CLDN4","COL1A1","COL4A6","DCN","EGR1","ENAH","EPS8","ERBB2","EVL","FAS","FBLN1","FBN1","FGFR1","FN1","HMGA2","IGF2","IGFBP3","IGFBP4","IGFBP7","ITGB5","LGALS1","NF1","NF2","PAG1","PIAS3","PIK3R1","PLAUR","PLD2","PTPN14","SDC2","SERPINE2","SKIL","SPARC","TGFA","TGFBI","TJP1 (ENSG00000104067)","TLR2","VIM"]
D015179DMKR	Correlative	Colorectal Neoplasms	40	3048	13.984706139392616	2.1488227284817616E-12	5.227778723720629E-10	["ENSG00000011422","ENSG00000011465","ENSG00000026025","ENSG00000026103","ENSG00000076641","ENSG00000077782","ENSG00000077942","ENSG00000082781","ENSG00000100097","ENSG00000104067","ENSG00000108821","ENSG00000113140","ENSG00000115414","ENSG00000120708","ENSG00000120738","ENSG00000129219","ENSG00000131788","ENSG00000135919","ENSG00000136603","ENSG00000137462","ENSG00000141736","ENSG00000141753","ENSG00000145675","ENSG00000146674","ENSG00000149948","ENSG00000151491","ENSG00000152104","ENSG00000154380","ENSG00000163235","ENSG00000163453","ENSG00000166147","ENSG00000167244","ENSG00000169439","ENSG00000182492","ENSG00000186575","ENSG00000189143","ENSG00000196352","ENSG00000196405","ENSG00000196712","ENSG00000197565"]	["BGN","CD55","CLDN4","COL1A1","COL4A6","DCN","EGR1","ENAH","EPS8","ERBB2","EVL","FAS","FBLN1","FBN1","FGFR1","FN1","HMGA2","IGF2","IGFBP3","IGFBP4","IGFBP7","ITGB5","LGALS1","NF1","NF2","PAG1","PIAS3","PIK3R1","PLAUR","PLD2","PTPN14","SDC2","SERPINE2","SKIL","SPARC","TGFA","TGFBI","TJP1 (ENSG00000104067)","TLR2","VIM"]
D012509DMKR	Correlative	Sarcoma	19	551	2.528075158400699	2.541237927432259E-12	5.409660238021421E-10	["ENSG00000011422","ENSG00000026025","ENSG00000026103","ENSG00000077782","ENSG00000100097","ENSG00000108821","ENSG00000113140","ENSG00000115414","ENSG00000120708","ENSG00000141736","ENSG00000145675","ENSG00000146674","ENSG00000149948","ENSG00000163235","ENSG00000167244","ENSG00000169439","ENSG00000182492","ENSG00000189143","ENSG00000196712"]	["BGN","CLDN4","COL1A1","ERBB2","FAS","FGFR1","FN1","HMGA2","IGF2","IGFBP3","LGALS1","NF1","PIK3R1","PLAUR","SDC2","SPARC","TGFA","TGFBI","VIM"]
D007410DMKR	Correlative	Intestinal Diseases	42	3420	15.691500983176754	3.107736670155773E-12	5.880528388083645E-10	["ENSG00000011422","ENSG00000011465","ENSG00000026025","ENSG00000026103","ENSG00000076641","ENSG00000077782","ENSG00000077942","ENSG00000082781","ENSG00000100097","ENSG00000101096","ENSG00000104067","ENSG00000108821","ENSG00000113140","ENSG00000115414","ENSG00000120708","ENSG00000120738","ENSG00000129219","ENSG00000131788","ENSG00000135919","ENSG00000136603","ENSG00000137462","ENSG00000141736","ENSG00000141753","ENSG00000145675","ENSG00000146674","ENSG00000149948","ENSG00000151491","ENSG00000152104","ENSG00000154380","ENSG00000163235","ENSG00000163453","ENSG00000166147","ENSG00000167244","ENSG00000168685","ENSG00000169439","ENSG00000182492","ENSG00000186575","ENSG00000189143","ENSG00000196352","ENSG00000196405","ENSG00000196712","ENSG00000197565"]	["BGN","CD55","CLDN4","COL1A1","COL4A6","DCN","EGR1","ENAH","EPS8","ERBB2","EVL","FAS","FBLN1","FBN1","FGFR1","FN1","HMGA2","IGF2","IGFBP3","IGFBP4","IGFBP7","IL7R","ITGB5","LGALS1","NF1","NF2","NFATC2","PAG1","PIAS3","PIK3R1","PLAUR","PLD2","PTPN14","SDC2","SERPINE2","SKIL","SPARC","TGFA","TGFBI","TJP1 (ENSG00000104067)","TLR2","VIM"]
D007414DMKR	Correlative	Intestinal Neoplasms	40	3121	14.319641686694341	4.785267248783514E-12	8.149310124678325E-10	["ENSG00000011422","ENSG00000011465","ENSG00000026025","ENSG00000026103","ENSG00000076641","ENSG00000077782","ENSG00000077942","ENSG00000082781","ENSG00000100097","ENSG00000104067","ENSG00000108821","ENSG00000113140","ENSG00000115414","ENSG00000120708","ENSG00000120738","ENSG00000129219","ENSG00000131788","ENSG00000135919","ENSG00000136603","ENSG00000137462","ENSG00000141736","ENSG00000141753","ENSG00000145675","ENSG00000146674","ENSG00000149948","ENSG00000151491","ENSG00000152104","ENSG00000154380","ENSG00000163235","ENSG00000163453","ENSG00000166147","ENSG00000167244","ENSG00000169439","ENSG00000182492","ENSG00000186575","ENSG00000189143","ENSG00000196352","ENSG00000196405","ENSG00000196712","ENSG00000197565"]	["BGN","CD55","CLDN4","COL1A1","COL4A6","DCN","EGR1","ENAH","EPS8","ERBB2","EVL","FAS","FBLN1","FBN1","FGFR1","FN1","HMGA2","IGF2","IGFBP3","IGFBP4","IGFBP7","ITGB5","LGALS1","NF1","NF2","PAG1","PIAS3","PIK3R1","PLAUR","PLD2","PTPN14","SDC2","SERPINE2","SKIL","SPARC","TGFA","TGFBI","TJP1 (ENSG00000104067)","TLR2","VIM"]
