ID	Title	Number of hits	Group size	Expected hits	P-value	Adjusted P-value	Hits	Hit names
7.1.1	SMAD factors	4	8	0.08349641226353555	5.419597696188519E-7	2.81819080201803E-5	["ENSG00000141646","ENSG00000166949","ENSG00000170365","ENSG00000175387"]	["SMAD1","SMAD2","SMAD3","SMAD4"]
7.1	SMAD/NF-1 DNA-binding domain factors	4	12	0.12524461839530332	3.7369376039727956E-6	9.716037770329269E-5	["ENSG00000141646","ENSG00000166949","ENSG00000170365","ENSG00000175387"]	["SMAD1","SMAD2","SMAD3","SMAD4"]
7	&#946;-Hairpin exposed by an &#945;/&#946;-scaffold	4	14	0.1461187214611872	7.46209828837639E-6	1.1993706531064044E-4	["ENSG00000141646","ENSG00000166949","ENSG00000170365","ENSG00000175387"]	["SMAD1","SMAD2","SMAD3","SMAD4"]
7.1.1.1	Regulatory Smads (R-Smad)	3	5	0.05218525766470972	9.225928100818495E-6	1.1993706531064044E-4	["ENSG00000166949","ENSG00000170365","ENSG00000175387"]	["SMAD1","SMAD2","SMAD3"]
6.1.1	NF-kappaB-related factors	2	5	0.05218525766470972	0.001003334067258915	0.010434674299492717	["ENSG00000109320","ENSG00000173039"]	["NFKB1","RELA"]
6.1	Rel homology region (RHR) factors	3	30	0.3131115459882583	0.003191855103928118	0.021709067188530485	["ENSG00000101096","ENSG00000109320","ENSG00000173039"]	["NFATC2","NFKB1","RELA"]
6	Immunoglobulin fold	4	67	0.6992824527071102	0.00407886257700637	0.021709067188530485	["ENSG00000101096","ENSG00000109320","ENSG00000168610","ENSG00000173039"]	["NFATC2","NFKB1","RELA","STAT3"]
0.2.1.0.2	SFPQ (PSF)	1	1	0.010437051532941943	0.010437051532947349	0.021709067188530485	["ENSG00000116560"]	["SFPQ"]
2.1.1.2.1	Estrogen receptor &#945; (ER&#945;) (NR3A1)	1	1	0.010437051532941943	0.010437051532947349	0.021709067188530485	["ENSG00000091831"]	["ESR1"]
2.3.1.1.1	Sp1	1	1	0.010437051532941943	0.010437051532947349	0.021709067188530485	["ENSG00000185591"]	["SP1"]
2.3.1.3.1	EGR1 (Krox-24)	1	1	0.010437051532941943	0.010437051532947349	0.021709067188530485	["ENSG00000120738"]	["EGR1"]
2.3.3.21.2	GFI1B [6]	1	1	0.010437051532941943	0.010437051532947349	0.021709067188530485	["ENSG00000165702"]	["GFI1B"]
3.1.3.24	SEBOX	1	1	0.010437051532941943	0.010437051532947349	0.021709067188530485	["ENSG00000109072"]	["VTN"]
3.1.3.24.1	SEBOX (OG-9)	1	1	0.010437051532941943	0.010437051532947349	0.021709067188530485	["ENSG00000109072"]	["VTN"]
4.1.2.0.7	HMG20B (HMGX2) [1]	1	1	0.010437051532941943	0.010437051532947349	0.021709067188530485	["ENSG00000064961"]	["HMG20B"]
6.1.1.1.1	NF-&#954;B p105 (NFKB1)	1	1	0.010437051532941943	0.010437051532947349	0.021709067188530485	["ENSG00000109320"]	["NFKB1"]
6.1.1.2.1	NF-&#954;B p65 (RelA)	1	1	0.010437051532941943	0.010437051532947349	0.021709067188530485	["ENSG00000173039"]	["RELA"]
6.1.3.0.2	NFATc2 (NFATp)	1	1	0.010437051532941943	0.010437051532947349	0.021709067188530485	["ENSG00000101096"]	["NFATC2"]
6.2.1.0.3	STAT3	1	1	0.010437051532941943	0.010437051532947349	0.021709067188530485	["ENSG00000168610"]	["STAT3"]
7.1.1.1.1	SMAD1	1	1	0.010437051532941943	0.010437051532947349	0.021709067188530485	["ENSG00000170365"]	["SMAD1"]
7.1.1.1.2	SMAD2	1	1	0.010437051532941943	0.010437051532947349	0.021709067188530485	["ENSG00000175387"]	["SMAD2"]
7.1.1.1.3	SMAD3	1	1	0.010437051532941943	0.010437051532947349	0.021709067188530485	["ENSG00000166949"]	["SMAD3"]
7.1.1.2	Co-activating Smads (Co-Smad)	1	1	0.010437051532941943	0.010437051532947349	0.021709067188530485	["ENSG00000141646"]	["SMAD4"]
7.1.1.2.1	SMAD4	1	1	0.010437051532941943	0.010437051532947349	0.021709067188530485	["ENSG00000141646"]	["SMAD4"]
8.2.1.0.2	HMGA2 (HMGI-C)	1	1	0.010437051532941943	0.010437051532947349	0.021709067188530485	["ENSG00000149948"]	["HMGA2"]
2.3.3.21	GFI1 factors	1	2	0.020874103065883887	0.020771912613505902	0.03724618813456231	["ENSG00000165702"]	["GFI1B"]
6.1.1.1	NF-kappaB p50 subunit-like factors	1	2	0.020874103065883887	0.020771912613505902	0.03724618813456231	["ENSG00000109320"]	["NFKB1"]
8.2	A.T hook factors	1	2	0.020874103065883887	0.020771912613505902	0.03724618813456231	["ENSG00000149948"]	["HMGA2"]
8.2.1	HMGA factors	1	2	0.020874103065883887	0.020771912613505902	0.03724618813456231	["ENSG00000149948"]	["HMGA2"]
0.2	NonO domain factors	1	3	0.03131115459882583	0.031005517707049058	0.05038396627395472	["ENSG00000116560"]	["SFPQ"]
0.2.1	NonO-related factors	1	3	0.03131115459882583	0.031005517707049058	0.05038396627395472	["ENSG00000116560"]	["SFPQ"]
6.1.1.2	NF-kappaB p65 subunit-like factors	1	3	0.03131115459882583	0.031005517707049058	0.05038396627395472	["ENSG00000173039"]	["RELA"]
2.3.1	Three-zinc finger Kr&#252;ppel-related factors	2	29	0.30267449445531636	0.03519743105836096	0.05546261863741728	["ENSG00000120738","ENSG00000185591"]	["EGR1","SP1"]
2.3.1.3	EGR factors	1	4	0.04174820613176777	0.041138793338843856	0.06291815451823178	["ENSG00000120738"]	["EGR1"]
