ID	expression
MO000000394	1
MO000000904	1
MO000001105	1
MO000001275	1
MO000001471	1
MO000001536	1
MO000001760	1
MO000001830	1
MO000001833	1
MO000002316	1
MO000002361	1
MO000002558	1
MO000002580	1
MO000002641	1
MO000003223	1
MO000003497	1
MO000003591	1
MO000004274	1
MO000004278	1
MO000004279	1
MO000004283	1
MO000004353	1
MO000004575	1
MO000004672	1
MO000004677	1
MO000004681	1
MO000004688	1
MO000004689	1
MO000004697	1
MO000004888	1
MO000004928	1
MO000005009	1
MO000005078	1
MO000005412	1
MO000005460	1
MO000005463	1
MO000005568	1
MO000005612	1
MO000005659	1
MO000006707	1
MO000006710	1
MO000006878	1
MO000007160	1
MO000007225	1
MO000007258	1
MO000007331	1
MO000007336	1
MO000007372	1
MO000007546	1
MO000007566	1
MO000007686	1
MO000007691	1
MO000007703	1
MO000007759	1
MO000007821	1
MO000007830	1
MO000007834	1
MO000007897	1
MO000007919	1
MO000008180	1
MO000008230	1
MO000008280	1
MO000008400	1
MO000009086	1
MO000009253	1
MO000009339	1
MO000009386	1
MO000009396	1
MO000009403	1
MO000009410	1
MO000009415	1
MO000009440	1
MO000009772	1
MO000010971	1
MO000011144	1
MO000011154	1
MO000011505	1
MO000011878	1
MO000011881	1
MO000012480	1
MO000012556	1
MO000013015	1
MO000013121	1
MO000013123	1
MO000013125	1
MO000013132	1
MO000013248	1
MO000013252	1
MO000013292	1
MO000013295	1
MO000013300	1
MO000013458	1
MO000013471	1
MO000013528	1
MO000013617	1
MO000013620	1
MO000013623	1
MO000013669	1
MO000013691	1
MO000014018	1
MO000014070	1
MO000014072	1
MO000014947	1
MO000015029	1
MO000016582	1
MO000016584	1
MO000016585	1
MO000016587	1
MO000016611	1
MO000016612	1
MO000016613	1
MO000016614	1
MO000016615	1
MO000016677	1
MO000016693	1
MO000016950	1
MO000016975	1
MO000016976	1
MO000016977	1
MO000016989	1
MO000016990	1
MO000017006	1
MO000017049	1
MO000017153	1
MO000017421	1
MO000017447	1
MO000017448	1
MO000017486	1
MO000017512	1
MO000017648	1
MO000017650	1
MO000017707	1
MO000017708	1
MO000017774	1
MO000017914	1
MO000018010	1
MO000018018	1
MO000018136	1
MO000018137	1
MO000018155	1
MO000018201	1
MO000018298	1
MO000018438	1
MO000018459	1
MO000018481	1
MO000018502	1
MO000018597	1
MO000018600	1
MO000018602	1
MO000018603	1
MO000018604	1
MO000018606	1
MO000018668	1
MO000018683	1
MO000018780	1
MO000018848	1
MO000018875	1
MO000018880	1
MO000018890	1
MO000018892	1
MO000018898	1
MO000018902	1
MO000018903	1
MO000018933	1
MO000018962	1
MO000018990	1
MO000018993	1
MO000019068	1
MO000019069	1
