ID	Model cutoff	No density per 1000bp	P-value	Yes density per 1000bp	Yes-No ratio
V$CEBPD_03	0.9605	0.04189359028068705	0.007986288095247339	0.13333333333333333	3.182666666666667
V$ETV2CEBPD_01	0.8869	0.008378718056137411	0.004897380902093214	0.07272727272727272	8.68
V$MYOGNF1_01	0.6961	0.8420611646418098	0.03876404091749182	1.0666666666666667	1.2667330016583749
V$NF1C_01	0.9352	0.12568077084206117	0.006616482996082435	0.26666666666666666	2.1217777777777775
V$NF1C_03	0.9443	0.008378718056137411	0.014532165867566236	0.06060606060606061	7.233333333333333
V$NF1_Q6	0.9872	0.008378718056137411	0.014532165867566236	0.06060606060606061	7.233333333333333
V$NFKAPPAB65_01	0.8139	1.7804775869291998	0.013368585560736185	2.181818181818182	1.2254117647058826
V$NFKAPPAB_01	0.8613	0.8127356514453289	2.613962725174377E-4	1.2606060606060605	1.5510652920962198
V$NFKB1_Q4	0.8929	1.6631755341432761	0.02708649853618789	2.0	1.2025188916876575
V$NFKB_Q6_01	0.7737	3.4771679932970256	0.022397978178917255	3.975757575757576	1.1433895582329319
V$P50RELAP65_Q5_01	0.7791	5.467113531629661	2.1572974519702677E-9	7.345454545454546	1.3435708812260536
V$RELA_02	0.9037	0.38961038961038963	0.016754724086539188	0.5818181818181818	1.4933333333333332
V$RELA_03	0.8617	22.764976958525345	2.0928564898913865E-6	25.64848484848485	1.1266642129800024
V$RELA_06	0.9917	0.0041893590280687055	0.01728975378717425	0.048484848484848485	11.573333333333334
V$RELA_08	0.7981	1.3992459153749477	1.081078805795152E-4	2.012121212121212	1.438003992015968
V$RELA_Q6	0.8322	4.105571847507331	0.03462419169459688	4.593939393939394	1.118952380952381
V$RELBP52_01	0.8227	0.9300377042312526	0.014013953699553864	1.2242424242424244	1.3163363363363365
