ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value
V$BACH1_02	0.06060606060606061	0.0041893590280687055	14.466666666666667	0.9754	0.005271608843774848
V$JUNBJUN_01	0.06060606060606061	0.0041893590280687055	14.466666666666667	0.9854	0.005271608843774848
V$JUNDFRA1_01	0.06060606060606061	0.0041893590280687055	14.466666666666667	0.991	0.005271608843774848
V$PAX3_01	0.06060606060606061	0.0041893590280687055	14.466666666666667	0.9017	0.005271608843774848
V$ZNF729_08	0.06060606060606061	0.0041893590280687055	14.466666666666667	0.9559	0.005271608843774848
V$OLIG2_02	0.10909090909090909	0.008378718056137411	13.02	0.9533	1.5831855952864513E-4
V$AREB6_03	0.048484848484848485	0.0041893590280687055	11.573333333333334	0.9884	0.01728975378717425
V$CEBPGELF1_01	0.048484848484848485	0.0041893590280687055	11.573333333333334	0.8635	0.01728975378717425
V$FXRRXRA_02	0.048484848484848485	0.0041893590280687055	11.573333333333334	0.9631	0.01728975378717425
V$MYBL1_08	0.048484848484848485	0.0041893590280687055	11.573333333333334	0.8944	0.01728975378717425
V$POU2F1_04	0.048484848484848485	0.0041893590280687055	11.573333333333334	0.9546	0.01728975378717425
V$POU2F1_05	0.048484848484848485	0.0041893590280687055	11.573333333333334	0.9546	0.01728975378717425
V$RELA_06	0.048484848484848485	0.0041893590280687055	11.573333333333334	0.9917	0.01728975378717425
V$RELA_09	0.048484848484848485	0.0041893590280687055	11.573333333333334	0.9813	0.01728975378717425
V$SOX13_05	0.048484848484848485	0.0041893590280687055	11.573333333333334	0.9989	0.01728975378717425
V$SOX9_B1	0.048484848484848485	0.0041893590280687055	11.573333333333334	0.9869	0.01728975378717425
V$ZFP14_03	0.048484848484848485	0.0041893590280687055	11.573333333333334	0.8845	0.01728975378717425
V$ZFP319_02	0.048484848484848485	0.0041893590280687055	11.573333333333334	0.9604	0.01728975378717425
V$ZNF319_01	0.048484848484848485	0.0041893590280687055	11.573333333333334	0.9593	0.01728975378717425
V$ZNF805_03	0.048484848484848485	0.0041893590280687055	11.573333333333334	0.9336	0.01728975378717425
V$SMAD7_02	0.08484848484848484	0.008378718056137411	10.126666666666665	0.9123	0.0015977969626070046
V$ZNF470_02	0.08484848484848484	0.008378718056137411	10.126666666666665	0.8372	0.0015977969626070046
V$ZNF770_04	0.08484848484848484	0.008378718056137411	10.126666666666665	0.9972	0.0015977969626070046
V$ZFP14_02	0.12121212121212122	0.012568077084206116	9.644444444444444	0.9321	1.613274505763655E-4
V$CDC5_01	0.03636363636363636	0.0041893590280687055	8.68	0.9295	0.05472226870207252
V$CMYC_02	0.03636363636363636	0.0041893590280687055	8.68	0.9623	0.05472226870207252
V$DR3_Q4	0.03636363636363636	0.0041893590280687055	8.68	0.9037	0.05472226870207252
V$E2F2_05	0.03636363636363636	0.0041893590280687055	8.68	0.7963	0.05472226870207252
V$EAR2_Q4	0.03636363636363636	0.0041893590280687055	8.68	0.9885	0.05472226870207252
