ID	Gene symbol ID
MO000000001	PRKACA
MO000000008	SHC1
MO000000012	GRB2
MO000000014	GRB2
MO000000074	YWHAG
MO000000081	TEC
MO000000105	TGFA
MO000000110	SHC1
MO000000111	AURKA,BUB1,CDK2,PRKACA,SRPK1,TEC
MO000000127	ARIH2,CDC20
MO000000129	GRB2,SHC1
MO000000131	GRB2
MO000000149	PTPN11
MO000000152	GRB2,SHC1,TPX2
MO000000191	GRB2,SHC1
MO000000223	ARID3A,HMGA2,SMAD2,TBP
MO000000229	IL4R,LRP1
MO000000244	AURKA,BUB1,CDK2,PRKACA,SRPK1
MO000000286	ARIH2,CDC20
MO000000294	ARIH2,CDC20
MO000013470	TEC
MO000013471	TEC
MO000016791	TGFA
MO000016815	PRKACA
MO000016816	PRKACA
MO000016817	PRKACA
MO000016818	PRKACA
MO000016819	PRKACA
MO000016822	PRKACA
MO000016825	SMAD2
MO000016839	IL4R
MO000016841	PRKACA
MO000016885	PTPN11
MO000016886	PTPN11
MO000016957	PTPN11
MO000016969	GRB2,PTPN11
MO000017058	IL4R
MO000017059	IL4R
MO000017115	SOCS5
MO000017128	TEC
MO000017143	YWHAG
MO000017148	PTPN11
MO000017205	CDC27
MO000017242	IL4R
MO000017425	GRB2,SHC1
MO000017468	TBP
MO000017545	CDK2
MO000017548	CDK2
MO000017642	TBP
MO000017644	TBP
MO000017658	SMAD2
MO000017787	CDK2
MO000017850	CDK2
MO000018171	ANAPC10,CDC16,CDC27
MO000018274	PTTG1
MO000018838	ANAPC10,CDC16,CDC20,CDC27
MO000018951	ANAPC10
MO000018952	CDC20
MO000018959	MAD2L1
MO000018961	FZR1
MO000018971	TOP2A
MO000019387	TGFA
MO000019489	TEC
MO000019596	PRKACA
MO000019641	GRB2
MO000019642	PTPN11
MO000019708	SHC1
MO000019709	SHC1
MO000019710	GRB2,SHC1
MO000019735	CDK2
MO000019736	CDK2
MO000019737	CDK2
MO000019738	CDK2
MO000019779	SMAD2
MO000019782	GRB2
MO000020112	SHC1
MO000020308	SMAD2
MO000020327	SMAD2
MO000020403	SMAD2
MO000020405	SMAD2
MO000020412	SMAD2
MO000020422	SMAD2
MO000020426	SMAD2
MO000020430	SMAD2
MO000020431	CDK2
MO000020509	SMAD2
MO000020511	SMAD2
MO000020657	PRKACA
MO000020659	PRKACA
MO000020801	GRB2
MO000020808	GRB2
MO000020815	GRB2
MO000020835	GRB2
MO000020951	SHC1
MO000020953	SHC1
MO000020954	SHC1
MO000020956	SHC1
MO000021004	SHC1
MO000021006	SHC1
MO000021038	GRB2
MO000021039	GRB2
MO000021053	GRB2
MO000021100	GRB2
MO000021136	YWHAG
MO000021137	YWHAG
MO000021217	GRB2
MO000021350	SMAD2
MO000021373	PTPN11
MO000021375	PTPN11
MO000021539	ARIH2
MO000021736	CDK2
MO000021740	CDK2
MO000021746	CDK2
MO000021750	CDK2
MO000021781	PRKACA
MO000021822	TGFA
MO000021828	IL4R,LRP1
MO000021834	SOCS5,YWHAG
MO000021835	SOCS5,YWHAG
MO000021837	CDC20,FZR1
MO000021841	ARIH2,AURKA,BUB1,CDC20,CDK2,HDAC1,PRKACA,PTPN11,SRPK1,TEC,TOP2A
MO000021893	LRP1
MO000021896	TBP
MO000021923	SMAD2
MO000021924	SMAD2
MO000023120	TBP
MO000023121	TBP
MO000023124	TBP
MO000023159	LRP1
MO000023204	CDK2
MO000023205	CDK2
MO000023215	CDK2
MO000023216	CDK2
MO000023385	CDK2
MO000023392	CDK2
MO000023410	CDK2
MO000023411	CDK2
MO000023428	CDK2
MO000023456	CDK2
MO000023457	CDK2
MO000023458	CDK2
MO000023459	CDK2
MO000023460	CDK2
MO000023461	CDK2
MO000023475	CDK2
MO000023490	CDK2
MO000023509	CDK2
MO000023517	CDK2
MO000023533	SHC1
MO000023534	SHC1
MO000023557	CDK2
MO000023560	CDK2
MO000023561	CDK2
MO000023562	CDK2
MO000023564	CDK2
MO000023571	HDAC1
MO000023572	HDAC1
MO000023575	HDAC1
MO000023579	HDAC1
MO000023620	CDK2
MO000023621	CDK2
MO000023629	CDK2
MO000023630	CDK2
MO000025193	TBP
MO000025982	HMGA2
MO000026185	TAF1B
MO000028292	SMAD2
MO000028475	SKIL
MO000028665	ARID3A
MO000028811	CDK2
MO000030828	CDK2
MO000030869	CDK2
MO000030870	CDK2
MO000030871	CDK2
MO000030876	CDK2
MO000030877	CDK2
MO000030881	CDK2
MO000030947	CDK2
MO000030986	HDAC1
MO000030987	HDAC1
MO000031001	CDK2
MO000031070	PML
MO000031080	PML
MO000031085	PML
MO000031094	HDAC1
MO000031096	HDAC1
MO000031168	CDK2
MO000031232	TBP
MO000031241	CDK2
MO000031242	CDK2
MO000031243	CDK2
MO000031244	CDK2
MO000031255	CDK2
MO000031300	CDK2
MO000031301	CDK2
MO000031960	GRB2
MO000032113	TEC
MO000032114	TEC
MO000032126	TEC
MO000032158	PTPN11
MO000032163	GRB2
MO000032167	GRB2
MO000032194	GRB2
MO000032222	SMAD2
MO000032291	GRB2
MO000032293	GRB2
MO000032300	GRB2,SHC1
MO000032303	GRB2
MO000032305	SHC1
MO000032307	SHC1
MO000032311	SHC1
MO000032317	SHC1
MO000032318	SHC1
MO000032349	SHC1
MO000032351	SHC1
MO000032420	SNRPA
MO000032421	SNRPA
MO000032481	AURKA
MO000032482	AURKA
MO000032483	AURKA
MO000032486	AURKA
MO000032495	AURKA
MO000032682	IL4R
MO000032714	CDC27
MO000033304	SMAD2
MO000033313	PRKACA
MO000033331	HMGA2
MO000033434	YWHAG
MO000033435	YWHAG
MO000033441	YWHAG
MO000033526	TBP
MO000033528	TBP
MO000033533	TBP
MO000033534	TBP
MO000033989	SMAD2
MO000034092	GRB2
MO000034094	GRB2
MO000034131	IL4R
MO000034133	IL4R
MO000034134	IL4R
MO000034139	IL4R
MO000034141	IL4R
MO000034168	IL4R
MO000034171	MAD2L1
MO000034172	MAD2L1
MO000034204	IL4R
MO000034206	IL4R
MO000034215	IL4R
MO000034238	IL4R
MO000034261	SHC1
MO000034273	LRP1
MO000034274	LRP1
MO000034279	LRP1
MO000034280	LRP1
MO000034348	IL4R
MO000034349	IL4R
MO000034352	IL4R
MO000034356	SHC1
MO000034360	SHC1
MO000034445	TBP
MO000034453	TBP
MO000034456	TBP
MO000034458	TBP
MO000034459	TBP
MO000034502	TBP
MO000034562	TBP
MO000034912	HDAC1
MO000034952	IL4R
MO000034953	IL4R
MO000034958	IL4R
MO000034974	GRB2
MO000034975	GRB2
MO000034976	GRB2
MO000035008	SRPK1
MO000035010	SRPK1
MO000035011	SRPK1
MO000035128	SOCS5
MO000035129	SOCS5
MO000035257	PRKACA
MO000035540	TEC
MO000036007	GRB2
MO000036027	GRB2
MO000036028	GRB2
MO000036029	GRB2
MO000036297	GRB2,SHC1
MO000036298	GRB2,SHC1
MO000036299	GRB2,SHC1
MO000036693	CDK2
MO000036694	CDK2
MO000036701	GRB2
MO000036754	CDK2
MO000037712	IL4R
MO000037766	GRB2
MO000037824	GRB2
MO000037825	SHC1
MO000037826	GRB2,SHC1
MO000037828	SHC1
MO000037829	GRB2,SHC1
MO000037831	GRB2
MO000037838	GRB2
MO000037842	GRB2
MO000037843	GRB2
MO000037914	PTPN11
MO000037916	GRB2
MO000037919	SHC1
MO000037946	GRB2,PTPN11
MO000038015	GRB2
MO000038298	SHC1
MO000038439	GRB2
MO000038560	GRB2,SHC1
MO000038564	IL4R
MO000038574	IL4R
MO000038577	GRB2
MO000038599	TEC
MO000038636	PTPN11
MO000038641	GRB2
MO000038657	SHC1
MO000038664	GRB2
MO000038684	SHC1
MO000038685	SHC1
MO000038731	GRB2,SHC1
MO000038732	GRB2,SHC1
MO000038753	PTPN11
MO000038766	PTPN11
MO000038769	SHC1
MO000038771	GRB2,SHC1
MO000038776	GRB2,SHC1
MO000038786	SHC1
MO000038790	GRB2,SHC1
MO000038791	GRB2
MO000038903	CDK2
MO000038905	CDK2
MO000038919	CDK2
MO000038939	CDK2
MO000038941	CDK2
MO000038942	CDK2
MO000038943	CDK2
MO000038947	CDK2
MO000038948	CDK2
MO000038972	YWHAG
MO000038974	CDK2
MO000038976	CDK2
MO000038977	CDK2
MO000038978	SMAD2
MO000038994	YWHAG
MO000039009	SMAD2
MO000039014	CDK2
MO000039015	CDK2
MO000039020	SMAD2
MO000039021	SMAD2
MO000039022	SMAD2
MO000039023	HDAC1,SMAD2
MO000039025	SMAD2
MO000039037	SMAD2
MO000039043	SMAD2
MO000039045	SMAD2
MO000039049	SKIL
MO000039051	SKIL
MO000039052	ANAPC10,CDC16,CDC27,FZR1,SKIL
MO000039053	SKIL
MO000039061	CDK2
MO000039062	CDK2
MO000039120	SHC1
MO000039148	PML
MO000039149	PML
MO000039271	TBP
MO000039274	TBP
MO000039281	TBP
MO000039282	TBP
MO000039433	TBP
MO000039434	TBP
MO000039435	TBP
MO000039450	TBP
MO000039523	TBP
MO000039540	TBP
MO000039688	TBP
MO000039767	SMAD2
MO000039769	HDAC1
MO000039772	SMAD2
MO000039773	SMAD2
MO000039872	TAF1B
MO000039874	TAF1B
MO000040171	HDAC1
MO000040206	TBP
MO000040207	TBP
MO000040208	TBP
MO000040209	TBP
MO000040211	TBP
MO000040212	TBP
MO000040213	TBP
MO000040214	TBP
MO000040215	TBP
MO000040216	TAF1B,TBP
MO000040217	TBP
MO000040218	TBP
MO000040234	TBP
MO000040264	TBP
MO000040265	TBP
MO000040272	TBP
MO000040276	TBP
MO000040282	TBP
MO000040286	TBP
MO000040305	TBP
MO000040381	TBP
MO000040611	TBP
MO000040614	TBP
MO000040732	TBP
MO000040910	TBP
MO000041035	SMAD2
MO000041578	SHC1
MO000041732	HDAC1
MO000041834	GRB2
MO000041835	SHC1
MO000041836	SHC1
MO000042399	SHC1
MO000042403	SHC1
MO000042405	SHC1
MO000042520	SHC1
MO000042521	GRB2
MO000042522	GRB2
MO000042604	ARIH2
MO000042605	ARIH2
MO000042606	ARIH2
MO000042621	AURKA
MO000042624	AURKA
MO000042626	AURKA
MO000042627	AURKA
MO000042630	AURKA
MO000042632	AURKA
MO000042656	TPX2
MO000042657	TPX2
MO000042658	AURKA,TPX2
MO000042660	TPX2
MO000042671	AURKA
MO000042691	AURKA
MO000042695	AURKA
MO000042701	NDC80
MO000042702	NDC80
MO000042703	NDC80
MO000042708	NDC80
MO000042709	NDC80
MO000042713	NDC80
MO000042717	CDC20
MO000042718	CDC20
MO000042728	AURKA
MO000042736	AURKA
MO000042777	TGFA
MO000042821	PTPN11
MO000042823	PTPN11
MO000043077	CDK2
MO000043291	AURKA
MO000043295	AURKA
MO000043361	AURKA
MO000043388	AURKA
MO000043393	AURKA
MO000043394	AURKA
MO000043404	CDC16
MO000043405	CDC16
MO000043409	ANAPC10
MO000043414	ANAPC10,CDC16,CDC27
MO000043426	CDC27
MO000043427	CDC27
MO000043428	CDC27
MO000043429	CDC27
MO000043430	CDC27
MO000043431	CDC27
MO000043432	CDC27
MO000043433	CDC27
MO000043434	CDC27
MO000043435	CDC27
MO000043436	CDC27
MO000043437	CDC27
MO000043438	CDC27
MO000043440	CDC16
MO000043441	CDC16
MO000043463	CDC20
MO000043470	ANAPC10,CDC16,CDC27
MO000043472	ANAPC10,CDC16,CDC27
MO000043484	CDC20
MO000043487	ANAPC10,CDC16,CDC20,CDC27
MO000043488	CDC20,CDC27
MO000043489	FZR1
MO000043490	FZR1
MO000043491	FZR1
MO000043492	CDC20
MO000043515	CDC16
MO000043516	CDC27
MO000043552	FZR1
MO000043557	CDC20
MO000043563	PTTG1
MO000043566	FZR1
MO000043573	CDC27,MAD2L1
MO000043574	CDC27
MO000043575	CDC20,CDC27,MAD2L1
MO000043581	MAD2L1
MO000043584	MAD2L1
MO000043585	CDC20
MO000043586	ANAPC10,CDC16,CDC20,CDC27
MO000043587	CDC20
MO000043588	CDC20
MO000043590	FZR1
MO000043591	ANAPC10,CDC16,CDC27,FZR1
MO000043593	PTTG1
MO000043594	ANAPC10,CDC16,CDC20,CDC27,MAD2L1
MO000043595	ANAPC10,CDC16,CDC27
MO000043621	FZR1
MO000043633	MAD2L1
MO000043635	ANAPC10,CDC16,CDC27,FZR1
MO000043682	CDC20
MO000043683	ANAPC10,CDC16,CDC20,CDC27
MO000043699	PTPN11
MO000043745	NDC80
MO000043746	NDC80
MO000043748	NDC80
MO000043752	NDC80
MO000043754	NDC80
MO000043756	NDC80
MO000043758	NDC80
MO000043767	FZR1
MO000043778	LRP1
MO000043779	LRP1
MO000043786	LRP1
MO000043787	LRP1
MO000043796	LRP1
MO000043848	HMGB2
MO000043861	TEC
MO000043862	TEC
MO000043863	TEC
MO000043869	TEC
MO000043893	SHC1
MO000043895	SHC1
MO000043900	SHC1
MO000043901	GRB2,SHC1
MO000043903	SHC1
MO000043904	GRB2,SHC1
MO000043914	YWHAG
MO000043929	PTPN11
MO000043930	PTPN11
MO000043931	PTPN11
MO000043942	GRB2
MO000043981	YWHAG
MO000043993	FZR1
MO000043998	FZR1
MO000044033	CDK2,SRPK1
MO000044037	CDK2
MO000044086	AURKA,BUB1,CDK2,PRKACA,SRPK1,TEC
MO000044087	HDAC1,PTPN11
MO000044090	TOP2A
MO000044091	ARIH2,CDC20
MO000044132	TOP2A
MO000044133	ARIH2,CDC20
MO000044146	PTPN11
MO000044154	ARIH2,CDC20
MO000044168	AURKA,BUB1,CDK2,PRKACA,SRPK1,TEC
MO000044269	ANAPC10,CDC16,CDC27,FZR1
MO000044277	ANAPC10,CDC16,CDC27,FZR1
MO000044317	CDK2
MO000044347	CDK2
MO000044609	FZR1
MO000044744	CDK2
MO000044821	TPX2
MO000044829	AURKA
MO000044831	AURKA
MO000044858	AURKA
MO000044985	HDAC1
MO000044989	HDAC1
MO000044992	PTTG1
MO000044993	PTTG1
MO000044994	PTTG1
MO000045014	PML
MO000045015	PML
MO000045026	PML
MO000045027	PML
MO000045028	PML
MO000045030	PML
MO000045034	PML
MO000045035	PML
MO000045039	PML
MO000045040	PML
MO000045048	PML
MO000045049	PML
MO000045051	HDAC1
MO000045293	AURKA
MO000045412	GRB2
MO000045419	GRB2
MO000045515	HDAC1
MO000045673	SHC1
MO000045674	SHC1
MO000045675	SHC1
MO000046119	AURKA,TPX2
MO000046121	AURKA,TPX2
MO000046123	TPX2
MO000046124	AURKA
MO000046125	AURKA
MO000046126	AURKA
MO000046127	AURKA
MO000046129	AURKA,TPX2
MO000046131	AURKA,TPX2
MO000046132	AURKA,TPX2
MO000046133	AURKA,TPX2
MO000046139	AURKA,TPX2
MO000046140	AURKA,TPX2
MO000046142	AURKA,TPX2
MO000046143	AURKA,TPX2
MO000046145	NDC80
MO000046146	NDC80
MO000046149	TPX2
MO000046267	HDAC1
MO000048581	HDAC1
MO000054393	HDAC1
MO000054482	HDAC1
MO000054483	HDAC1
MO000055947	HDAC1
MO000055975	SMAD2
MO000056100	TOP2A
MO000056165	HDAC1
MO000056241	BUB1
MO000056288	HDAC1
MO000056290	HDAC1
MO000056308	BUB1
MO000056359	CDC20,MAD2L1
MO000056363	CDC20,MAD2L1
MO000056365	CDC20
MO000056401	CDC20
MO000056714	HDAC1
MO000056715	HDAC1
MO000057419	PTPN11
MO000057423	GRB2,PTPN11
MO000057425	GRB2,PTPN11
MO000057440	GRB2
MO000057447	GRB2
MO000057474	GRB2
MO000057829	SMAD2
MO000057830	SMAD2
MO000057915	SMAD2
MO000057924	SHC1
MO000057936	SHC1
MO000057948	SMAD2
MO000058021	SMAD2
MO000058036	SMAD2
MO000058114	PML
MO000058116	PML
MO000058118	PML
MO000058121	PTPN11
MO000058203	PTPN11
MO000058236	PTPN11
MO000058252	PML
MO000058266	PTPN11
MO000058335	SMAD2
MO000058337	PTPN11
MO000058396	GRB2
MO000058462	GRB2
MO000058789	LRP1
MO000059088	LRP1
MO000059095	LRP1
MO000059096	LRP1
MO000059097	LRP1
MO000059103	LRP1
MO000059115	LRP1
MO000059164	GRB2
MO000059188	SHC1
MO000059478	SHC1
MO000059480	SHC1
MO000059555	TBP
MO000059584	GRB2
MO000059611	SHC1
MO000059788	SNRNP70
MO000059789	SNRNP70
MO000059806	SNRNP70
MO000060012	SHC1
MO000060014	SHC1
MO000060065	GRB2,SHC1
MO000060273	SHC1
MO000060305	GRB2
MO000060310	GRB2
MO000060875	SCAMP1
MO000061235	PRPF40A
MO000062742	NMT2
MO000065834	BUB1
MO000066296	CKAP5
MO000070129	SNRPD2
MO000070520	MOCOS
MO000071141	SHC1
MO000072888	GRB2
MO000077633	LRP1
MO000077720	LRP1
MO000077806	GRB2
MO000077868	GRB2
MO000077944	GRB2
MO000078156	GRB2
MO000078181	HDAC1
MO000078245	SHC1
MO000078250	SHC1
MO000078252	SHC1
MO000078430	GRB2
MO000078734	PML
MO000078753	PML
MO000078914	LRP1
MO000078974	TBP
MO000079040	PML
MO000079041	PML
MO000079042	PML
MO000079043	PML
MO000079329	SHC1
MO000079330	SHC1
MO000079356	HDAC1
MO000079627	HDAC1
MO000079642	PML
MO000079644	PML
MO000079645	HDAC1,PML
MO000079685	PML
MO000079772	HDAC1
MO000079907	HDAC1
MO000079990	HDAC1
MO000080092	SHC1
MO000080094	GRB2
MO000080184	SMAD2
MO000080209	HDAC1
MO000080275	TGFA
MO000080279	TGFA
MO000080281	TGFA
