ID	Gene symbol ID
MO000000008	SHC1
MO000000011	MAPK1,MAPK6
MO000000013	EGFR,ERBB2,ERBB3,IGF1R
MO000000022	MAPK13,MAPK14
MO000000024	RASGRF1
MO000000049	JUN
MO000000051	RPS6KA1
MO000000058	RELA
MO000000077	MAPK1,MAPK13,MAPK14,MAPK6
MO000000081	EGFR,ERBB2,ERBB3,FYN,IGF1R,TNK2
MO000000105	TGFA
MO000000107	EGFR
MO000000108	EGFR,ERBB2,ERBB3
MO000000110	SHC1
MO000000111	AURKA,BUB1,CHEK2,EGFR,ERBB2,ERBB3,FYN,GSK3B,HIPK2,IGF1R,LATS2,LIMK2,MAPK1,MAPK13,MAPK14,MAPK6,MAPKAPK2,PLK1,ROCK1,RPS6KA1,RPS6KA5,SRPK1,TNIK,TNK2
MO000000127	CDC20,UBE2I
MO000000129	SHC1
MO000000136	FYN
MO000000143	FYN
MO000000149	PPM1D,PTPRA
MO000000152	CTNNB1,SHC1,TPX2
MO000000191	EGFR,SHC1
MO000000193	RELA
MO000000223	ATF3,FOS,FOXM1,HMGA2,JUN,RELA,SMAD4,SNAI1,STAT3,TCF3,ZBTB17
MO000000229	EGFR,ERBB2,ERBB3,IGF1R,IL4R,IL7R,LRP1
MO000000231	RELA
MO000000244	AURKA,BUB1,CHEK2,GSK3B,HIPK2,LATS2,LIMK2,MAPK1,MAPK13,MAPK14,MAPK6,MAPKAPK2,PLK1,ROCK1,RPS6KA1,RPS6KA5,SRPK1,TNIK
MO000000254	RELA
MO000000276	FOS,JUN
MO000000279	FOS
MO000000284	UBE2I
MO000000286	CDC20
MO000000294	CDC20
MO000000306	ICAM1
MO000000341	EGFR
MO000000342	MAPK1
MO000004676	MAPK1
MO000004677	MAPK1
MO000004681	MAPK6
MO000004682	MAPK6
MO000005077	FGF13
MO000005078	FGF13
MO000005412	FYN
MO000007225	IGF1R
MO000007228	IGF1R
MO000008120	UBE2I
MO000008563	LIMK2
MO000008564	LIMK2
MO000009253	MAPKAPK2
MO000009339	MAPK14
MO000011271	PLK1
MO000012555	SELPLG
MO000012556	SELPLG
MO000013122	STAT3
MO000013123	STAT3
MO000016632	RELA
MO000016634	RELA
MO000016635	RELA
MO000016672	ERBB3
MO000016677	EGFR
MO000016681	EGFR
MO000016709	RASGRF1
MO000016713	RASGRF1
MO000016715	RASGRF1
MO000016780	RASGRF1
MO000016791	TGFA
MO000016802	PPM1D
MO000016803	PPM1D
MO000016821	PKIA
MO000016822	PKIA
MO000016826	SMAD4
MO000016833	IL7R
MO000016838	IL7R
MO000016839	IL4R,IL7R
MO000016840	IL7R
MO000016862	STAT3
MO000016869	EGFR,ERBB2
MO000016894	MAPK1
MO000016936	MAPT
MO000016939	MAPT
MO000016941	GSK3B
MO000016957	PTPRA
MO000016958	MAPK14
MO000016961	MAPK13
MO000016967	PTPRA
MO000016974	CTNNB1
MO000016978	CTNNB1
MO000016979	CTNNB1
MO000016989	GSK3B
MO000017007	PIAS3
MO000017039	FGF13
MO000017049	CTNNB1
MO000017054	CTNNB1
MO000017055	CTNNB1
MO000017058	IL4R
MO000017059	IL4R
MO000017102	CTNNB1
MO000017103	CTNNB1
MO000017134	ADAM9
MO000017177	PTPRA
MO000017192	GSK3B
MO000017199	CTNNB1
MO000017203	GSK3B
MO000017213	PPM1D
MO000017218	CTNNB1,GSK3B
