ID	Ensembl ID
ACO1	ENSP00000309477,ENSP00000369255,ENSP00000438733
ADAMTS12	ENSP00000344847,ENSP00000422554
BTN1A1	ENSP00000244513
CIDEA	ENSP00000320209
CMYA5	ENSP00000394770
CRB2	ENSP00000353092,ENSP00000362734
DAB2	ENSP00000313391,ENSP00000426245,ENSP00000439919
DNAI1	ENSP00000242317,ENSP00000395396,ENSP00000480538
DOCK8	ENSP00000394888
DPP9	ENSP00000262960,ENSP00000469603,ENSP00000472224,ENSP00000472430
DROSHA	ENSP00000339845,ENSP00000409335,ENSP00000424161,ENSP00000425979,ENSP00000430921
DSCAML1	ENSP00000315465,ENSP00000436387
EIF4A1	ENSP00000293831,ENSP00000462275,ENSP00000462719,ENSP00000462753,ENSP00000462904,ENSP00000463067,ENSP00000463366,ENSP00000463486,ENSP00000463634,ENSP00000464066,ENSP00000464550
ERMP1	ENSP00000340427,ENSP00000417160,ENSP00000417474
FAM3A	ENSP00000320521,ENSP00000352955,ENSP00000358655,ENSP00000358657,ENSP00000377202,ENSP00000393086,ENSP00000416146
FSTL3	ENSP00000166139,ENSP00000484376
HMG20B	ENSP00000262949,ENSP00000328269,ENSP00000410924,ENSP00000465293
KDELR3	ENSP00000216014,ENSP00000386918
LONP1	ENSP00000353826,ENSP00000441523,ENSP00000465139,ENSP00000465585,ENSP00000468083,ENSP00000468541
LURAP1L	ENSP00000321026
MT-ATP8	ENSP00000355265
MT-CO1	ENSP00000354499
MT-CYB	ENSP00000354554
MT-ND4	ENSP00000354961
MT-ND5	ENSP00000354813
MT-ND6	ENSP00000354665
NDUFV2	ENSP00000327268,ENSP00000382908
PIEZO2	ENSP00000303316,ENSP00000372900,ENSP00000421377,ENSP00000463094
PIGO	ENSP00000298004,ENSP00000354678,ENSP00000367880
PPT1	ENSP00000361865,ENSP00000394863,ENSP00000403207,ENSP00000431655,ENSP00000432053,ENSP00000436695,ENSP00000492910,ENSP00000492984,ENSP00000493128,ENSP00000493146,ENSP00000493153,ENSP00000493369
PTBP1	ENSP00000014112,ENSP00000349428,ENSP00000408096,ENSP00000465652,ENSP00000486218,ENSP00000489604
RAB13	ENSP00000357564,ENSP00000480103
RFX2	ENSP00000306335,ENSP00000352076,ENSP00000464826,ENSP00000466890,ENSP00000467166,ENSP00000467979,ENSP00000468036
SBNO2	ENSP00000354733,ENSP00000400762,ENSP00000468520
SLC24A2	ENSP00000286344,ENSP00000344801
SLC26A6	ENSP00000351597,ENSP00000373239,ENSP00000378920,ENSP00000388721,ENSP00000389922,ENSP00000401066,ENSP00000404607,ENSP00000404684
SLC9A3	ENSP00000264938,ENSP00000422983
STARD13	ENSP00000255486,ENSP00000338785,ENSP00000382300
TLN1	ENSP00000316029
TNKS1BP1	ENSP00000350990,ENSP00000437271
ZCCHC7	ENSP00000316365,ENSP00000337839,ENSP00000443113
ZNF703	ENSP00000332325
