ID	Gene symbol ID
ENSG00000000971	CFH
ENSG00000001617	SEMA3F
ENSG00000002919	SNX11
ENSG00000003147	ICA1
ENSG00000003400	CASP10
ENSG00000004799	PDK4
ENSG00000004838	ZMYND10
ENSG00000005187	ACSM3
ENSG00000005381	MPO
ENSG00000005448	WDR54
ENSG00000005882	PDK2
ENSG00000005889	ZFX
ENSG00000006025	OSBPL7
ENSG00000006116	CACNG3
ENSG00000006194	ZNF263
ENSG00000006282	SPATA20
ENSG00000006283	CACNA1G
ENSG00000006468	ETV1
ENSG00000006638	TBXA2R
ENSG00000006715	VPS41
ENSG00000006756	ARSD
ENSG00000006757	PNPLA4
ENSG00000006831	ADIPOR2
ENSG00000007306	CEACAM7
ENSG00000007541	PIGQ
ENSG00000008086	CDKL5
ENSG00000008197	TFAP2D
ENSG00000008277	ADAM22
ENSG00000008516	MMP25
ENSG00000008517	IL32
ENSG00000008853	RHOBTB2
ENSG00000009780	FAM76A
ENSG00000010310	GIPR
ENSG00000010404	IDS
ENSG00000010539	ZNF200
ENSG00000011332	DPF1
ENSG00000011347	SYT7
ENSG00000011523	CEP68
ENSG00000011638	LOC57146
ENSG00000012061	ERCC1
ENSG00000012171	SEMA3B
ENSG00000012232	EXTL3
ENSG00000012822	CALCOCO1
ENSG00000012983	MAP4K5
ENSG00000013523	ANGEL1
ENSG00000013563	DNASE1L1
ENSG00000014914	MTMR11
ENSG00000015479	MATR3
ENSG00000015592	STMN4
ENSG00000018236	CNTN1
ENSG00000019169	MARCO
ENSG00000019485	PRDM11
ENSG00000020256	ZFP64
ENSG00000021645	NRXN3
ENSG00000021762	OSBPL5
ENSG00000023902	PLEKHO1
ENSG00000025039	RRAGD
ENSG00000026297	RNASET2
ENSG00000026751	SLAMF7
ENSG00000027075	PRKCH
ENSG00000034533	ASTE1
ENSG00000035115	SH3YL1
ENSG00000035664	DAPK2
ENSG00000036530	CYP46A1
ENSG00000036565	SLC18A1
ENSG00000036672	USP2
ENSG00000040341	STAU2
ENSG00000040608	RTN4R
ENSG00000041988	THAP3
ENSG00000043591	ADRB1
ENSG00000047648	ARHGAP6
ENSG00000048405	LOC168850
ENSG00000048545	GUCA1A
ENSG00000049130	KITLG
ENSG00000049192	ADAMTS6
ENSG00000049323	LTBP1
ENSG00000050344	NFE2L3
ENSG00000050820	BCAR1
ENSG00000052850	ALX4
ENSG00000053918	KCNQ1
ENSG00000054392	HHAT
ENSG00000054793	ATP9A
ENSG00000054983	GALC
ENSG00000055163	CYFIP2
ENSG00000055732	MCOLN3
ENSG00000055955	ITIH4
ENSG00000056998	GYG2
ENSG00000057593	F7
ENSG00000057657	PRDM1
ENSG00000059588	TARBP1
ENSG00000059728	MXD1
ENSG00000060140	STYK1
ENSG00000060642	PIGV
ENSG00000060656	PTPRU
ENSG00000060709	RIMBP2
ENSG00000061656	SPAG4
ENSG00000061938	TNK2
ENSG00000062524	LTK
ENSG00000062598	ELMO2
ENSG00000063180	CA11
ENSG00000063761	ADCK1
ENSG00000063978	RNF4
ENSG00000064115	TM7SF3
ENSG00000064199	SPA17
ENSG00000064225	ST3GAL6
ENSG00000064652	SNX24
ENSG00000064687	ABCA7
ENSG00000064692	SNCAIP
ENSG00000065057	NTHL1
ENSG00000065615	CYB5R4
ENSG00000065717	TLE2
ENSG00000065882	TBC1D1
ENSG00000066382	MPPED2
ENSG00000067141	NEO1
ENSG00000067191	CACNB1
ENSG00000067445	TRO
ENSG00000068028	RASSF1
ENSG00000069011	PITX1
ENSG00000069399	BCL3
ENSG00000069424	KCNAB2
ENSG00000069702	TGFBR3
ENSG00000070388	FGF22
ENSG00000070404	FSTL3
ENSG00000070413	DGCR2
ENSG00000070759	TESK2
ENSG00000070778	PTPN21
ENSG00000070985	TRPM5
ENSG00000071203	MS4A12
ENSG00000072133	RPS6KA6
ENSG00000072134	EPN2
ENSG00000072135	PTPN18
ENSG00000072736	NFATC3
ENSG00000072840	EVC
ENSG00000073060	SCARB1
ENSG00000073150	PANX2
