Gene Symbol,Site model ID
TCF3,V$E12_Q6
TCF3,V$E2A_03
TCF3,V$E2A_04
TCF3,V$E2A_Q2
TCF3,V$E2A_Q6_01
TCF3,V$E2A_Q6_02
TCF3,V$E47_01
TCF3,V$E47_02
TCF3,V$FLI1TCF3_01
TCF3,V$HAND1E47_01
TCF3,V$HOXB2TCF3_01
TCF3,V$MATH1_Q2
TCF3,V$MYOD_Q6_01
TCF3,V$TAL1BETAE47_01
TCF3,V$TEAD4TCF3_01
FOXM1,V$FOXM1_01
FOXM1,V$FOXM1_Q3
ZBTB17,V$MIZ1_01
SNAI1,V$SNA_01
SNAI1,V$SNA_02
SNAI1,V$SNA_04
SNAI1,V$SNA_05
SNAI1,V$SNA_Q4
CTNNB1,V$BETACATENIN_Q3
CTNNB1,V$BETACATENIN_Q3_01
CTNNB1,V$BETACATENIN_Q6
CTNNB1,V$BETACATENIN_Q6_01
CTNNB1,V$TCF4_Q5_02
STAT3,V$STAT3STAT3_Q3
FOS,V$AP1_01
FOS,V$AP1_02
FOS,V$AP1_Q4_01
FOS,V$AP1_Q6_01
FOS,V$CFOS_Q4
FOS,V$CFOS_Q6
FOS,V$FOSJUN_02
FOS,V$FOS_02
FOS,V$FOS_03
FOS,V$FOS_06
FOS,V$FOS_10
FOS,V$FOS_11
FOS,V$JUNBFOS_01
FOS,V$JUNDFOS_01
RELA,V$NFKAPPAB_01
RELA,V$P50RELAP65_Q5_01
RELA,V$RELA_03
RELA,V$RELA_08
RELA,V$RELBP52_01
JUN,V$AP1_01
JUN,V$AP1_02
JUN,V$AP1_Q4_01
JUN,V$AP1_Q6_01
JUN,V$BATFJUN_01
JUN,V$FOSJUN_02
JUN,V$JUNBJUN_01
JUN,V$JUNFOSB_01
JUN,V$JUNFRA1_01
JUN,V$JUNFRA2_01
JUN,V$JUN_03
JUN,V$JUN_04
JUN,V$JUN_06
JUN,V$JUN_08
JUN,V$JUN_09
