ID	Transpath ID
ABL1	MO000020628
AKT1	MO000017421,MO000293358
AKT2	MO000293358
APAF1	MO000019792
APEX1	MO000021414
ARHGEF2	MO000085589
AURKA	MO000032481,MO000082438
BCL2L1	MO000020487
BMPR1A	MO000019069
CASP3	MO000020397,MO000020398,MO000020615
CASP7	MO000021207,MO000032000
CASP8	MO000020219,MO000021036
CASP9	MO000020362,MO000020367
CCNB1	MO000022448,MO000023615,MO000092591
CDC25A	MO000023445
CDC25B	MO000023447,MO000030908
CDC25C	MO000022399,MO000022400
CDC37	MO000084635
CDH1	MO000016977
CDK1	MO000021743,MO000021748,MO000023615,MO000092591
CDK2	MO000021736,MO000021740
CDK5	MO000036416,MO000186472
CDK5R1	MO000036039,MO000036416,MO000106111,MO000186472
CHUK	MO000019311,MO000060084
COPS2	MO000031213,MO000035161,MO000166208
COPS5	MO000022093,MO000031213,MO000071150
CREBBP	MO000057745
CSNK1G2	MO000103380
CSNK2A1	MO000018901,MO000018902,MO000033264
CSNK2A2	MO000018901,MO000033264
CSNK2B	MO000018901,MO000018903,MO000033264
CTDSP1	MO000145885
CTDSP2	MO000167512
CTDSPL	MO000167517
CUL1	MO000044588
CYBA	MO000161481
CYBB	MO000161481
CYLD	MO000041170
DAXX	MO000020269
DIABLO	MO000020339
DUSP1	MO000083769
DUSP10	MO000030861,MO000126134
DUSP16	MO000036550,MO000103285
DUSP18	MO000209230
DUSP22	MO000176197,MO000176198
DUSP3	MO000033404
DUSP4	MO000032652
EGFR	MO000016677
EIF2AK2	MO000008180,MO000094946
EP300	MO000019985,MO000056654
ERBB2	MO000018962
ESPL1	MO000056297
ETV5	MO000100895
FAS	MO000004928
FBXW7	MO000041500,MO000044588,MO000180297,MO000180299
FKBP1A	MO000021148
FMR1	MO000166164
FOS	MO000018137
FOXM1	MO000026496,MO000028099,MO000088314,MO000332718,MO000338489
FOXO3	MO000020701
GSK3B	MO000016989
HDAC1	MO000023575
HDAC2	MO000023577,MO000058923
HDAC3	MO000023578
HDAC4	MO000059566
HGS	MO000036353
HSF2	MO000084504,MO000084506
HTT	MO000033243
IKBKB	MO000019310,MO000022097
IKBKG	MO000019309,MO000084601,MO000200698
IL1B	MO000039099
IL1R1	MO000039099
IL1RAP	MO000039099
ING1	MO000045001
IRAK1	MO000039099
IRAK2	MO000019347,MO000039099
IRAK4	MO000039099
ITCH	MO000038235,MO000082690
JUN	MO000019469,MO000058322,MO000167543
JUNB	MO000007830,MO000058921
KAT2B	MO000056491
MAP2K1	MO000009386,MO000021174
MAP2K3	MO000009403,MO000022217,MO000078695
MAP2K4	MO000021423,MO000030904,MO000041374
MAP2K6	MO000009415,MO000019341,MO000019344,MO000022211
MAP2K7	MO000022227
MAP3K1	MO000009086
MAP3K10	MO000022168
MAP3K11	MO000022231,MO000084620
MAP3K12	MO000022232
MAP3K2	MO000030900
MAP3K20	MO000036570,MO000036572,MO000036573
MAP3K4	MO000032664,MO000084676
MAP3K5	MO000020270
MAP3K7	MO000021242
MAPK1	MO000004677,MO000034342
MAPK10	MO000033978,MO000153681
MAPK11	MO000022209,MO000092896
MAPK12	MO000004689
MAPK13	MO000022210
MAPK14	MO000009339,MO000022208,MO000059863
MAPK3	MO000004672,MO000112169
MAPK6	MO000004681,MO000137417
MAPK7	MO000079049
MAPK8	MO000007821,MO000022229,MO000030998,MO000033485,MO000035654
MAPK9	MO000030859,MO000030860,MO000031000,MO000256146
MAPKAPK2	MO000009253
MDM2	MO000023311,MO000056625
MECOM	MO000033253
MOK	MO000215353
MTMR4	MO000215625,MO000215626
MYC	MO000056483
MYD88	MO000039099
NCF1	MO000161481
NCF2	MO000161481
NCF4	MO000161481
NFATC1	MO000035653,MO000035654
NFKBIA	MO000019315
NSMCE2	MO000098770,MO000098771
PAK1	MO000019481
PAK2	MO000042946,MO000084423
PAK4	MO000085607
PGR	MO000333495
PIAS1	MO000030911,MO000079236
PIAS2	MO000060747,MO000082840,MO000082846
PIAS4	MO000084645
PKMYT1	MO000022408
PLK1	MO000022403,MO000096187
PLK3	MO000031101
PPP1CA	MO000044885
PRKCD	MO000031189
PRKN	MO000044267,MO000044588
PRKRA	MO000022540
PRPF4	MO000087569,MO000256946
PTEN	MO000034818
PTPN1	MO000021383
PTPN13	MO000020924
PTTG1	MO000044992
RAC1	MO000019507,MO000161481
RAD21	MO000042938,MO000042939,MO000042940,MO000102071
RAF1	MO000021172
RAN	MO000035101
RANGAP1	MO000035098
RB1	MO000017774
RELA	MO000019363,MO000033264
RICTOR	MO000054153
RIPK2	MO000020436
RPS6KA1	MO000032335,MO000036655
RPS6KA3	MO000032352,MO000078692
RPS6KB1	MO000089506
SAE1	MO000020004,MO000020010,MO000085628,MO000085634
SENP1	MO000093578
SENP2	MO000096095,MO000096098
SEPT4	MO000042920
SIRT1	MO000023365
SKP2	MO000019867
SMAD3	MO000019780,MO000020328,MO000057832,MO000279226,MO000480307
SMAD7	MO000020634,MO000056713,MO000056718
SMURF1	MO000019696
SRC	MO000021478
STAT3	MO000013123
STK10	MO000045420
STK11	MO000117253
SUMO1	MO000019973,MO000020010
SYTL1	MO000161481
TAOK1	MO000036592
TAOK2	MO000036594
TGFB1	MO000020325,MO000021287
TGFBR1	MO000017447,MO000020325,MO000083732
TGFBR2	MO000020325
TIRAP	MO000022529
TOLLIP	MO000039099
TP53	MO000019548,MO000056623
TRAF2	MO000020146
TRAF6	MO000019352
TXN2	MO000058368
UBA1	MO000019948,MO000089081,MO000119161
UBA2	MO000020004,MO000020010,MO000085632,MO000085634
UBE2D1	MO000020073
UBE2D2	MO000032587
UBE2H	MO000119207
UBE2I	MO000019975,MO000079234,MO000324017
UBE2K	MO000019949
UBE2L3	MO000032588
UBE2N	MO000022137,MO000087811
USP4	MO000193609
WWP2	MO000142942
XIAP	MO000019070
YAP1	MO000042300,MO000088968
YWHAZ	MO000021754
YY1	MO000025267
