ID	Transpath ID
CHEK2	MO000030895
CTNNB1	MO000017049,MO000058538
EGFR	MO000016677,MO000082277
ERBB2	MO000018962,MO000060210
ERBB3	MO000019475
FOS	MO000018137,MO000079681
FOXM1	MO000028099,MO000088314
GSK3B	MO000016989
HDAC3	MO000023578
HIPK2	MO000031076,MO000098995
JUN	MO000019469,MO000058322
LATS2	MO000198783
MAPK1	MO000004677
MAPK14	MO000009339
MAPK6	MO000004681
MAPKAPK2	MO000009253
PIAS1	MO000030911
PLK1	MO000022403,MO000096187
PPM1D	MO000023642
PRPF4	MO000087569
PTPN7	MO000059843
RELA	MO000019363,MO000025736,MO000079319,MO000079350,MO000129437,MO000257758
RPS6KA1	MO000032335
RPS6KA5	MO000036634
SNAI1	MO000044348,MO000133252
STAT3	MO000013123,MO000078237,MO000078241,MO000165730
TCF3	MO000024771,MO000024773,MO000024920,MO000032492
UBE2I	MO000019975
