Node	MCF10A	MDAMB231
ADAM9	0.479404	0.035409
ANXA1	0.052897	0.526334
ATF3	0.04878	0.51207
AURKA	0.031171	0.496708
BACE1	0.514167	-0.099713
BGN	0.574173	-0.001889
BIRC6	0.464373	0.026393
BUB1	0.031171	0.496708
CABLES2	0.04537	0.501345
CCNG2	0.449012	-0.023258
CD55	-0.037128	0.36937
CDC20	-0.062051	0.527669
CHEK2	-0.09218	0.5
CKAP5	0.009799	0.495423
COL13A1	0.055119	0.504035
CTNNB1	0.469109	-0.011945
CXXC5	0.511037	0.00869
DNAJB2	0.490201	0.004577
EGFR	0.071364	0.521042
ERBB2	0.586736	0.106357
ERBB3	0.669376	0.030703
EVL	0.40272	-0.01789
FBLN1	0.468829	0.003292
FDPS	0.922313	0.067252
FGF13	0.509799	-0.004577
FN1	0.597606	-0.000057
FOS	0.550296	0.101201
FOXM1	0.007924	0.488741
FYN	-0.031171	0.503292
GSK3B	0.402316	-0.072169
GSN	0.462872	-0.13063
HDAC3	0.5	0
HIPK2	0.676777	0
HMGA2	0.509799	-0.004577
HMGB2	0.031171	0.496708
HMGCR	0.757001	0.076037
HUWE1	-0.031171	0.503292
ICAM1	0.057363	0.597585
IGF1R	0.536368	-0.025364
IL4R	0.016243	0.55142
IL7R	-0.000795	0.555828
ITGB8	0.45463	-0.001345
JUN	0.412114	0.055165
KAT2A	0.031171	0.496708
LATS2	0.45391	0.25
LIMK2	0.509799	-0.004577
LRP1	0.468829	0.003292
LTBP3	0.468829	0.003292
MAD2L2	-0.011037	0.49131
MAPK1	0.5	0
MAPK13	-0.009799	0.504577
MAPK14	0.176777	0.5
MAPK6	0.5	0
MAPKAPK2	0.597684	0.072169
MAPT	0.468829	0.003292
MEX3B	0.425827	0.001889
MOCOS	-0.031171	0.503292
MVD	0.844625	0.134505
MVK	0.378501	0.538019
NDC80	-0.088388	0.5
NUF2	-0.088388	0.5
PAG1	0.088388	0.5
PIAS1	0.672537	0.020833
PIAS3	0.468829	0.003292
PKIA	0.425827	0.001889
PLK1	0.035308	0.579838
PMVK	0.68925	0.269009
PPM1D	0.260723	0
PRPF4	0	0.5
PTPRA	0.45463	-0.001345
RASGRF1	0.011037	0.50869
RELA	-0.093974	0.661419
RFWD2	0.40272	-0.01789
RHOA	0.579861	0.548601
RHOD	0.444881	-0.004035
ROCK1	0.531171	-0.003292
RPS6KA1	0.102062	0.5
RPS6KA5	0.097684	0.572169
RRM2B	0.511037	0.00869
S100A2	0.531171	-0.003292
SELPLG	0.016243	0.55142
SERPINA1	0.016243	0.55142
SH3YL1	0.490201	0.004577
SHC1	0.490201	0.004577
SKIL	0.511037	0.00869
SMAD2	0.787804	0.06798
SMAD4	0.485833	0.099713
SNAI1	0.166042	0.584197
SNAP29	0.59728	0.01789
SNRPA	0.009799	0.495423
SREBF2	0.514002	0.152075
SRPK1	0.031171	0.496708
STAT3	0.225066	0.712497
STX6	0.5286	0.00302
TACC1	0.488963	-0.00869
TAF12	0.468829	0.003292
TAF1B	0.031171	0.496708
TBL1X	-0.031171	0.503292
TCF3	0.497002	0.014731
TGFA	0.04537	0.501345
TGFB1	0.575608	0.135959
TNIK	0.074173	0.498111
TNK2	0.588388	0
TOP2A	-0.088388	0.5
TP53	0.048506	0.526803
TP53:SMAD2	0.288432	0.131568
TP63	-0.144216	-0.065784
TPR	0.531171	-0.003292
TPX2	-0.088388	0.5
TRIM33	0.037128	0.63063
TRIOBP	0.479404	0.035409
UBE2I	0.336268	0.510417
VDR	0.514002	0.152075
VIM	0.561815	0.046512
WNT5A	0.717781	0.070213
ZBTB17	0.5	0
