name a20 apoptosis bclxl bid caspase ceramide creb ctla4 cytoskeletonsignaling disc erk fas fasl fast flip fyn gap gpcr grb2 gzmb iap ifng ifngt il2 il2ra il2rat il2rb il2rbt jak lck mcl1 mek nfat nfkb p2 p27 pdgfr pi3k plcg1 proliferation rantes ras s1p sfas smad socs sphk1 stat3 tbet tcr tnf tpl2 tradd zap70 il15 stimuli cd45 stimuli2 pdgf tax
A1.1 0.0033 0.1642 -0.2194 0.2888 0.2581 1.0 0.4137 0.0176 0.067 0.2987 1.0 0.2499 0.266 0.0033 0.0989 0.1054 0.01 -0.2228 0.0929 0.4222 -0.1037 0.1627 0.2377 -0.195 -0.0397 -0.0306 0.3265 0.652 0.0602 0.0745 0.0039 0.0655 -0.0015 0.0122 0.0598 0.0099 -0.1575 -0.0038 -0.0083 0.0007 0.0033 0.1261 -0.4951 -0.213 -0.2005 0.0304 -0.0709 0.0313 1.0 0.0338 0.0033 0.0003 0.0306 0.0 0.1 0.1 0.0 0.0 0.0 0.0
A1.2 0.0117 0.1909 -0.2533 0.3368 0.3 1.0 0.4251 0.0567 0.0852 0.3035 1.0 0.2664 0.2817 0.0117 0.1136 0.1339 0.0072 -0.2228 0.0938 0.5357 -0.1155 0.2027 0.3509 -0.1794 -0.034 -0.0216 0.3296 0.652 0.0716 0.0946 0.0262 0.1664 0.039 0.0431 0.0745 0.0118 -0.1575 0.0968 -0.0079 0.0008 0.0117 0.1277 -0.4951 -0.2243 -0.2005 0.0307 -0.0709 0.0372 1.0 0.1089 0.0117 0.0268 0.0329 0.0 0.1 0.1 0.0 0.0 0.0 0.0
A1.3 0.0423 0.221 -0.2776 0.4651 0.3474 1.0 0.4559 0.1318 0.1392 0.3149 1.0 0.3021 0.3262 0.0423 0.1579 0.2187 0.0004 -0.2228 0.1033 0.5721 -0.1409 0.3109 0.3846 -0.1349 -0.0163 0.0081 0.3383 0.652 0.1061 0.179 0.0422 0.1706 0.1402 0.156 0.1142 0.0175 -0.1575 0.0998 -0.0037 0.0012 0.0423 0.1359 -0.4951 -0.2308 -0.2005 0.0323 -0.0709 0.0551 1.0 0.0611 0.0423 0.0387 0.0358 0.0155 0.1 0.1 0.0 0.0 0.0 0.0
A1.4 0.1553 0.294 -0.2803 0.4996 0.462 1.0 0.5472 0.0928 0.2317 0.3362 1.0 0.3994 0.4442 0.1553 0.2825 0.207 -0.0003 -0.2228 0.1191 0.5985 -0.1445 0.2802 0.3979 -0.1169 -0.0046 0.032 0.3938 0.752 0.2411 0.1707 0.0644 0.1757 0.1416 0.2037 0.261 0.0399 -0.1575 0.1034 0.0034 0.0028 0.1553 0.1456 -0.4951 -0.2348 -0.2005 0.0693 -0.0709 0.1253 1.0 -0.014 0.1553 0.0811 0.0197 0.0155 0.1 0.1 0.0 0.0 0.0 0.0
A1.5 0.1626 0.4099 -0.2887 0.5018 0.487 1.0 0.5238 0.0176 0.198 0.4979 1.0 0.5426 0.4651 0.1626 0.2258 0.1541 -0.0003 -0.2228 0.1417 0.5709 -0.1401 0.1982 0.4178 -0.096 0.0089 0.0596 0.4979 0.752 0.2513 0.109 0.0697 0.1828 0.1436 0.2306 0.2309 0.0734 -0.1575 0.1084 0.0136 0.0052 0.1626 0.1593 -0.4951 -0.2929 -0.2005 0.0683 -0.0709 0.2306 1.0 0.0339 0.1626 0.1849 0.0173 0.0 0.1 0.1 0.0 0.0 0.0 0.0
A1.6 0.1538 0.4095 -0.2907 0.4954 0.4864 1.0 0.4242 0.0176 0.2617 0.5365 1.0 0.5409 0.4645 0.1538 0.0814 0.2541 0.0335 -0.2228 0.2486 0.5346 -0.1439 0.1996 0.4221 -0.0966 0.0067 0.0542 0.4978 0.752 0.2481 0.204 0.0647 0.2367 0.159 0.1984 0.2314 0.1728 -0.1575 0.1465 0.1618 -0.0585 0.1538 0.2631 -0.4951 -0.2953 -0.2005 0.0674 -0.0709 0.2289 1.0 0.0339 0.1538 0.1906 0.0198 0.0155 0.1 0.1 0.0 0.0 0.0 0.0
A1.7 0.1538 0.4095 -0.2907 0.4954 0.4864 1.0 0.4242 0.0928 0.2505 0.5365 1.0 0.5409 0.4645 0.1538 0.0814 0.2365 0.0335 -0.2228 0.2486 0.5346 -0.1439 0.1996 0.4221 -0.0966 0.0067 0.0542 0.4978 0.752 0.2481 0.1916 0.0647 0.2367 0.159 0.1984 0.2314 0.1728 -0.1575 0.1465 0.1618 -0.0585 0.1538 0.2631 -0.4951 -0.2953 -0.2005 0.0674 -0.0709 0.2289 1.0 -0.014 0.1538 0.1906 0.0198 0.0155 0.1 0.1 0.0 0.0 0.0 0.0
A1.8 0.1538 0.4095 -0.2907 0.4954 0.4864 1.0 0.4242 0.0567 0.2793 0.5364 1.0 0.5409 0.4645 0.1538 0.0814 0.2817 0.0335 -0.2228 0.2486 0.5346 -0.1439 0.1996 0.4221 -0.0966 0.0067 0.0542 0.4978 0.752 0.2481 0.2236 0.0647 0.2367 0.159 0.1984 0.2314 0.1728 -0.1575 0.1465 0.1618 -0.0585 0.1538 0.2631 -0.4951 -0.2953 -0.2005 0.0674 -0.0709 0.2289 1.0 0.1089 0.1538 0.1906 0.0198 0.0155 0.1 0.1 0.0 0.0 0.0 0.0
A1.9 0.1538 0.4095 -0.2907 0.4954 0.4864 1.0 0.4242 0.1318 0.2681 0.5364 1.0 0.5409 0.4645 0.1538 0.0814 0.2641 0.0335 -0.2228 0.2486 0.5346 -0.1439 0.1996 0.4221 -0.0966 0.0067 0.0542 0.4978 0.752 0.2481 0.2111 0.0647 0.2367 0.159 0.1984 0.2314 0.1728 -0.1575 0.1465 0.1618 -0.0585 0.1538 0.2631 -0.4951 -0.2953 -0.2005 0.0674 -0.0709 0.2289 1.0 0.0611 0.1538 0.1906 0.0198 0.0155 0.1 0.1 0.0 0.0 0.0 0.0
A1.10 0.1524 0.4101 -0.2917 0.4977 0.4873 1.0 0.4239 0.0567 0.1792 0.5356 1.0 0.5395 0.4618 0.1524 0.0805 0.2816 0.0189 -0.2228 0.2485 0.5343 -0.1458 0.1985 0.42 -0.0992 0.0058 0.0527 0.4973 0.752 0.247 0.2235 0.0609 0.2124 0.1521 0.1931 0.231 0.1727 -0.1575 0.1294 0.0617 0.0415 0.1524 0.2164 -0.4951 -0.296 -0.2005 0.0676 -0.0709 0.2283 1.0 0.1089 0.1524 0.1861 0.0206 0.0155 0.1 0.1 0.0 0.0 0.0 0.0
