name apoptosis bid caspase ceramide disc fas fasl fast gpcr gzmb iap ifngt nfkb pdgfr pi3k s1p sphk1 tpl2 tradd
attr_2 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 0
attr_4 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 0
attr_5 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 0
attr_7 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 0
attr_11 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 0
attr_16 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 0
attr_18 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 0
attr_19 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 0
attr_26 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_30 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_31 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_32 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_38 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_45 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_46 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_47 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_48 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_51 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_52 1 1 1 1 1 1 1 1 0 1 0 1 1 0 0 0 0 1 0
attr_53 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_54 1 1 1 1 1 1 1 1 0 1 0 1 1 0 0 0 0 1 0
attr_59 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_60 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_64 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_76 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 0
attr_78 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 0
attr_80 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 0
attr_89 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 0
attr_97 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_103 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_126 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_145 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0
attr_150 1 1 1 1 1 1 1 1 0 1 0 1 1 0 0 0 0 1 0
attr_161 1 1 1 1 1 1 1 1 0 1 0 1 1 0 X 0 0 1 0
attr_166 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 0
attr_167 1 1 1 1 1 1 1 1 0 1 0 1 1 0 0 0 0 1 0
attr_174 1 1 1 1 1 1 1 1 0 1 0 1 1 0 X 0 0 1 0
attr_176 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 0
attr_180 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 0
attr_181 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 0
attr_184 1 1 1 1 1 1 1 1 0 1 0 1 1 0 0 0 0 1 0
attr_195 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 0
attr_196 1 1 1 1 1 1 1 1 0 1 0 1 1 0 0 0 0 1 0
attr_197 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 0
attr_202 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 0
attr_204 1 1 1 1 1 1 1 1 0 1 0 1 1 0 X 0 0 1 0
attr_207 1 1 1 1 1 1 1 1 0 1 0 1 1 0 X 0 0 1 0
attr_209 1 1 1 1 1 1 1 1 0 1 0 1 1 0 0 0 0 1 0
attr_219 1 1 1 1 1 1 1 1 0 1 0 1 1 0 0 0 0 1 0
attr_228 1 1 1 1 1 1 1 1 0 1 0 1 1 0 X 0 0 1 0
attr_231 1 1 1 1 1 1 1 1 0 1 0 1 1 0 0 0 0 1 0
attr_232 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 0
attr_241 1 1 1 1 1 1 1 1 0 1 0 1 1 0 0 0 0 1 0
attr_245 1 1 1 1 1 1 1 1 0 1 0 1 1 0 0 0 0 1 0
attr_247 1 1 1 1 1 1 1 1 0 1 0 1 1 0 0 0 0 1 0
