name clusters
leukemia1 4
leukemia2 4
apop 10
attr_1 4
attr_2 10
attr_3 9
attr_4 10
attr_5 10
attr_6 2
attr_7 10
attr_8 4
attr_9 2
attr_10 9
attr_11 10
attr_12 4
attr_13 4
attr_14 2
attr_15 9
attr_16 10
attr_17 2
attr_18 10
attr_19 10
attr_20 0
attr_21 0
attr_22 0
attr_23 2
attr_24 0
attr_25 4
attr_26 0
attr_27 0
attr_28 2
attr_29 0
attr_30 0
attr_31 10
attr_32 10
attr_33 4
attr_34 2
attr_35 0
attr_36 4
attr_37 0
attr_38 10
attr_39 4
attr_40 4
attr_41 0
attr_42 2
attr_43 2
attr_44 0
attr_45 0
attr_46 10
attr_47 0
attr_48 10
attr_49 2
attr_50 9
attr_51 10
attr_52 9
attr_53 10
attr_54 9
attr_55 0
attr_56 9
attr_57 4
attr_58 2
attr_59 10
attr_60 0
attr_61 0
attr_62 4
attr_63 2
attr_64 0
attr_65 2
attr_66 4
attr_67 2
attr_68 2
attr_69 4
attr_70 6
attr_71 7
attr_72 0
attr_73 4
attr_74 2
attr_75 2
attr_76 11
attr_77 4
attr_78 11
attr_79 4
attr_80 11
attr_81 6
attr_82 2
attr_83 7
attr_84 2
attr_85 6
attr_86 0
attr_87 0
attr_88 2
attr_89 11
attr_90 2
attr_91 0
attr_92 7
attr_93 2
attr_94 2
attr_95 7
attr_96 0
attr_97 11
attr_98 0
attr_99 0
attr_100 2
attr_101 6
attr_102 6
attr_103 11
attr_104 6
attr_105 6
attr_106 6
attr_107 6
attr_108 7
attr_109 6
attr_110 7
attr_111 2
attr_112 2
attr_113 6
attr_114 6
attr_115 6
attr_116 7
attr_117 0
attr_118 6
attr_119 6
attr_120 2
attr_121 0
attr_122 0
attr_123 6
attr_124 0
attr_125 0
attr_126 11
attr_127 6
attr_128 0
attr_129 0
attr_130 2
attr_131 2
attr_132 0
attr_133 2
attr_134 0
attr_135 2
attr_136 2
attr_137 1
attr_138 0
attr_139 1
attr_140 0
attr_141 2
attr_142 7
attr_143 6
attr_144 6
attr_145 11
attr_146 4
attr_147 4
attr_148 4
attr_149 4
attr_150 9
attr_151 8
attr_152 0
attr_153 2
attr_154 5
attr_155 5
attr_156 9
attr_157 10
attr_158 7
attr_159 5
attr_160 4
attr_161 10
attr_162 4
attr_163 4
attr_164 2
attr_165 8
attr_166 10
attr_167 9
attr_168 5
attr_169 4
attr_170 9
attr_171 5
attr_172 7
attr_173 0
attr_174 10
attr_175 8
attr_176 10
attr_177 5
attr_178 6
attr_179 0
attr_180 10
attr_181 10
attr_182 7
attr_183 0
attr_184 9
attr_185 5
attr_186 5
attr_187 2
attr_188 8
attr_189 10
attr_190 8
attr_191 9
attr_192 5
attr_193 8
attr_194 8
attr_196 9
attr_197 10
attr_198 5
attr_199 5
attr_200 10
attr_201 0
attr_202 10
attr_203 4
attr_204 10
attr_205 8
attr_206 5
attr_207 10
attr_208 4
attr_209 9
attr_210 8
attr_211 8
attr_212 9
attr_213 5
attr_214 7
attr_215 8
attr_216 2
attr_217 4
attr_218 7
attr_219 9
attr_220 5
attr_221 2
attr_222 0
attr_223 5
attr_224 7
attr_225 4
attr_226 4
attr_227 5
attr_228 10
attr_229 2
attr_230 2
attr_231 9
attr_232 10
attr_233 10
attr_234 10
attr_235 2
attr_236 5
attr_237 5
attr_238 5
attr_239 8
attr_240 2
attr_241 9
attr_242 5
attr_243 5
attr_244 5
attr_245 9
attr_246 2
attr_247 9
attr_248 10
attr_249 2
attr_250 0
attr_251 8
attr_252 0
attr_253 10
attr_254 7
attr_255 9
attr_256 2
attr_257 8
attr_258 6
attr_259 9
attr_260 2
attr_261 2
attr_262 7
attr_263 5
attr_264 7
attr_265 5
attr_266 0
attr_267 8
attr_268 5
attr_269 8
attr_270 0
attr_271 6
attr_272 10
attr_273 2
attr_274 4
attr_275 8
attr_276 5
attr_277 5
attr_278 0
attr_279 8
attr_280 5
attr_281 2
attr_282 5
attr_283 0
attr_285 8
attr_286 2
attr_287 6
attr_288 4
attr_289 5
attr_290 5
attr_291 5
attr_292 8
attr_293 8
attr_294 10
attr_295 5
attr_296 5
attr_297 2
attr_298 8
attr_299 8
attr_300 8
attr_301 8
attr_302 7
attr_303 7
attr_304 2
attr_305 8
attr_306 0
attr_307 0
attr_308 6
attr_309 0
attr_310 6
attr_311 0
attr_312 0
attr_313 5
attr_314 6
attr_315 0
attr_316 5
attr_317 5
attr_318 6
attr_319 5
attr_320 5
attr_321 2
attr_322 5
attr_323 5
attr_324 7
attr_325 8
attr_326 8
attr_327 2
attr_328 2
attr_329 10
attr_330 5
attr_331 7
attr_332 4
attr_333 2
attr_334 6
attr_335 4
attr_336 2
attr_337 4
attr_338 5
attr_339 2
attr_340 5
attr_341 2
attr_342 5
attr_343 4
attr_344 6
attr_345 4
attr_346 10
attr_347 6
attr_348 5
attr_349 5
attr_350 5
attr_351 5
attr_352 0
attr_353 0
attr_354 5
attr_355 8
attr_356 5
attr_357 5
attr_358 2
attr_359 2
attr_360 5
attr_361 0
attr_362 6
attr_363 5
attr_364 6
attr_365 2
attr_366 0
attr_367 5
attr_368 7
attr_369 8
attr_370 5
attr_371 5
attr_372 6
attr_373 6
attr_374 0
attr_375 10
attr_376 5
attr_377 7
attr_378 5
attr_379 2
attr_380 8
attr_381 6
attr_382 0
attr_383 2
attr_384 7
attr_385 5
attr_386 7
attr_387 5
attr_388 6
attr_389 10
attr_390 8
attr_391 6
attr_392 5
attr_393 5
attr_394 6
attr_395 5
attr_396 6
attr_397 5
attr_398 0
attr_399 0
attr_400 5
attr_401 0
attr_402 5
attr_403 6
attr_404 5
attr_405 0
attr_406 9
attr_407 2
attr_408 8
attr_409 2
attr_410 5
attr_411 4
attr_412 6
attr_413 5
attr_414 5
attr_415 5
attr_416 10
attr_417 8
attr_418 10
attr_419 8
attr_420 11
attr_421 8
attr_422 5
attr_423 5
attr_424 5
attr_425 5
attr_426 5
attr_427 7
attr_428 5
attr_429 5
attr_430 10
attr_431 5
attr_432 6
attr_433 5
attr_434 0
attr_435 6
attr_436 5
attr_437 6
attr_438 2
attr_439 0
attr_440 5
attr_441 10
attr_442 0
attr_443 5
attr_444 2
attr_445 5
attr_446 7
attr_447 2
attr_448 5
attr_449 8
attr_450 8
attr_451 6
attr_452 6
attr_453 5
attr_454 8
attr_455 5
attr_456 5
attr_457 5
attr_458 8
attr_459 6
attr_460 9
attr_461 5
attr_462 8
attr_463 5
attr_464 0
attr_465 5
attr_466 5
attr_467 5
attr_468 5
attr_469 5
attr_470 5
attr_471 5
attr_472 5
attr_473 5
attr_474 7
attr_475 5
attr_476 2
attr_477 5
attr_478 5
attr_479 0
attr_480 5
attr_481 6
attr_482 5
attr_483 5
attr_484 11
attr_485 5
attr_486 8
attr_487 2
attr_488 5
attr_489 6
attr_490 2
attr_491 7
attr_492 0
attr_493 5
attr_494 4
attr_495 5
attr_496 5
attr_497 5
attr_498 5
attr_499 0
attr_500 11
attr_501 5
attr_502 5
attr_503 8
attr_504 6
attr_505 5
attr_506 0
attr_508 5
attr_509 8
attr_510 8
attr_511 7
attr_512 3
attr_513 2
attr_514 7
attr_515 5
attr_516 5
attr_517 5
attr_518 0
attr_519 0
attr_520 9
attr_521 8
attr_522 8
attr_523 0
attr_524 5
attr_525 5
attr_526 5
attr_527 7
attr_528 2
attr_529 6
attr_530 8
attr_531 2
attr_532 3
attr_533 3
attr_534 5
attr_535 0
attr_536 5
attr_537 6
attr_538 0
attr_539 5
attr_540 6
attr_541 11
attr_542 5
attr_543 11
attr_544 5
attr_545 9
attr_546 5
attr_547 8
attr_548 5
attr_549 11
attr_550 5
attr_551 5
attr_552 5
attr_553 5
attr_554 6
attr_555 5
attr_556 8
attr_557 5
attr_558 8
attr_559 5
attr_560 3
attr_561 2
attr_562 11
attr_563 5
attr_564 5
attr_565 8
attr_566 3
attr_567 3
attr_568 0
attr_569 2
attr_570 2
attr_571 8
attr_572 6
attr_573 8
attr_574 0
attr_575 5
attr_576 2
attr_577 5
attr_578 8
attr_579 0
attr_580 5
attr_581 5
attr_582 6
attr_583 0
attr_584 3
attr_585 2
attr_586 8
attr_587 0
attr_588 3
attr_589 3
attr_590 1
attr_591 1
attr_592 1
attr_593 1
attr_594 1
attr_595 1
attr_596 1
attr_597 1
attr_598 1
attr_599 1
attr_600 1
attr_601 1
attr_602 1
attr_603 1
attr_604 1
attr_605 1
attr_606 1
attr_607 1
attr_608 1
attr_609 1
attr_610 1
attr_611 1
attr_612 1
attr_613 1
attr_614 1
attr_615 1
attr_616 1
attr_617 1
attr_618 1
attr_619 1
attr_620 1
attr_621 1
attr_622 1
attr_623 1
attr_624 1
attr_625 1
attr_626 1
attr_627 1
attr_628 1
attr_629 1
attr_630 1
attr_631 1
attr_632 1
attr_633 1
attr_634 1
attr_635 1
attr_636 1
attr_637 1
attr_638 1
attr_639 1
attr_640 1
attr_641 1
attr_642 1
attr_643 1
attr_644 1
attr_645 1
attr_646 1
attr_647 1
attr_648 1
attr_649 1
attr_650 1
attr_651 1
attr_652 1
attr_653 1
attr_654 1
attr_655 1
attr_656 1
attr_657 1
attr_658 1
attr_659 1
attr_660 1
attr_661 1
attr_662 1
attr_663 1
attr_664 1
attr_665 1
attr_666 1
attr_667 1
attr_668 1
attr_669 1
attr_670 1
attr_671 1
attr_672 1
attr_673 1
attr_674 1
attr_675 1
attr_676 1
attr_677 1
attr_678 1
attr_679 1
attr_680 1
attr_681 1
attr_682 1
attr_683 1
attr_684 1
attr_685 1
attr_686 1
attr_687 1
attr_688 1
attr_689 1
attr_690 1
attr_691 1
attr_692 1
attr_693 4
attr_694 4
attr_695 4
attr_696 4
attr_697 3
attr_698 3
attr_699 3
attr_700 3
attr_701 3
attr_702 3
attr_703 3
