name clusters
leukemia1 5
leukemia2 5
apop 12
attr_1 5
attr_2 12
attr_3 4
attr_4 12
attr_5 12
attr_6 12
attr_7 12
attr_8 5
attr_9 12
attr_10 4
attr_11 12
attr_12 5
attr_13 5
attr_14 12
attr_15 4
attr_16 12
attr_17 12
attr_18 12
attr_19 12
attr_20 4
attr_21 4
attr_22 4
attr_23 12
attr_24 4
attr_25 5
attr_26 4
attr_27 4
attr_28 12
attr_29 4
attr_30 4
attr_31 12
attr_32 12
attr_33 5
attr_34 12
attr_35 4
attr_36 5
attr_37 4
attr_38 12
attr_39 5
attr_40 5
attr_41 4
attr_42 12
attr_43 12
attr_44 4
attr_45 4
attr_46 12
attr_47 4
attr_48 12
attr_49 12
attr_50 4
attr_51 12
attr_52 4
attr_53 12
attr_54 4
attr_55 4
attr_56 4
attr_57 5
attr_58 12
attr_59 12
attr_60 4
attr_61 4
attr_62 5
attr_63 12
attr_64 4
attr_65 12
attr_66 5
attr_67 12
attr_68 12
attr_69 5
attr_70 11
attr_71 7
attr_72 2
attr_73 5
attr_74 12
attr_75 12
attr_76 7
attr_77 5
attr_78 7
attr_79 5
attr_80 7
attr_81 11
attr_82 12
attr_83 7
attr_84 12
attr_85 9
attr_86 2
attr_87 2
attr_88 12
attr_89 7
attr_90 12
attr_91 2
attr_92 7
attr_93 12
attr_94 12
attr_95 7
attr_96 13
attr_97 7
attr_98 2
attr_99 13
attr_100 12
attr_101 9
attr_102 9
attr_103 7
attr_104 11
attr_105 11
attr_106 9
attr_107 9
attr_108 7
attr_109 9
attr_110 7
attr_111 12
attr_112 12
attr_113 11
attr_114 11
attr_115 11
attr_116 7
attr_117 8
attr_118 9
attr_119 11
attr_120 12
attr_121 1
attr_122 2
attr_123 9
attr_124 13
attr_125 8
attr_126 7
attr_127 7
attr_128 13
attr_129 8
attr_130 12
attr_131 12
attr_132 8
attr_133 12
attr_134 13
attr_135 12
attr_136 12
attr_137 7
attr_138 8
attr_139 7
attr_140 8
attr_141 12
attr_142 7
attr_143 7
attr_144 7
attr_145 7
attr_146 5
attr_147 5
attr_148 5
attr_149 5
attr_150 1
attr_151 2
attr_152 8
attr_153 12
attr_154 8
attr_155 8
attr_156 1
attr_157 13
attr_158 13
attr_159 2
attr_160 5
attr_161 13
attr_162 5
attr_163 5
attr_164 12
attr_165 4
attr_166 12
attr_167 1
attr_168 8
attr_169 5
attr_170 13
attr_171 8
attr_172 10
attr_173 13
attr_174 13
attr_175 4
attr_176 12
attr_177 13
attr_178 13
attr_179 8
attr_180 12
attr_181 12
attr_182 10
attr_183 8
attr_184 4
attr_185 8
attr_186 8
attr_187 12
attr_188 4
attr_189 13
attr_190 4
attr_191 13
attr_192 8
attr_193 4
attr_194 2
attr_196 1
attr_197 12
attr_198 8
attr_199 8
attr_200 13
attr_201 13
attr_202 12
attr_203 5
attr_204 13
attr_205 4
attr_206 8
attr_207 13
attr_208 5
attr_209 4
attr_210 4
attr_211 1
attr_212 13
attr_213 13
attr_214 13
attr_215 2
attr_216 12
attr_217 5
attr_218 10
attr_219 1
attr_220 13
attr_221 12
attr_222 13
attr_223 13
attr_224 13
attr_225 5
attr_226 5
attr_227 8
attr_228 13
attr_229 12
attr_230 12
attr_231 1
attr_232 12
attr_233 13
attr_234 13
attr_235 12
attr_236 8
attr_237 2
attr_238 13
attr_239 2
attr_240 12
attr_241 1
attr_242 13
attr_243 8
attr_244 8
attr_245 1
attr_246 12
attr_247 4
attr_248 13
attr_249 12
attr_250 13
attr_251 1
attr_252 2
attr_253 13
attr_254 13
attr_255 13
attr_256 12
attr_257 2
attr_258 10
attr_259 1
attr_260 12
attr_261 12
attr_262 10
attr_263 13
attr_264 13
attr_265 13
attr_266 8
attr_267 4
attr_268 2
attr_269 2
attr_270 8
attr_271 13
attr_272 13
attr_273 12
attr_274 5
attr_275 2
attr_276 8
attr_277 8
attr_278 13
attr_279 1
attr_280 8
attr_281 12
attr_282 13
attr_283 8
attr_285 4
attr_286 12
attr_287 10
attr_288 5
attr_289 8
attr_290 8
attr_291 8
attr_292 1
attr_293 1
attr_294 12
attr_295 13
attr_296 1
attr_297 12
attr_298 1
attr_299 4
attr_300 2
attr_301 4
attr_302 10
attr_303 10
attr_304 12
attr_305 2
attr_306 8
attr_307 13
attr_308 10
attr_309 13
attr_310 13
attr_311 2
attr_312 8
attr_313 13
attr_314 13
attr_315 13
attr_316 13
attr_317 2
attr_318 10
attr_319 8
attr_320 8
attr_321 12
attr_322 2
attr_323 2
attr_324 13
attr_325 4
attr_326 2
attr_327 12
attr_328 12
attr_329 13
attr_330 13
attr_331 13
attr_332 5
attr_333 12
attr_334 10
attr_335 5
attr_336 12
attr_337 5
attr_338 13
attr_339 12
attr_340 13
attr_341 12
attr_342 13
attr_343 5
attr_344 13
attr_345 5
attr_346 12
attr_347 13
attr_348 13
attr_349 2
attr_350 13
attr_351 2
attr_352 2
attr_353 2
attr_354 13
attr_355 8
attr_356 13
attr_357 13
attr_358 12
attr_359 12
attr_360 2
attr_361 1
attr_362 13
attr_363 2
attr_364 13
attr_365 12
attr_366 2
attr_367 2
attr_368 10
attr_369 1
attr_370 13
attr_371 2
attr_372 13
attr_373 10
attr_374 2
attr_375 12
attr_376 13
attr_377 10
attr_378 8
attr_379 12
attr_380 1
attr_381 13
attr_382 2
attr_383 12
attr_384 9
attr_385 13
attr_386 9
attr_387 1
attr_388 10
attr_389 12
attr_390 4
attr_391 13
attr_392 13
attr_393 1
attr_394 13
attr_395 2
attr_396 10
attr_397 13
attr_398 2
attr_399 1
attr_400 13
attr_401 1
attr_402 13
attr_403 10
attr_404 8
attr_405 8
attr_406 1
attr_407 12
attr_408 4
attr_409 12
attr_410 13
attr_411 5
attr_412 10
attr_413 8
attr_414 2
attr_415 8
attr_416 12
attr_417 4
attr_418 12
attr_419 4
attr_420 9
attr_421 1
attr_422 2
attr_423 2
attr_424 13
attr_425 2
attr_426 2
attr_427 13
attr_428 2
attr_429 1
attr_430 12
attr_431 2
attr_432 13
attr_433 8
attr_434 2
attr_435 13
attr_436 2
attr_437 13
attr_438 12
attr_439 8
attr_440 1
attr_441 12
attr_442 1
attr_443 8
attr_444 12
attr_445 8
attr_446 9
attr_447 12
attr_448 2
attr_449 8
attr_450 1
attr_451 10
attr_452 13
attr_453 8
attr_454 4
attr_455 2
attr_456 2
attr_457 2
attr_458 1
attr_459 10
attr_460 1
attr_461 8
attr_462 4
attr_463 8
attr_464 2
attr_465 1
attr_466 13
attr_467 2
attr_468 2
attr_469 2
attr_470 8
attr_471 1
attr_472 13
attr_473 1
attr_474 9
attr_475 1
attr_476 12
attr_477 2
attr_478 8
attr_479 2
attr_480 2
attr_481 10
attr_482 1
attr_483 2
attr_484 9
attr_485 2
attr_486 2
attr_487 12
attr_488 8
attr_489 10
attr_490 12
attr_491 9
attr_492 2
attr_493 2
attr_494 5
attr_495 2
attr_496 8
attr_497 2
