name clusters
leukemia1 6
leukemia2 6
apoptosis 7
attr_1 6
attr_2 7
attr_3 8
attr_4 7
attr_5 7
attr_6 2
attr_7 7
attr_8 6
attr_9 2
attr_10 8
attr_11 7
attr_12 6
attr_13 6
attr_14 2
attr_15 8
attr_16 7
attr_17 2
attr_18 7
attr_19 7
attr_20 5
attr_21 5
attr_22 5
attr_23 2
attr_24 5
attr_25 6
attr_26 1
attr_27 5
attr_28 2
attr_29 5
attr_30 1
attr_31 7
attr_32 7
attr_33 6
attr_34 2
attr_35 5
attr_36 6
attr_37 5
attr_38 7
attr_39 6
attr_40 6
attr_41 5
attr_42 2
attr_43 7
attr_44 5
attr_45 1
attr_46 7
attr_47 1
attr_48 7
attr_49 2
attr_50 8
attr_51 7
attr_52 9
attr_53 7
attr_54 9
attr_55 5
attr_56 8
attr_57 6
attr_58 2
attr_59 7
attr_60 1
attr_61 5
attr_62 6
attr_63 2
attr_64 1
attr_65 2
attr_66 6
attr_67 7
attr_68 2
attr_69 6
attr_70 3
attr_71 3
attr_72 1
attr_73 6
attr_74 7
attr_75 7
attr_76 3
attr_77 6
attr_78 3
attr_79 6
attr_80 3
attr_81 3
attr_82 7
attr_83 3
attr_84 7
attr_85 3
attr_86 1
attr_87 1
attr_88 7
attr_89 3
attr_90 7
attr_91 1
attr_92 3
attr_93 7
attr_94 7
attr_95 3
attr_96 1
attr_97 3
attr_98 1
attr_99 1
attr_100 7
attr_101 3
attr_102 3
attr_103 3
attr_104 3
attr_105 3
attr_106 3
attr_107 3
attr_108 3
attr_109 3
attr_110 3
attr_111 7
attr_112 7
attr_113 3
attr_114 3
attr_115 3
attr_116 3
attr_117 5
attr_118 3
attr_119 3
attr_120 7
attr_121 1
attr_122 1
attr_123 3
attr_124 1
attr_125 5
attr_126 3
attr_127 3
attr_128 1
attr_129 5
attr_130 2
attr_131 2
attr_132 5
attr_133 2
attr_134 1
attr_135 2
attr_136 2
attr_137 0
attr_138 5
attr_139 0
attr_140 5
attr_141 2
attr_142 3
attr_143 3
attr_144 3
attr_145 3
attr_146 6
attr_147 6
attr_148 6
attr_149 6
attr_150 9
attr_151 1
attr_152 5
attr_153 2
attr_154 5
attr_155 5
attr_156 8
attr_157 8
attr_158 9
attr_159 1
attr_160 6
attr_161 9
attr_162 6
attr_163 6
attr_164 7
attr_165 5
attr_166 7
attr_167 9
attr_168 5
attr_169 6
attr_170 8
attr_171 5
attr_172 9
attr_173 1
attr_174 9
attr_175 5
attr_176 7
attr_177 1
attr_178 3
attr_179 5
attr_180 7
attr_181 7
attr_182 9
attr_183 5
attr_184 9
attr_185 5
attr_186 5
attr_187 7
attr_188 5
attr_189 8
attr_190 5
attr_191 8
attr_192 5
attr_193 5
attr_194 1
