name clusters
is_000001 5
is_000002 2
is_000003 2
is_000004 4
is_000005 1
is_000006 4
is_000007 4
is_000008 4
is_000009 6
is_000010 0
is_000011 3
is_000012 0
is_000013 6
is_000014 5
is_000015 3
is_000016 5
is_000017 5
is_000018 5
is_000019 4
is_000020 6
is_000021 3
is_000022 2
is_000023 1
is_000024 1
is_000025 0
is_000026 0
is_000027 2
is_000028 6
is_000029 0
is_000030 1
is_000031 0
is_000032 2
is_000033 2
is_000034 1
is_000035 6
is_000036 3
is_000037 3
is_000038 3
is_000039 0
is_000040 1
is_000041 5
is_000042 2
is_000043 2
is_000044 2
is_000045 2
is_000046 4
is_000047 0
is_000048 1
is_000049 4
is_000050 2
is_000051 4
is_000052 3
is_000053 1
is_000054 0
is_000055 2
is_000056 1
is_000057 2
is_000058 1
is_000059 3
is_000060 3
is_000061 2
is_000062 5
is_000063 2
is_000064 3
is_000065 3
is_000066 5
is_000067 5
is_000068 6
is_000069 3
is_000070 5
is_000071 1
is_000072 4
is_000073 1
is_000074 2
is_000075 5
is_000076 3
is_000077 5
is_000078 3
is_000079 1
is_000080 6
is_000081 5
is_000082 5
is_000083 4
is_000084 4
is_000085 2
is_000086 5
is_000087 2
is_000088 1
is_000089 2
is_000090 3
is_000091 1
is_000092 5
is_000093 4
is_000094 3
is_000095 5
is_000096 5
is_000097 5
is_000098 5
is_000099 3
is_000100 1
is_000101 0
is_000102 2
is_000103 5
is_000104 1
is_000105 1
is_000106 4
is_000107 4
is_000108 5
is_000109 5
is_000110 5
is_000111 2
is_000112 2
is_000113 0
is_000114 4
is_000115 1
is_000116 5
is_000117 3
is_000118 2
is_000119 5
is_000120 5
is_000121 0
is_000122 5
is_000123 5
is_000124 5
is_000125 5
is_000126 6
is_000127 3
is_000128 5
is_000129 4
is_000130 1
is_000131 4
is_000132 6
is_000133 2
is_000134 4
is_000135 3
is_000136 1
is_000137 1
is_000138 5
is_000139 5
is_000140 1
is_000141 5
is_000142 4
is_000143 5
is_000144 2
is_000145 4
is_000146 2
is_000147 5
is_000148 3
is_000149 5
is_000150 2
is_000151 5
is_000152 2
is_000153 4
is_000154 2
is_000155 5
is_000156 2
is_000157 6
is_000158 2
is_000159 5
is_000160 4
is_000161 5
is_000162 3
is_000163 6
is_000164 4
is_000165 1
is_000166 2
is_000167 2
is_000168 2
is_000169 5
is_000170 2
is_000171 3
is_000172 3
is_000173 3
is_000174 1
is_000175 1
is_000176 6
is_000177 4
is_000178 2
is_000179 0
is_000180 0
is_000181 6
is_000182 2
is_000183 5
is_000184 4
is_000185 3
is_000186 3
is_000187 5
is_000188 4
is_000189 1
is_000190 5
is_000191 0
is_000192 1
is_000193 3
is_000194 2
is_000195 1
is_000196 3
is_000197 1
is_000198 3
is_000199 2
is_000200 0
is_000201 4
is_000202 5
is_000203 0
is_000204 0
is_000205 0
is_000206 4
is_000207 0
is_000208 2
is_000209 2
is_000210 3
is_000211 0
is_000212 2
is_000213 1
is_000214 5
is_000215 3
is_000216 1
is_000217 6
is_000218 3
is_000219 2
is_000220 1
is_000221 4
is_000222 0
is_000223 1
is_000224 0
is_000225 3
is_000226 0
is_000227 3
is_000228 2
is_000229 6
is_000230 1
is_000231 4
is_000232 5
is_000233 2
is_000234 5
is_000235 0
is_000236 6
is_000237 5
is_000238 1
is_000239 6
is_000240 1
is_000241 4
is_000242 6
is_000243 3
is_000244 6
is_000245 2
is_000246 2
is_000247 2
is_000248 3
is_000249 4
is_000250 3
is_000251 3
is_000252 2
is_000253 3
is_000254 2
is_000255 1
is_000256 3
is_000257 6
is_000258 0
is_000259 2
is_000260 2
is_000261 2
is_000262 5
is_000263 0
is_000264 4
is_000265 1
is_000266 1
is_000267 3
is_000268 1
is_000269 2
is_000270 3
is_000271 6
is_000272 2
