name clusters
is_000001 0
is_000002 2
is_000003 6
is_000004 1
is_000005 4
is_000006 3
is_000007 2
is_000008 4
is_000009 0
is_000010 1
is_000011 1
is_000012 3
is_000013 6
is_000014 0
is_000015 1
is_000016 0
is_000017 0
is_000018 0
is_000019 5
is_000020 0
is_000021 6
is_000022 5
is_000023 6
is_000024 6
is_000025 3
is_000026 3
is_000027 3
is_000028 6
is_000029 5
is_000030 4
is_000031 4
is_000032 3
is_000033 6
is_000034 4
is_000035 1
is_000036 6
is_000037 1
is_000038 2
is_000039 5
is_000040 4
is_000041 0
is_000042 6
is_000043 3
is_000044 5
is_000045 6
is_000046 6
is_000047 3
is_000048 5
is_000049 4
is_000050 6
is_000051 2
is_000052 0
is_000053 4
is_000054 4
is_000055 3
is_000056 1
is_000057 2
is_000058 4
is_000059 1
is_000060 1
is_000061 5
is_000062 0
is_000063 2
is_000064 1
is_000065 6
is_000066 2
is_000067 0
is_000068 0
is_000069 0
is_000070 3
is_000071 1
is_000072 4
is_000073 1
is_000074 2
is_000075 3
is_000076 4
is_000077 0
is_000078 2
is_000079 4
is_000080 1
is_000081 0
is_000082 0
is_000083 1
is_000084 2
is_000085 2
is_000086 0
is_000087 3
is_000088 1
is_000089 2
is_000090 4
is_000091 4
is_000092 0
is_000093 6
is_000094 6
is_000095 0
is_000096 0
is_000097 0
is_000098 3
is_000099 4
is_000100 4
is_000101 5
is_000102 2
is_000103 0
is_000104 1
is_000105 6
is_000106 6
is_000107 3
is_000108 0
is_000109 0
is_000110 0
is_000111 6
is_000112 2
is_000113 4
is_000114 1
is_000115 6
is_000116 0
is_000117 6
is_000118 5
is_000119 0
is_000120 5
is_000121 0
is_000122 3
is_000123 1
is_000124 0
is_000125 0
is_000126 5
is_000127 6
is_000128 3
is_000129 5
is_000130 4
is_000131 4
is_000132 1
is_000133 3
is_000134 4
is_000135 0
is_000136 4
is_000137 4
is_000138 0
is_000139 0
is_000140 4
is_000141 0
is_000142 2
is_000143 0
is_000144 2
is_000145 4
is_000146 5
is_000147 3
is_000148 6
is_000149 0
is_000150 2
is_000151 0
is_000152 2
is_000153 3
is_000154 2
is_000155 0
is_000156 6
is_000157 4
is_000158 2
is_000159 3
is_000160 4
is_000161 3
is_000162 0
is_000163 5
is_000164 4
is_000165 6
is_000166 6
is_000167 3
is_000168 2
is_000169 0
is_000170 6
is_000171 5
is_000172 2
is_000173 6
is_000174 5
is_000175 6
is_000176 1
is_000177 6
is_000178 2
is_000179 4
is_000180 5
is_000181 0
is_000182 6
is_000183 0
is_000184 6
is_000185 3
is_000186 5
is_000187 0
is_000188 5
is_000189 1
is_000190 3
is_000191 0
is_000192 4
is_000193 6
is_000194 3
is_000195 1
is_000196 0
is_000197 1
is_000198 4
is_000199 3
is_000200 1
is_000201 6
is_000202 3
is_000203 3
is_000204 5
is_000205 1
is_000206 6
is_000207 1
is_000208 5
is_000209 2
is_000210 0
is_000211 1
is_000212 2
is_000213 1
is_000214 0
is_000215 2
is_000216 2
is_000217 6
is_000218 0
is_000219 2
is_000220 4
is_000221 3
is_000222 4
is_000223 6
is_000224 4
is_000225 0
is_000226 6
is_000227 6
is_000228 6
is_000229 3
is_000230 1
is_000231 3
is_000232 5
is_000233 6
is_000234 0
is_000235 4
is_000236 6
is_000237 0
is_000238 4
is_000239 2
is_000240 4
is_000241 1
is_000242 2
is_000243 0
is_000244 6
is_000245 3
is_000246 2
is_000247 2
is_000248 0
is_000249 2
is_000250 6
is_000251 4
is_000252 5
is_000253 0
is_000254 3
is_000255 1
is_000256 2
is_000257 1
is_000258 4
is_000259 6
is_000260 5
is_000261 2
is_000262 2
is_000263 3
is_000264 6
is_000265 4
is_000266 4
is_000267 2
is_000268 4
is_000269 5
is_000270 5
is_000271 0
is_000272 3
is_000273 3
is_000274 1
is_000275 0
is_000276 2
is_000277 4
is_000278 0
is_000279 4
is_000280 5
is_000281 5
is_000282 4
is_000283 4
is_000284 5
is_000285 0
is_000286 5
is_000287 0
is_000288 3
is_000289 2
is_000290 4
is_000291 0
is_000292 0
is_000293 2
is_000294 2
is_000295 2
is_000296 1
is_000297 0
is_000298 6
is_000299 4
is_000300 3
is_000301 4
is_000302 5
is_000303 3
is_000304 6
is_000305 3
