name clusters
is_000001 2
is_000002 1
is_000003 0
is_000004 6
is_000005 7
is_000006 6
is_000007 7
is_000008 5
is_000009 8
is_000010 5
is_000011 5
is_000012 7
is_000013 8
is_000014 6
is_000015 3
is_000016 7
is_000017 6
is_000018 2
is_000019 6
is_000020 8
is_000021 0
is_000022 0
is_000023 4
is_000024 1
is_000025 6
is_000026 6
is_000027 0
is_000028 8
is_000029 5
is_000030 2
is_000031 7
is_000032 0
is_000033 0
is_000034 7
is_000035 5
is_000036 3
is_000037 1
is_000038 1
is_000039 7
is_000040 7
is_000041 6
is_000042 0
is_000043 1
is_000044 1
is_000045 1
is_000046 5
is_000047 5
is_000048 1
is_000049 6
is_000050 0
is_000051 6
is_000052 3
is_000053 6
is_000054 2
is_000055 1
is_000056 5
is_000057 1
is_000058 6
is_000059 2
is_000060 5
is_000061 0
is_000062 6
is_000063 1
is_000064 3
is_000065 7
is_000066 0
is_000067 4
is_000068 8
is_000069 4
is_000070 7
is_000071 4
is_000072 6
is_000073 2
is_000074 1
is_000075 6
is_000076 2
is_000077 4
is_000078 0
is_000079 6
is_000080 1
is_000081 5
is_000082 6
is_000083 1
is_000084 7
is_000085 5
is_000086 4
is_000087 1
is_000088 7
is_000089 1
is_000090 7
is_000091 2
is_000092 4
is_000093 0
is_000094 3
is_000095 4
is_000096 4
is_000097 4
is_000098 0
is_000099 1
is_000100 2
is_000101 7
is_000102 1
is_000103 5
is_000104 2
is_000105 5
is_000106 7
is_000107 5
is_000108 7
is_000109 5
is_000110 2
is_000111 2
is_000112 1
is_000113 5
is_000114 7
is_000115 1
is_000116 5
is_000117 3
is_000118 0
is_000119 6
is_000120 2
is_000121 6
is_000122 4
is_000123 2
is_000124 4
is_000125 5
is_000126 8
is_000127 3
is_000128 0
is_000129 7
is_000130 5
is_000131 4
is_000132 7
is_000133 0
is_000134 6
is_000135 4
is_000136 2
is_000137 1
is_000138 4
is_000139 2
is_000140 2
is_000141 0
is_000142 7
is_000143 2
is_000144 4
is_000145 4
is_000146 0
is_000147 4
is_000148 3
is_000149 2
is_000150 1
is_000151 5
is_000152 0
is_000153 5
is_000154 0
is_000155 4
is_000156 0
is_000157 8
is_000158 0
is_000159 4
is_000160 1
is_000161 0
is_000162 3
is_000163 8
is_000164 6
is_000165 5
is_000166 0
is_000167 0
is_000168 0
is_000169 6
is_000170 1
is_000171 3
is_000172 0
is_000173 5
is_000174 7
is_000175 5
is_000176 1
is_000177 1
is_000178 1
is_000179 1
is_000180 6
is_000181 4
is_000182 1
is_000183 2
is_000184 1
is_000185 7
is_000186 2
is_000187 2
is_000188 7
is_000189 2
is_000190 4
is_000191 4
is_000192 2
is_000193 1
is_000194 1
is_000195 5
is_000196 5
is_000197 2
is_000198 6
is_000199 0
is_000200 6
is_000201 1
is_000202 4
is_000203 7
is_000204 5
is_000205 6
is_000206 0
is_000207 2
is_000208 4
is_000209 0
is_000210 3
is_000211 7
is_000212 1
is_000213 2
is_000214 2
is_000215 0
is_000216 4
is_000217 5
is_000218 3
is_000219 0
is_000220 2
is_000221 5
is_000222 6
is_000223 7
is_000224 5
is_000225 5
is_000226 5
is_000227 0
is_000228 0
is_000229 8
is_000230 5
is_000231 7
is_000232 4
is_000233 1
is_000234 2
is_000235 6
is_000236 0
is_000237 5
is_000238 7
is_000239 8
is_000240 2
is_000241 7
is_000242 8
is_000243 3
is_000244 8
is_000245 0
is_000246 1
is_000247 0
is_000248 3
is_000249 0
is_000250 3
is_000251 5
is_000252 1
is_000253 3
is_000254 0
is_000255 2
is_000256 0
is_000257 2
is_000258 6
is_000259 0
is_000260 0
is_000261 0
is_000262 1
is_000263 7
is_000264 7
is_000265 6
is_000266 1
is_000267 0
is_000268 2
is_000269 0
is_000270 3
is_000271 8
is_000272 1
is_000273 1
is_000274 6
is_000275 4
is_000276 0
is_000277 6
is_000278 2
is_000279 2
is_000280 0
is_000281 5
is_000282 5
is_000283 7
is_000284 5
is_000285 3
is_000286 0
is_000287 0
is_000288 7
is_000289 0
is_000290 5
is_000291 5
is_000292 3
is_000293 4
is_000294 1
is_000295 0
is_000296 2
is_000297 6
is_000298 8
is_000299 6
is_000300 7
is_000301 4
is_000302 2
