leuk_attr apop_attr a20 apoptosis bclxl bid caspase ceramide creb ctla4 cytoskeletonsignaling disc erk fas fasl fast flip fyn gap gpcr grb2 gzmb iap ifng ifngt il2 il2ra il2rat il2rb il2rbt jak lck mcl1 mek nfat nfkb p2 p27 pdgfr pi3k plcg1 proliferation rantes ras s1p sfas smad socs sphk1 stat3 tbet tcr tnf tpl2 tradd zap70 il15 stimuli cd45 stimuli2 pdgf tax
is_017422 is_000099 -1 1 -1 -1 -1 1 1 1 1 1 1 1 1 -1 -1 1 -1 -1 1 1 -1 1 -1 1 1 -1 1 1 1 1 -1 1 1 -1 1 1 -1 -1 -1 1 1 1 -1 1 -1 -1 -1 1 1 -1 -1 -1 1 1 0 0 0 0 0 0
is_017422 is_000112 -1 1 1 -1 -1 1 1 0 1 1 1 1 1 -1 -1 1 1 -1 1 1 1 -1 -1 -1 -1 -1 1 1 1 1 1 1 1 -1 -1 1 -1 -1 1 1 1 1 -1 1 -1 1 -1 1 1 0 -1 -1 1 1 0 0 0 0 0 0
is_017422 is_000175 -1 1 1 -1 -1 1 -1 0 1 1 1 -1 -1 -1 -1 1 1 -1 1 -1 -1 1 -1 -1 1 -1 1 1 1 1 -1 1 -1 -1 1 -1 -1 -1 1 1 -1 1 -1 -1 -1 1 -1 1 1 0 -1 -1 1 -1 0 0 0 0 0 0
is_017422 is_000250 -1 1 1 -1 -1 1 1 -1 1 1 -1 1 -1 1 -1 1 -1 -1 1 1 -1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 -1 1 1 1 -1 -1 1 -1 1 -1 1 1 -1 1 -1 1 1 0 0 0 0 0 0
is_017422 is_000279 -1 1 1 -1 1 1 -1 0 1 1 1 -1 -1 -1 -1 1 1 -1 1 1 -1 1 -1 -1 -1 -1 1 1 1 1 1 1 1 -1 1 1 -1 -1 1 1 1 1 -1 1 -1 -1 -1 1 1 0 -1 -1 1 1 0 0 0 0 0 0
is_017422 is_000634 -1 -1 1 -1 -1 1 1 1 1 -1 1 -1 -1 -1 1 1 1 -1 1 -1 -1 1 -1 -1 -1 -1 1 1 1 1 1 1 -1 -1 1 -1 -1 -1 1 1 -1 1 -1 1 -1 1 -1 1 1 -1 -1 -1 1 1 0 0 0 0 0 0
is_017422 is_000806 -1 1 1 -1 -1 1 1 -1 1 1 -1 1 -1 -1 -1 -1 -1 -1 1 1 1 1 -1 -1 -1 -1 1 1 1 1 -1 -1 -1 -1 1 -1 -1 -1 1 1 1 -1 -1 1 -1 -1 -1 1 1 -1 -1 -1 1 1 0 0 0 0 0 0
is_017422 is_000845 -1 -1 1 -1 -1 1 1 1 1 1 1 1 1 -1 -1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 1 1 1 1 -1 1 1 -1 1 -1 -1 -1 1 1 1 -1 -1 1 -1 1 -1 1 1 -1 -1 -1 1 1 0 0 0 0 0 0
is_017422 is_000854 -1 1 1 -1 1 1 -1 -1 -1 1 1 -1 1 -1 -1 -1 1 -1 1 -1 -1 1 1 -1 -1 -1 1 1 1 1 1 -1 1 -1 1 1 -1 -1 -1 1 -1 -1 -1 1 -1 -1 -1 1 1 -1 -1 -1 1 1 0 0 0 0 0 0
is_017422 is_000868 -1 1 1 -1 -1 1 1 0 1 1 1 1 -1 -1 -1 1 1 -1 1 -1 -1 -1 1 -1 1 -1 1 1 1 1 -1 1 1 -1 1 1 -1 -1 1 1 1 1 -1 1 -1 -1 -1 1 1 0 -1 -1 1 1 0 0 0 0 0 0
is_017422 is_000990 -1 -1 1 -1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 -1 -1 -1 1 -1 1 -1 -1 -1 1 -1 -1 -1 1 1 1 -1 1 1 -1 -1 -1 -1 -1 1 1 -1 -1 -1 -1 -1 -1 1 1 -1 1 -1 1 1 0 0 0 0 0 0
is_017422 is_001114 -1 1 1 -1 1 1 1 0 1 1 -1 -1 -1 -1 -1 1 -1 -1 1 1 -1 1 1 -1 -1 -1 1 1 1 -1 1 -1 1 -1 1 1 -1 -1 1 1 -1 -1 -1 -1 -1 -1 -1 1 1 0 -1 -1 1 1 0 0 0 0 0 0
